"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CW60AA","No premises",NA,NA,NA,NA,FALSE,0
"CW60AB","OK",FALSE,15.8,18.8,23.3,FALSE,11
"CW60AG","OK",FALSE,17.3,20.9,24.1,FALSE,11
"CW60AH","OK",FALSE,14,15.6,21.7,FALSE,6
"CW60AJ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CW60AL","OK",FALSE,18.9,20.8,23.9,FALSE,6
"CW60AN","OK",FALSE,17.6,19.1,24.4,FALSE,24
"CW60AP","No premises",NA,NA,NA,NA,FALSE,0
"CW60AR","OK",FALSE,22,21.8,24.4,FALSE,3
"CW60AS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CW60AS","No Data",NA,NA,NA,NA,FALSE,0
"CW60AT","OK",FALSE,17.2,21.6,24.3,FALSE,5
"CW60AU","OK",FALSE,12,7.9,21,FALSE,9
"CW60AX","OK",FALSE,17.1,20.2,21.8,FALSE,9
"CW60AY","OK",FALSE,13.5,12.6,20.9,FALSE,4
"CW60BA","OK",FALSE,15,17,22.6,FALSE,18
"CW60BD","OK",FALSE,17.1,19.3,21.5,FALSE,4
"CW60BE","No premises",NA,NA,NA,NA,FALSE,0
"CW60BF","OK",TRUE,14.1,16.1,23,FALSE,27
"CW60BJ","OK",FALSE,15.9,18.5,21.9,FALSE,13
"CW60BL","No premises",NA,NA,NA,NA,FALSE,0
"CW60BN","OK",FALSE,15.7,18.4,20.4,FALSE,3
"CW60BP","OK",FALSE,13.5,16.7,20.4,FALSE,30
"CW60BS","OK",FALSE,14.7,17.8,22.2,FALSE,25
"CW60BT","OK",FALSE,11.5,9.3,21,FALSE,27
"CW60BU","OK",FALSE,13.2,13.6,20.5,FALSE,18
"CW60BW","OK",TRUE,8.8,7.6,16.9,FALSE,5
"CW60BX","OK",FALSE,13.7,15.2,19,FALSE,18
"CW60BY","OK",FALSE,16.3,17.6,21.9,FALSE,21
"CW60BZ","OK",FALSE,12.6,11.5,20.2,FALSE,16
"CW60DA","OK",FALSE,14.9,16,19.6,FALSE,4
"CW60DB","OK",FALSE,13.4,15.7,18.9,FALSE,16
"CW60DD","OK",FALSE,14,15.4,19.4,FALSE,26
"CW60DE","OK",FALSE,16.7,17,17.8,FALSE,3
"CW60DF","OK",FALSE,17.5,17.7,19.6,FALSE,6
"CW60DG","OK",FALSE,16.2,18,20.2,FALSE,15
"CW60DH","OK",FALSE,12.6,11.8,15.9,FALSE,3
"CW60DJ","OK",FALSE,8.6,7.4,12.6,FALSE,4
"CW60DL","OK",FALSE,19.2,18,23.8,FALSE,5
"CW60DN","OK",FALSE,11.7,11.9,16.6,FALSE,9
