"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"DA13AA","OK",TRUE,28,16.2,30,TRUE,40
"DA13AB","OK",FALSE,27.4,20,30,TRUE,16
"DA13AD","OK",FALSE,29.3,15.8,30,TRUE,19
"DA13AE","OK",FALSE,25.3,15.6,30,TRUE,40
"DA13AF","OK",FALSE,30,20,30,TRUE,26
"DA13AG","OK",FALSE,28.6,18.2,30,TRUE,34
"DA13AH","OK",FALSE,19.4,18,30,TRUE,43
"DA13AJ","OK",TRUE,17.9,14.3,30,TRUE,21
"DA13AL","OK",FALSE,24.4,15.5,30,TRUE,25
"DA13AN","OK",FALSE,29.3,20,30,TRUE,38
"DA13AP","OK",TRUE,30,30,30,TRUE,7
"DA13AQ","OK",FALSE,18.5,16.5,30,TRUE,7
"DA13AR","OK",FALSE,13.8,11.1,30,TRUE,15
"DA13AS","OK",TRUE,30,20,30,TRUE,25
"DA13AT","OK",FALSE,30,30,30,TRUE,3
"DA13AW","OK",FALSE,28.4,18,30,TRUE,24
"DA13AY","OK",FALSE,12.8,9,30,TRUE,12
"DA13BA","OK",TRUE,24.6,16.1,30,TRUE,24
"DA13BD","OK",FALSE,30,30,30,TRUE,18
"DA13BE","OK",TRUE,19.8,11.4,30,TRUE,24
"DA13BF","OK",FALSE,18.4,9.7,30,TRUE,14
"DA13BG","OK",FALSE,30,20,30,TRUE,21
"DA13BH","OK",TRUE,26.8,20,30,TRUE,26
"DA13BJ","OK",FALSE,30,30,30,TRUE,8
"DA13BL","OK",FALSE,17.7,20,30,TRUE,15
"DA13BN","OK",FALSE,30,20,30,TRUE,18
"DA13BP","OK",FALSE,30,30,30,TRUE,13
"DA13BQ","OK",FALSE,26.7,20,30,TRUE,22
"DA13BS","OK",FALSE,30,30,30,TRUE,19
"DA13BT","OK",TRUE,27.2,20,30,TRUE,24
"DA13BU","OK",FALSE,21,9.8,30,TRUE,33
"DA13BW","OK",TRUE,28.9,25,30,TRUE,20
"DA13BX","OK",FALSE,30,30,30,TRUE,4
"DA13BY","OK",FALSE,27.2,9.6,30,TRUE,6
"DA13BZ","OK",FALSE,28.1,20,30,TRUE,9
"DA13DA","OK",TRUE,30,10.7,30,TRUE,10
"DA13DB","OK",FALSE,16.1,10.2,30,TRUE,16
"DA13DE","OK",TRUE,27.6,13.2,30,TRUE,46
"DA13DF","OK",FALSE,14.9,8.2,30,TRUE,8
"DA13DH","OK",TRUE,30,27.2,30,TRUE,20
"DA13DJ","OK",TRUE,17.7,12.7,30,TRUE,43
"DA13DL","OK",TRUE,21.3,10.2,30,TRUE,19
"DA13DN","OK",FALSE,23.7,13.8,30,TRUE,34
"DA13DP","OK",TRUE,25.2,20,30,TRUE,35
"DA13DU","OK",FALSE,26.3,18.3,30,TRUE,33
"DA13DW","OK",TRUE,30,20,30,TRUE,34
"DA13DX","OK",FALSE,30,20,30,TRUE,22
"DA13DY","OK",TRUE,15.1,5.1,30,TRUE,3
"DA13DZ","OK",FALSE,21.9,12.2,30,TRUE,5
"DA13EA","OK",FALSE,30,30,30,TRUE,26
"DA13EB","OK",TRUE,17,13.5,30,TRUE,28
"DA13ED","OK",FALSE,22.9,12.7,30,TRUE,7
"DA13EE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DA13EF","OK",FALSE,27,27.1,30,TRUE,6
"DA13EG","OK",FALSE,30,21.2,30,TRUE,6
"DA13EH","OK",FALSE,15.8,13.5,30,TRUE,22
"DA13EJ","OK",FALSE,20.3,15.3,30,TRUE,30
"DA13EL","OK",FALSE,26.1,14.2,30,TRUE,30
"DA13EN","OK",FALSE,30,15.7,30,TRUE,6
"DA13EP","OK",FALSE,18.7,17.2,30,TRUE,10
"DA13EQ","OK",FALSE,30,30,30,TRUE,6
"DA13ER","OK",FALSE,24.8,14.3,30,TRUE,21
"DA13ET","OK",TRUE,30,30,30,TRUE,4
"DA13EU","OK",FALSE,30,30,30,TRUE,9
"DA13EW","OK",FALSE,24.4,20,30,TRUE,32
"DA13EX","OK",TRUE,24,14.2,30,TRUE,34
"DA13EY","OK",FALSE,8.6,9.2,10.2,TRUE,8
"DA13EZ","OK",TRUE,30,25,30,TRUE,12
"DA13HA","OK",TRUE,30,15,30,TRUE,16
"DA13HB","OK",FALSE,19.5,11.2,30,TRUE,14
"DA13HD","OK",FALSE,18.3,14.1,30,TRUE,5
"DA13HH","OK",FALSE,30,7,30,TRUE,5
"DA13HJ","OK",FALSE,30,20,30,TRUE,27
"DA13HL","OK",TRUE,23.6,8.3,30,TRUE,5
"DA13HN","OK",FALSE,25.3,10.7,30,TRUE,44
