"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"DD100AA","OK",TRUE,2.7,1.2,7.5,FALSE,14
"DD100AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100AB","No Data",NA,NA,NA,NA,FALSE,0
"DD100AD","OK",TRUE,5,5.1,7.6,FALSE,3
"DD100AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100AE","No Data",NA,NA,NA,NA,FALSE,0
"DD100AF","No Data",NA,NA,NA,NA,FALSE,0
"DD100AG","OK",FALSE,5.7,4.7,7.4,TRUE,8
"DD100AH","OK",FALSE,7.7,8.1,8.1,FALSE,4
"DD100AQ","OK",TRUE,2.8,2,7.1,FALSE,7
"DD100AW","No Data",NA,NA,NA,NA,FALSE,0
"DD100AX","OK",FALSE,7.4,8,8.1,FALSE,14
"DD100AY","OK",TRUE,7.2,8.1,8.1,FALSE,31
"DD100AZ","OK",FALSE,7.1,7.1,7.4,FALSE,3
"DD100BA","OK",TRUE,7.1,8.1,8.1,FALSE,15
"DD100BB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100BB","No Data",NA,NA,NA,NA,FALSE,0
"DD100BD","OK",FALSE,7.4,7.4,8.1,FALSE,12
"DD100BE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100BE","No Data",NA,NA,NA,NA,FALSE,0
"DD100BF","OK",FALSE,7.6,8.1,8.1,FALSE,12
"DD100BG","OK",FALSE,7.6,8.1,8.1,FALSE,9
"DD100BH","OK",TRUE,7,7.2,13.5,FALSE,16
"DD100BJ","OK",FALSE,6.8,7.2,8.1,FALSE,7
"DD100BL","OK",FALSE,7.7,7.6,8.1,FALSE,12
"DD100BN","OK",FALSE,7.5,7.5,8.1,FALSE,3
"DD100BP","OK",TRUE,5.8,6.8,8.1,FALSE,6
"DD100BQ","OK",FALSE,7,7.1,7.4,FALSE,3
"DD100BR","OK",FALSE,8.1,8.1,8.1,FALSE,4
"DD100BS","OK",TRUE,6.7,7.3,8.1,FALSE,27
"DD100BT","OK",FALSE,6.2,6,7.8,FALSE,6
"DD100BU","OK",FALSE,7.3,8,8.1,FALSE,56
"DD100BW","OK",FALSE,7.2,7.8,8.1,FALSE,17
"DD100BX","OK",FALSE,8.1,8.1,8.1,FALSE,3
"DD100BY","OK",FALSE,7.9,8,8.1,FALSE,9
"DD100BZ","OK",FALSE,7.6,8,8.1,FALSE,16
"DD100DA","OK",TRUE,5.9,6.8,8,FALSE,7
"DD100DB","OK",TRUE,6.1,6.8,8.1,FALSE,33
"DD100DD","OK",FALSE,6.2,5.8,8.1,FALSE,4
"DD100DE","OK",TRUE,6.3,7.3,8.1,FALSE,7
"DD100DF","OK",FALSE,6.8,6.2,8.1,FALSE,5
"DD100DG","OK",FALSE,7.4,7.4,8.1,FALSE,4
"DD100DH","OK",FALSE,7,7.4,8.1,FALSE,7
"DD100DJ","OK",TRUE,5.1,5.7,8.1,FALSE,40
"DD100DL","OK",TRUE,4,4.7,7.4,FALSE,7
"DD100DN","OK",TRUE,3.2,3.4,7.3,FALSE,7
"DD100DP","OK",FALSE,4.4,4,8.1,FALSE,8
"DD100DQ","OK",TRUE,4.2,4,8.1,FALSE,10
"DD100DR","OK",TRUE,2.5,1.8,8.1,FALSE,24
"DD100DS","OK",TRUE,1,1,1.4,FALSE,4
"DD100DT","OK",FALSE,4.4,3.9,6.6,FALSE,3
"DD100DU","OK",FALSE,5.6,6.2,7.6,FALSE,8
"DD100DW","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DD100DX","OK",FALSE,6.2,7.2,8.1,FALSE,4
"DD100DY","OK",FALSE,7.1,6.8,8,FALSE,8
"DD100DZ","OK",FALSE,6.6,7.5,8.1,FALSE,9
"DD100EA","OK",FALSE,6.8,6.2,8.1,FALSE,8
"DD100EN","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DD100EP","OK",TRUE,3,3,5.2,FALSE,6
"DD100ER","OK",TRUE,3.1,2.6,6.7,FALSE,30
"DD100ES","OK",TRUE,2.1,2.2,2.5,FALSE,3
"DD100ET","OK",FALSE,3.3,3.2,5,FALSE,11
"DD100EU","OK",TRUE,2.7,2.6,5.6,FALSE,14
"DD100EW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100EW","No Data",NA,NA,NA,NA,FALSE,0
"DD100EX","OK",TRUE,3.9,3.6,7.9,FALSE,25
"DD100EY","OK",TRUE,2.4,2.2,4.9,FALSE,5
"DD100EZ","OK",TRUE,2.6,2.4,6.8,FALSE,18
"DD100GB","OK",FALSE,10.6,8.1,16.7,FALSE,5
"DD100HA","OK",TRUE,2.2,1.9,3.9,FALSE,8
"DD100HB","OK",TRUE,2.6,2.5,3.6,FALSE,9
"DD100HD","OK",TRUE,3.1,3.2,3.9,FALSE,5
"DD100HE","OK",TRUE,2.5,2.5,4.1,FALSE,11
"DD100HF","OK",TRUE,3.1,3,5.9,FALSE,16
"DD100HG","OK",TRUE,2.5,2.3,3.3,FALSE,3
"DD100HH","OK",TRUE,3.4,3.5,7,FALSE,17
"DD100HJ","OK",FALSE,2.5,2.5,2.6,FALSE,4
"DD100HL","OK",TRUE,2.1,1.7,5.2,FALSE,12
"DD100HN","OK",TRUE,2.5,2.4,3.4,FALSE,8
"DD100HP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100HP","No Data",NA,NA,NA,NA,FALSE,0
"DD100HQ","OK",FALSE,4.9,4.7,5.8,FALSE,3
"DD100HR","OK",TRUE,2.8,3,3.6,FALSE,4
"DD100HS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100HS","No Data",NA,NA,NA,NA,FALSE,0
"DD100HT","OK",FALSE,3.9,4.3,5.2,FALSE,17
"DD100HU","OK",TRUE,4.9,3.2,14.7,FALSE,10
"DD100HW","OK",TRUE,3.7,3.8,6.2,FALSE,8
"DD100HX","OK",TRUE,2.3,2.2,5.2,FALSE,13
"DD100HY","OK",TRUE,1,1,1.2,FALSE,4
"DD100HZ","OK",TRUE,1.2,1.2,2,FALSE,3
"DD100JA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DD100JB","OK",TRUE,2.8,2,6.4,FALSE,5
"DD100JD","OK",TRUE,4.5,5.2,7.8,FALSE,7
"DD100JE","OK",TRUE,1.6,1.4,2.8,FALSE,9
"DD100JW","OK",FALSE,15.8,16.4,16.6,FALSE,3
"DD100JZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100JZ","No Data",NA,NA,NA,NA,FALSE,0
"DD100LA","OK",FALSE,9.6,7.6,20.3,FALSE,4
"DD100LB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DD100LD","OK",TRUE,12.8,12.4,19.6,FALSE,12
"DD100LE","OK",FALSE,13,12.5,19,FALSE,8
"DD100LF","OK",FALSE,11.4,8.1,19,FALSE,15
"DD100LG","OK",TRUE,14.1,16.2,20.2,FALSE,20
"DD100LH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DD100LJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100LJ","No Data",NA,NA,NA,NA,FALSE,0
"DD100LL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100LL","No Data",NA,NA,NA,NA,FALSE,0
"DD100LP","OK",FALSE,11.2,8.7,16.8,FALSE,3
"DD100LQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DD100LR","OK",FALSE,14.6,19.6,20.9,FALSE,4
"DD100LS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DD100LT","OK",FALSE,13.7,15.1,22.1,FALSE,29
"DD100LU","OK",TRUE,14.7,18.8,22.4,FALSE,24
"DD100LW","OK",FALSE,12.1,12.2,19.7,FALSE,28
"DD100LX","OK",FALSE,15.3,16.1,23,FALSE,28
"DD100LY","OK",FALSE,14.9,16,19.2,FALSE,4
"DD100LZ","OK",TRUE,4.9,5.6,8.4,FALSE,5
"DD100NA","OK",FALSE,16.6,17.3,21.8,FALSE,5
"DD100NB","OK",FALSE,17.1,18.8,20.3,FALSE,6
"DD100ND","OK",FALSE,10.5,8.5,21.1,FALSE,6
"DD100NE","OK",TRUE,11.4,10.7,19.2,FALSE,14
"DD100NF","OK",FALSE,9.4,7,16.4,FALSE,7
"DD100NG","OK",FALSE,14.6,19.2,20.2,FALSE,9
"DD100NH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DD100NL","OK",FALSE,9.9,9.1,13.6,FALSE,4
"DD100NN","OK",FALSE,12.1,12.2,20.7,FALSE,10
"DD100PA","OK",FALSE,15.6,16.8,18.7,FALSE,15
"DD100PB","OK",FALSE,13.2,15.1,18.2,FALSE,15
"DD100PD","OK",FALSE,12.9,14.2,17.1,FALSE,30
"DD100PE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100PE","No Data",NA,NA,NA,NA,FALSE,0
"DD100PF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100PF","No Data",NA,NA,NA,NA,FALSE,0
"DD100PG","OK",FALSE,18.1,19.9,22.1,FALSE,6
"DD100PH","OK",FALSE,6.7,6.4,7.9,FALSE,4
"DD100PJ","OK",FALSE,13.5,15.1,20.2,FALSE,13
"DD100PL","OK",FALSE,6,6.1,8,FALSE,8
"DD100PN","OK",FALSE,11.5,11.1,18.6,FALSE,34
"DD100PP","OK",TRUE,2.6,1.4,6.9,FALSE,4
"DD100PQ","OK",FALSE,10.5,7.3,16.2,FALSE,5
"DD100PR","OK",FALSE,14.8,15.8,17.1,FALSE,7
"DD100PS","OK",FALSE,16,17.5,19.8,FALSE,6
"DD100PT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100PT","No Data",NA,NA,NA,NA,FALSE,0
"DD100PU","OK",TRUE,1.5,1.3,1.9,FALSE,3
"DD100PW","OK",FALSE,10.1,8.1,16.4,FALSE,3
"DD100PX","OK",FALSE,11.7,13.4,19.7,FALSE,9
"DD100PY","OK",FALSE,8.8,9.7,13.4,FALSE,7
"DD100PZ","OK",TRUE,2.3,2.1,3.2,FALSE,6
"DD100QA","OK",TRUE,11.1,13.3,18.1,FALSE,22
"DD100QB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100QB","No Data",NA,NA,NA,NA,FALSE,0
"DD100QD","OK",FALSE,12.4,12.9,17.1,FALSE,6
"DD100QZ","OK",FALSE,11.1,12.4,15.2,FALSE,5
"DD100RA","OK",FALSE,11.3,8.7,19,FALSE,11
"DD100RB","OK",FALSE,12.3,12.9,19.5,FALSE,20
"DD100RD","OK",FALSE,13.5,13.6,19.4,FALSE,8
"DD100RE","OK",FALSE,12.7,13.4,18.9,FALSE,18
"DD100RF","OK",FALSE,14.3,16.5,18.6,FALSE,12
"DD100RG","OK",FALSE,8.4,8.4,13.7,FALSE,8
"DD100RJ","OK",TRUE,5.1,7,7.6,FALSE,3
"DD100RL","OK",FALSE,15,15.3,17,FALSE,5
"DD100RN","OK",FALSE,12.5,12.3,16.9,FALSE,11
"DD100RQ","OK",TRUE,9.6,8.9,17.8,FALSE,10
"DD100RR","OK",FALSE,11.7,12,18.5,FALSE,27
"DD100RS","OK",FALSE,11.1,10.8,15.2,FALSE,8
"DD100RT","OK",FALSE,11.1,9.2,18.7,FALSE,10
"DD100RU","OK",FALSE,13.9,14.7,16.7,FALSE,12
"DD100RW","OK",FALSE,7.5,8,9.7,FALSE,5
"DD100RX","OK",FALSE,10.7,10.7,16.6,FALSE,20
"DD100RY","OK",TRUE,11.9,12.6,18.5,FALSE,30
"DD100RZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DD100SA","OK",FALSE,12.4,15.2,18.4,FALSE,13
"DD100SB","OK",FALSE,11.2,10.4,19.1,FALSE,30
"DD100SD","OK",FALSE,11.7,14,18.1,FALSE,11
"DD100SE","OK",TRUE,9.2,11,15.4,FALSE,9
"DD100SF","OK",FALSE,10.9,11.4,17.5,FALSE,15
"DD100SG","OK",FALSE,11.9,8.6,19.5,FALSE,16
"DD100SH","OK",FALSE,11.5,10.6,16.8,FALSE,13
"DD100SJ","OK",FALSE,12.6,12.9,18.7,FALSE,17
"DD100SL","OK",FALSE,14,15.2,20.1,FALSE,31
"DD100SN","OK",FALSE,13.2,15.3,17,FALSE,5
"DD100SP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DD100SQ","OK",FALSE,9.7,9.5,19.6,FALSE,26
"DD100SR","OK",TRUE,6.4,6.6,11.5,FALSE,12
"DD100SS","OK",TRUE,5.2,6.2,8.8,FALSE,5
"DD100ST","OK",FALSE,3,2.7,4.2,FALSE,4
"DD100SU","OK",TRUE,2,1.5,3.5,FALSE,7
"DD100SW","OK",FALSE,14.1,15.4,18.4,FALSE,15
"DD100SX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100SX","No Data",NA,NA,NA,NA,FALSE,0
"DD100SY","OK",TRUE,4.3,5.6,6.8,FALSE,3
"DD100SZ","OK",FALSE,5.3,6.8,8,FALSE,9
"DD100TA","OK",TRUE,2.9,2.7,5,FALSE,6
"DD100TB","OK",TRUE,5.5,6.2,8,FALSE,9
"DD100TD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100TD","No Data",NA,NA,NA,NA,FALSE,0
"DD100TE","OK",FALSE,5.5,5.7,7.4,FALSE,7
"DD100TF","OK",TRUE,5.1,5.1,7.5,FALSE,19
"DD100TG","OK",TRUE,5.1,6,7.2,FALSE,4
"DD100TH","OK",TRUE,1.7,1.4,3.4,FALSE,4
"DD100TJ","OK",TRUE,2.1,2,5.7,FALSE,13
"DD100TL","OK",TRUE,3.5,3.5,5.3,FALSE,8
"DD100TN","OK",FALSE,10,10.5,16.6,FALSE,4
"DD100TP","OK",FALSE,11.2,8.3,17.3,FALSE,5
"DD100TQ","OK",TRUE,6.1,5.4,16,FALSE,16
"DD100TR","OK",FALSE,12.2,12.9,17,FALSE,7
"DD100TS","OK",FALSE,20.7,14.8,30,FALSE,9
"DD100TT","OK",TRUE,11.1,9.6,20.6,FALSE,55
"DD100TU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100TU","No Data",NA,NA,NA,NA,FALSE,0
"DD100TW","OK",FALSE,11.6,13.8,16,FALSE,4
"DD100TX","OK",TRUE,10,8.1,17.3,FALSE,27
"DD100TY","OK",FALSE,12,12.7,18.9,FALSE,30
"DD100TZ","OK",FALSE,10.8,11,19.5,FALSE,14
"DD100UA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD100UA","No Data",NA,NA,NA,NA,FALSE,0
"DD100UD","OK",TRUE,4.3,5.3,6.8,FALSE,9
"DD100UE","OK",FALSE,16.1,19,21.1,FALSE,3
"DD100WX","No premises",NA,NA,NA,NA,FALSE,0
"DD100XA","OK",FALSE,8.4,7.8,14.9,FALSE,8
"DD101AB","No premises",NA,NA,NA,NA,FALSE,0
"DD101AE","No premises",NA,NA,NA,NA,FALSE,0
"DD101AF","No premises",NA,NA,NA,NA,FALSE,0
"DD108AA","No premises",NA,NA,NA,NA,TRUE,0
"DD108AB","OK",FALSE,19.7,23.8,24.4,TRUE,7
"DD108AD","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DD108AE","OK",FALSE,17.2,18.6,23.8,FALSE,29
"DD108AF","OK",TRUE,17.7,19.4,24.4,FALSE,11
"DD108AG","OK",FALSE,18.7,20.3,24.3,FALSE,26
"DD108AJ","OK",FALSE,22.2,22.4,30,FALSE,16
"DD108AL","OK",FALSE,21.7,23.3,24.4,FALSE,12
"DD108AN","OK",FALSE,19.8,22,23.1,FALSE,13
"DD108AQ","OK",FALSE,21,20.5,24.4,FALSE,8
"DD108AR","OK",FALSE,27.7,22.7,30,TRUE,7
"DD108AS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DD108AT","OK",FALSE,15.4,19.7,24,FALSE,5
"DD108AU","OK",FALSE,16.7,19,22.7,FALSE,7
"DD108AW","OK",FALSE,19.1,18.7,24,TRUE,11
"DD108AX","OK",FALSE,19.9,20.9,24,FALSE,19
"DD108AY","OK",FALSE,16.4,17.6,22.4,TRUE,5
"DD108AZ","OK",FALSE,26,19.2,30,TRUE,16
"DD108BA","OK",TRUE,17.3,20.6,24.2,FALSE,12
"DD108BB","OK",FALSE,20.6,21.9,23.1,FALSE,5
"DD108BD","OK",FALSE,19.9,21.2,24.4,FALSE,22
"DD108BE","OK",FALSE,19,19,19,FALSE,3
"DD108BG","OK",FALSE,20,20.4,23.5,FALSE,12
"DD108BH","OK",FALSE,20.5,21.6,24,FALSE,13
"DD108BJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD108BJ","No Data",NA,NA,NA,NA,FALSE,0
"DD108BL","OK",FALSE,30,16.4,30,TRUE,3
"DD108BN","OK",FALSE,19.6,19.3,24,TRUE,8
"DD108BP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DD108BP","No Data",NA,NA,NA,NA,TRUE,0
"DD108BQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DD108BQ","No Data",NA,NA,NA,NA,TRUE,0
"DD108BS","OK",TRUE,22.6,20,30,TRUE,16
"DD108BW","OK",FALSE,26.1,19,30,TRUE,8
"DD108BX","OK",FALSE,17.1,19,21.4,TRUE,9
"DD108BY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DD108BZ","OK",FALSE,30,22,30,TRUE,25
"DD108DA","OK",TRUE,20.3,18.4,30,TRUE,18
"DD108DB","No premises",NA,NA,NA,NA,FALSE,0
"DD108DD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD108DD","No Data",NA,NA,NA,NA,FALSE,0
"DD108DE","No Data",NA,NA,NA,NA,TRUE,0
"DD108DL","OK",FALSE,17.7,19.1,22.2,TRUE,14
"DD108DS","OK",FALSE,10.9,8.1,16.9,FALSE,5
"DD108DT","No premises",NA,NA,NA,NA,FALSE,0
"DD108DW","OK",FALSE,19.6,20.5,22.3,FALSE,5
"DD108DX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DD108DY","OK",FALSE,16.9,17.9,22,FALSE,16
"DD108DZ","OK",FALSE,16.6,17.3,21,FALSE,20
"DD108EA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD108EA","No Data",NA,NA,NA,NA,FALSE,0
"DD108EE","OK",FALSE,15.8,17.5,20.5,FALSE,16
"DD108EF","OK",FALSE,16.6,18.3,22,FALSE,13
"DD108EG","OK",FALSE,16.4,16.7,21.6,FALSE,19
"DD108EH","OK",TRUE,15.1,15.4,21.2,FALSE,18
"DD108EJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD108EJ","No Data",NA,NA,NA,NA,FALSE,0
"DD108EL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DD108EL","No Data",NA,NA,NA,NA,TRUE,0
"DD108EN","OK",FALSE,16.3,21.1,24,TRUE,14
"DD108EQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD108EQ","No Data",NA,NA,NA,NA,FALSE,0
"DD108ER","OK",FALSE,13.5,14.3,20.4,FALSE,5
"DD108ES","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD108ES","No Data",NA,NA,NA,NA,FALSE,0
"DD108ET","OK",FALSE,16.2,17.4,21.8,FALSE,12
"DD108EU","OK",FALSE,19.2,20.5,23.7,FALSE,9
"DD108EW","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DD108EX","OK",FALSE,18.5,19.6,23.1,FALSE,13
"DD108EY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"DD108EZ","OK",FALSE,19.6,20.4,23.1,FALSE,4
"DD108FR","OK",FALSE,17.9,19.7,23.1,FALSE,4
"DD108GZ","OK",FALSE,20.6,20.6,22.6,FALSE,4
"DD108HA","Insufficient Data",NA,NA,NA,NA,FALSE,1
"DD108HB","OK",FALSE,19.8,19.7,30,FALSE,15
"DD108HD","OK",FALSE,12.7,12.6,18.7,FALSE,8
"DD108HE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DD108HE","No Data",NA,NA,NA,NA,FALSE,0
"DD108HF","OK",TRUE,14.1,16.3,21.6,FALSE,6
"DD108HG","OK",FALSE,20.7,18,30,TRUE,15
"DD108HH","No Data",NA,NA,NA,NA,FALSE,0
"DD108HJ","OK",FALSE,18.4,18.5,23.1,TRUE,7
"DD108HL","OK",FALSE,30,18.5,30,TRUE,19
"DD108HN","OK",FALSE,23.6,17.7,30,TRUE,13
"DD108HP","OK",FALSE,30,21.4,30,TRUE,7
"DD108HQ","OK",FALSE,21.2,20.4,30,TRUE,6
"DD108HR","OK",TRUE,23.2,19.5,30,TRUE,28
"DD108HS","OK",FALSE,25.1,22.2,30,TRUE,4
"DD108HU","No premises",NA,NA,NA,NA,TRUE,0
"DD108HW","OK",FALSE,30,28.7,30,TRUE,4
"DD108HY","OK",FALSE,20.7,17,30,TRUE,28
"DD108HZ","OK",TRUE,15.8,13.6,30,TRUE,29
"DD108JA","OK",FALSE,29.6,19.4,30,TRUE,11
"DD108JB","OK",FALSE,17.4,19.1,24.4,FALSE,22
"DD108JD","OK",FALSE,18,19,24.2,FALSE,4
"DD108JE","OK",TRUE,16.6,19.1,23.3,FALSE,27
"DD108JF","OK",TRUE,16.5,16,23.3,FALSE,16
"DD108JG","OK",TRUE,18.3,9.7,30,TRUE,7
"DD108JL","OK",FALSE,18.8,20.3,24,FALSE,31
"DD108JN","OK",FALSE,16.7,10.5,30,TRUE,12
"DD108JQ","OK",FALSE,18.1,20.8,21.7,FALSE,9
"DD108JR","OK",TRUE,10.6,10.8,19.2,TRUE,19
"DD108JS","No premises",NA,NA,NA,NA,FALSE,0
"DD108JT","OK",FALSE,30,30,30,TRUE,6
"DD108JU","OK",FALSE,13.4,8.6,30,TRUE,8
"DD108JW","OK",TRUE,13.5,9.5,30,TRUE,6
"DD108JX","OK",FALSE,14.2,13.8,21.1,TRUE,4
"DD108JY","OK",FALSE,23.2,9.8,30,TRUE,10
"DD108JZ","OK",FALSE,7,6.7,9.2,TRUE,3
"DD108LA","OK",FALSE,20,21,24.4,FALSE,9
"DD108LB","OK",FALSE,30,30,30,TRUE,3
"DD108LE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
