"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"DH89AA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DH89AB","OK",TRUE,3.5,1.8,12.8,TRUE,6
"DH89AD","OK",TRUE,6.4,2.5,18.7,TRUE,4
"DH89AE","OK",TRUE,11.1,13.1,18.3,TRUE,3
"DH89AF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89AF","No Data",NA,NA,NA,NA,TRUE,0
"DH89AG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89AG","No Data",NA,NA,NA,NA,TRUE,0
"DH89AH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89AH","No Data",NA,NA,NA,NA,TRUE,0
"DH89AL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DH89AN","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DH89AP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DH89AQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89AQ","No Data",NA,NA,NA,NA,TRUE,0
"DH89AR","OK",TRUE,14.7,2.7,30,TRUE,24
"DH89AS","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89AS","No Data",NA,NA,NA,NA,TRUE,0
"DH89AT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89AT","No Data",NA,NA,NA,NA,TRUE,0
"DH89AU","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89AU","No Data",NA,NA,NA,NA,TRUE,0
"DH89AW","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DH89AX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89AX","No Data",NA,NA,NA,NA,TRUE,0
"DH89AY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89AY","No Data",NA,NA,NA,NA,TRUE,0
"DH89BA","OK",TRUE,4.5,1.7,27.1,TRUE,9
"DH89BB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89BB","No Data",NA,NA,NA,NA,TRUE,0
"DH89BD","OK",TRUE,0.6,0.7,1,TRUE,11
"DH89BE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89BE","No Data",NA,NA,NA,NA,TRUE,0
"DH89BF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89BF","No Data",NA,NA,NA,NA,TRUE,0
"DH89BG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89BG","No Data",NA,NA,NA,NA,TRUE,0
"DH89BH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DH89BJ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DH89BL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89BL","No Data",NA,NA,NA,NA,TRUE,0
"DH89BN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DH89BN","No Data",NA,NA,NA,NA,TRUE,0
"DH89BQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DH89BQ","No Data",NA,NA,NA,NA,FALSE,0
"DH89BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"DH89BW","No Data",NA,NA,NA,NA,FALSE,0
"DH89DA","OK",TRUE,1.4,1.4,1.6,TRUE,3
