"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E143AA","OK",TRUE,17,3.7,30,TRUE,34
"E143AB","OK",TRUE,24,4.2,30,TRUE,49
"E143AD","OK",TRUE,17.6,3.7,30,TRUE,24
"E143AE","OK",TRUE,12.9,3.2,30,TRUE,8
"E143AF","OK",TRUE,30,29.6,30,TRUE,20
"E143AG","OK",TRUE,30,30,30,TRUE,25
"E143AH","OK",TRUE,29.3,5.8,30,TRUE,34
"E143AJ","OK",TRUE,28,5.9,30,TRUE,35
"E143AL","OK",FALSE,6,6.2,8.1,FALSE,13
"E143AN","OK",TRUE,12.1,2.7,30,TRUE,9
"E143AP","OK",TRUE,30,30,30,TRUE,29
"E143AQ","OK",TRUE,30,13.8,30,TRUE,42
"E143AR","OK",TRUE,30,30,30,TRUE,20
"E143AS","OK",TRUE,27.6,4,30,TRUE,44
"E143AT","OK",FALSE,16.4,3.3,30,TRUE,11
"E143AU","OK",TRUE,26,30,30,TRUE,11
"E143AW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E143AW","No Data",NA,NA,NA,NA,TRUE,0
"E143AX","OK",TRUE,22.4,2.9,30,TRUE,45
"E143AY","OK",TRUE,15.6,5.1,30,TRUE,27
"E143AZ","OK",FALSE,30,30,30,TRUE,17
"E143BA","Insufficient Data",NA,NA,NA,NA,TRUE,1
"E143BB","OK",TRUE,19.5,18.4,30,TRUE,6
"E143BD","OK",TRUE,14,4.1,30,TRUE,14
"E143BE","OK",TRUE,22.8,4,30,TRUE,29
"E143BF","OK",TRUE,30,30,30,TRUE,25
"E143BG","OK",TRUE,17.9,10.8,30,TRUE,32
"E143BH","OK",TRUE,22.6,30,30,TRUE,33
"E143BJ","OK",TRUE,22.6,30,30,TRUE,33
"E143BL","OK",TRUE,20.2,4,30,TRUE,9
"E143BN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E143BN","No Data",NA,NA,NA,NA,TRUE,0
