"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E28SA","OK",TRUE,7.5,6.4,30,TRUE,11
"E28SB","OK",FALSE,17.4,7.1,30,TRUE,38
"E28SD","OK",TRUE,16.3,7.6,30,TRUE,17
"E28SE","OK",TRUE,20.8,20,30,TRUE,10
"E28SF","OK",TRUE,11.8,4.2,30,TRUE,14
"E28SG","OK",TRUE,8.2,6.2,20,TRUE,14
"E28SH","OK",TRUE,18.2,7.2,30,TRUE,21
"E28SJ","OK",FALSE,18.7,7.4,30,TRUE,10
"E28SQ","OK",TRUE,14.8,4.6,30,TRUE,8
"E28SA","OK",TRUE,7.5,6.4,30,TRUE,11
"E28SB","OK",FALSE,17.4,7.1,30,TRUE,38
"E28SD","OK",TRUE,16.3,7.6,30,TRUE,17
"E28SE","OK",TRUE,20.8,20,30,TRUE,10
"E28SF","OK",TRUE,11.8,4.2,30,TRUE,14
"E28SG","OK",TRUE,8.2,6.2,20,TRUE,14
"E28SH","OK",TRUE,18.2,7.2,30,TRUE,21
"E28SJ","OK",FALSE,18.7,7.4,30,TRUE,10
"E28SQ","OK",TRUE,14.8,4.6,30,TRUE,8
