"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E34TA","OK",FALSE,25.8,19,30,TRUE,23
"E34TD","OK",TRUE,25,19.6,30,TRUE,48
"E34TE","OK",FALSE,24.8,18.6,30,TRUE,30
"E34TF","OK",FALSE,28.5,18,30,TRUE,5
"E34TG","OK",FALSE,18.9,18.5,30,TRUE,13
"E34TH","OK",FALSE,23.8,19.2,30,TRUE,29
"E34TL","OK",FALSE,26.6,21.5,30,TRUE,11
"E34TN","OK",TRUE,21.5,18.3,30,TRUE,35
"E34TQ","OK",FALSE,29.7,20.8,30,TRUE,22
"E34TU","OK",FALSE,17,17.7,21,TRUE,16
"E34TY","OK",FALSE,28.3,21.3,30,TRUE,25
"E34TZ","OK",FALSE,16.5,16.4,30,TRUE,29
"E34TA","OK",FALSE,25.8,19,30,TRUE,23
"E34TD","OK",TRUE,25,19.6,30,TRUE,48
"E34TE","OK",FALSE,24.8,18.6,30,TRUE,30
"E34TF","OK",FALSE,28.5,18,30,TRUE,5
"E34TG","OK",FALSE,18.9,18.5,30,TRUE,13
"E34TH","OK",FALSE,23.8,19.2,30,TRUE,29
"E34TL","OK",FALSE,26.6,21.5,30,TRUE,11
"E34TN","OK",TRUE,21.5,18.3,30,TRUE,35
"E34TQ","OK",FALSE,29.7,20.8,30,TRUE,22
"E34TU","OK",FALSE,17,17.7,21,TRUE,16
"E34TY","OK",FALSE,28.3,21.3,30,TRUE,25
"E34TZ","OK",FALSE,16.5,16.4,30,TRUE,29
