"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E48NA","OK",FALSE,22.8,9,30,TRUE,7
"E48NB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E48NB","No Data",NA,NA,NA,NA,TRUE,0
"E48ND","OK",TRUE,19.4,8.4,30,TRUE,54
"E48NE","OK",FALSE,26.6,20,30,TRUE,59
"E48NF","OK",FALSE,24,12.9,30,TRUE,65
"E48NH","OK",FALSE,30,30,30,TRUE,22
"E48NJ","OK",TRUE,17.1,8.9,30,TRUE,30
"E48NL","OK",FALSE,17.8,7,30,TRUE,3
"E48NN","OK",FALSE,30,24.3,30,TRUE,24
"E48NP","OK",TRUE,24.4,20,30,TRUE,24
"E48NR","OK",FALSE,21.1,20,30,TRUE,26
"E48NS","OK",TRUE,19.4,6.4,30,TRUE,29
"E48NT","OK",TRUE,21,13.7,30,TRUE,24
"E48NU","OK",TRUE,27.4,14.9,30,TRUE,35
"E48NW","OK",TRUE,27.7,20,30,TRUE,24
"E48NY","Insufficient Data",NA,NA,NA,NA,TRUE,2
"E48NZ","No premises",NA,NA,NA,NA,FALSE,0
