"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E49AA","OK",FALSE,21.4,25,30,TRUE,33
"E49AB","OK",TRUE,17.1,11.7,30,TRUE,18
"E49AD","OK",FALSE,16.9,11.8,30,TRUE,32
"E49AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"E49AE","No Data",NA,NA,NA,NA,FALSE,0
"E49AF","OK",FALSE,6.7,7.3,9.4,FALSE,10
"E49AG","OK",FALSE,10.9,12,15.7,TRUE,4
"E49AH","OK",TRUE,25.4,10.7,30,TRUE,22
"E49AJ","OK",TRUE,29,20,30,TRUE,36
"E49AL","OK",FALSE,26.9,15.3,30,TRUE,41
"E49AN","OK",TRUE,30,20,30,TRUE,13
"E49AP","OK",TRUE,18.4,15.2,30,TRUE,42
"E49AR","OK",TRUE,28.3,20,30,TRUE,45
"E49AS","OK",TRUE,19.9,7.2,30,TRUE,32
"E49AW","OK",FALSE,14.3,8.8,30,TRUE,11
"E49AX","OK",TRUE,8.8,9.1,30,TRUE,38
"E49AY","OK",TRUE,24,20,30,TRUE,48
"E49AZ","OK",TRUE,27.9,8.9,30,TRUE,34
