"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E49EA","OK",TRUE,19,7.6,30,TRUE,29
"E49EB","OK",TRUE,25.7,7.6,30,TRUE,38
"E49ED","OK",TRUE,19.4,14.5,30,TRUE,14
"E49EE","OK",TRUE,24.5,10,30,TRUE,14
"E49EG","OK",TRUE,22.5,20,30,TRUE,27
"E49EH","OK",FALSE,13.5,8.2,30,TRUE,8
"E49EJ","OK",FALSE,30,30,30,TRUE,22
"E49EL","OK",TRUE,27.9,20,30,TRUE,23
"E49EN","OK",FALSE,17.4,7.4,30,TRUE,20
"E49EP","OK",TRUE,18,12.3,30,TRUE,31
"E49EQ","OK",TRUE,14.7,4.3,30,TRUE,27
"E49ER","OK",TRUE,17.8,9.7,30,TRUE,12
"E49ES","OK",FALSE,30,20,30,TRUE,28
"E49ET","OK",TRUE,18.9,12.6,30,TRUE,21
"E49EU","OK",TRUE,30,14.3,30,TRUE,28
"E49EX","OK",FALSE,25.6,20,30,TRUE,23
"E49EY","OK",FALSE,6.3,6.9,8.6,TRUE,5
"E49EZ","OK",FALSE,29.1,15.1,30,TRUE,24
"E49EA","OK",TRUE,19,7.6,30,TRUE,29
"E49EB","OK",TRUE,25.7,7.6,30,TRUE,38
"E49ED","OK",TRUE,19.4,14.5,30,TRUE,14
"E49EE","OK",TRUE,24.5,10,30,TRUE,14
"E49EG","OK",TRUE,22.5,20,30,TRUE,27
"E49EH","OK",FALSE,13.5,8.2,30,TRUE,8
"E49EJ","OK",FALSE,30,30,30,TRUE,22
"E49EL","OK",TRUE,27.9,20,30,TRUE,23
"E49EN","OK",FALSE,17.4,7.4,30,TRUE,20
"E49EP","OK",TRUE,18,12.3,30,TRUE,31
"E49EQ","OK",TRUE,14.7,4.3,30,TRUE,27
"E49ER","OK",TRUE,17.8,9.7,30,TRUE,12
"E49ES","OK",FALSE,30,20,30,TRUE,28
"E49ET","OK",TRUE,18.9,12.6,30,TRUE,21
"E49EU","OK",TRUE,30,14.3,30,TRUE,28
"E49EX","OK",FALSE,25.6,20,30,TRUE,23
"E49EY","OK",FALSE,6.3,6.9,8.6,TRUE,5
"E49EZ","OK",FALSE,29.1,15.1,30,TRUE,24
