"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E50RB","No premises",NA,NA,NA,NA,FALSE,0
"E50RD","OK",FALSE,26.3,20,30,FALSE,24
"E50RE","OK",TRUE,16.4,9.6,30,TRUE,6
"E50RF","OK",FALSE,30,20,30,TRUE,24
"E50RG","OK",TRUE,18.9,8.4,30,TRUE,18
"E50RH","OK",TRUE,14.3,8.9,30,TRUE,7
"E50RJ","OK",FALSE,18,10.5,30,TRUE,14
"E50RL","OK",FALSE,30,12.6,30,TRUE,11
"E50RN","OK",TRUE,12.3,11.8,30,TRUE,27
"E50RP","OK",FALSE,27.2,20,30,TRUE,35
"E50RQ","OK",TRUE,17.1,7.8,30,TRUE,30
"E50RR","OK",FALSE,20.5,8.8,30,TRUE,49
"E50RT","OK",TRUE,25,20,30,TRUE,55
"E50RU","OK",TRUE,26.5,13.8,30,TRUE,58
"E50RX","OK",TRUE,20.3,7.9,30,TRUE,9
"E50RY","OK",TRUE,23.9,20,30,TRUE,34
"E50RZ","OK",FALSE,30,20,30,TRUE,21
"E50RB","No premises",NA,NA,NA,NA,FALSE,0
"E50RD","OK",FALSE,26.3,20,30,FALSE,24
"E50RE","OK",TRUE,16.4,9.6,30,TRUE,6
"E50RF","OK",FALSE,30,20,30,TRUE,24
"E50RG","OK",TRUE,18.9,8.4,30,TRUE,18
"E50RH","OK",TRUE,14.3,8.9,30,TRUE,7
"E50RJ","OK",FALSE,18,10.5,30,TRUE,14
"E50RL","OK",FALSE,30,12.6,30,TRUE,11
"E50RN","OK",TRUE,12.3,11.8,30,TRUE,27
"E50RP","OK",FALSE,27.2,20,30,TRUE,35
"E50RQ","OK",TRUE,17.1,7.8,30,TRUE,30
"E50RR","OK",FALSE,20.5,8.8,30,TRUE,49
"E50RT","OK",TRUE,25,20,30,TRUE,55
"E50RU","OK",TRUE,26.5,13.8,30,TRUE,58
"E50RX","OK",TRUE,20.3,7.9,30,TRUE,9
"E50RY","OK",TRUE,23.9,20,30,TRUE,34
"E50RZ","OK",FALSE,30,20,30,TRUE,21
