"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E83GA","OK",FALSE,17.9,18.4,22,FALSE,25
"E83GE","OK",FALSE,11.8,10.4,19,TRUE,6
"E83GF","OK",FALSE,23.6,19.3,30,TRUE,11
"E83GG","OK",FALSE,12.7,10.6,30,TRUE,8
"E83GH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E83GH","No Data",NA,NA,NA,NA,TRUE,0
"E83GJ","OK",TRUE,17.6,15.7,30,TRUE,13
"E83GL","OK",FALSE,17.9,5.4,30,TRUE,11
"E83GN","OK",FALSE,15.4,16,22.4,TRUE,39
"E83GP","OK",FALSE,16.4,18,22,TRUE,39
"E83GS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"E83GS","No Data",NA,NA,NA,NA,FALSE,0
"E83GU","OK",FALSE,18.7,19,22.2,FALSE,46
"E83GW","OK",FALSE,16.1,17,21.7,FALSE,23
"E83GX","OK",FALSE,13.7,14.8,18,FALSE,44
"E83GZ","OK",TRUE,7.5,7.6,14.2,TRUE,4
"E83GA","OK",FALSE,17.9,18.4,22,FALSE,25
"E83GE","OK",FALSE,11.8,10.4,19,TRUE,6
"E83GF","OK",FALSE,23.6,19.3,30,TRUE,11
"E83GG","OK",FALSE,12.7,10.6,30,TRUE,8
"E83GH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E83GH","No Data",NA,NA,NA,NA,TRUE,0
"E83GJ","OK",TRUE,17.6,15.7,30,TRUE,13
"E83GL","OK",FALSE,17.9,5.4,30,TRUE,11
"E83GN","OK",FALSE,15.4,16,22.4,TRUE,39
"E83GP","OK",FALSE,16.4,18,22,TRUE,39
"E83GS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"E83GS","No Data",NA,NA,NA,NA,FALSE,0
"E83GU","OK",FALSE,18.7,19,22.2,FALSE,46
"E83GW","OK",FALSE,16.1,17,21.7,FALSE,23
"E83GX","OK",FALSE,13.7,14.8,18,FALSE,44
"E83GZ","OK",TRUE,7.5,7.6,14.2,TRUE,4
