"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E95BA","OK",FALSE,19.8,16.9,30,TRUE,23
"E95BB","OK",FALSE,22.3,18.2,30,TRUE,12
"E95BD","OK",TRUE,9.5,7.9,16,TRUE,22
"E95BE","OK",FALSE,17.5,16.1,30,TRUE,23
"E95BF","OK",TRUE,15.7,13.1,30,TRUE,32
"E95BG","OK",FALSE,13.1,13.8,15.8,TRUE,5
"E95BH","OK",FALSE,26.5,9.1,30,TRUE,8
"E95BJ","OK",TRUE,12.4,14.4,19.4,TRUE,10
"E95BL","OK",FALSE,15.5,16.6,19,TRUE,6
"E95BN","OK",FALSE,13.2,12.9,30,TRUE,39
"E95BP","OK",FALSE,20.9,18.7,30,TRUE,5
"E95BQ","OK",FALSE,17.7,14.7,30,TRUE,9
"E95BS","OK",TRUE,15.3,12.1,30,TRUE,23
"E95BT","OK",FALSE,11.1,12.1,17.9,TRUE,50
"E95BU","OK",FALSE,10.7,10.6,16.3,TRUE,27
"E95BW","OK",FALSE,12,11.9,18.6,TRUE,30
"E95BX","OK",FALSE,15.9,17.5,19.2,TRUE,4
"E95BY","OK",TRUE,12,13.5,17.3,TRUE,23
"E95BZ","OK",FALSE,13.8,13.6,20.1,TRUE,11
