"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"E96DA","OK",TRUE,21.9,11.9,30,TRUE,44
"E96DB","OK",FALSE,13.2,8.4,30,TRUE,7
"E96DE","OK",FALSE,12.8,11.1,30,TRUE,8
"E96DF","OK",FALSE,28.3,12,30,TRUE,5
"E96DG","OK",FALSE,23.3,13.5,30,TRUE,34
"E96DH","OK",FALSE,7,6.7,10.5,TRUE,4
"E96DJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E96DJ","No Data",NA,NA,NA,NA,TRUE,0
"E96DL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"E96DN","OK",FALSE,7.7,7.4,11.1,TRUE,3
"E96DP","OK",FALSE,15.9,15.9,19.7,FALSE,8
"E96DR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"E96DS","OK",FALSE,16.5,17.8,19.8,FALSE,24
"E96DT","OK",FALSE,13.3,15.3,18.6,FALSE,21
"E96DU","OK",FALSE,13.2,14.1,19.8,FALSE,30
"E96DW","OK",TRUE,7.9,7.2,16.6,TRUE,36
"E96DX","OK",FALSE,13.8,15.1,19.5,FALSE,12
"E96DY","OK",TRUE,11.3,12.1,20,TRUE,32
"E96DA","OK",TRUE,21.9,11.9,30,TRUE,44
"E96DB","OK",FALSE,13.2,8.4,30,TRUE,7
"E96DE","OK",FALSE,12.8,11.1,30,TRUE,8
"E96DF","OK",FALSE,28.3,12,30,TRUE,5
"E96DG","OK",FALSE,23.3,13.5,30,TRUE,34
"E96DH","OK",FALSE,7,6.7,10.5,TRUE,4
"E96DJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"E96DJ","No Data",NA,NA,NA,NA,TRUE,0
"E96DL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"E96DN","OK",FALSE,7.7,7.4,11.1,TRUE,3
"E96DP","OK",FALSE,15.9,15.9,19.7,FALSE,8
"E96DR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"E96DS","OK",FALSE,16.5,17.8,19.8,FALSE,24
"E96DT","OK",FALSE,13.3,15.3,18.6,FALSE,21
"E96DU","OK",FALSE,13.2,14.1,19.8,FALSE,30
"E96DW","OK",TRUE,7.9,7.2,16.6,TRUE,36
"E96DX","OK",FALSE,13.8,15.1,19.5,FALSE,12
"E96DY","OK",TRUE,11.3,12.1,20,TRUE,32
