"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"EC4Y0AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EC4Y0AA","No Data",NA,NA,NA,NA,FALSE,0
"EC4Y0AH","OK",TRUE,6.4,8.1,8.1,FALSE,7
"EC4Y0AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EC4Y0AL","No Data",NA,NA,NA,NA,FALSE,0
"EC4Y0AN","No Data",NA,NA,NA,NA,FALSE,0
"EC4Y0AP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EC4Y0AP","No Data",NA,NA,NA,NA,FALSE,0
"EC4Y0AR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EC4Y0AR","No Data",NA,NA,NA,NA,FALSE,0
"EC4Y0AY","OK",TRUE,13.4,15.3,23.6,FALSE,7
"EC4Y0BH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EC4Y0BH","No Data",NA,NA,NA,NA,FALSE,0
"EC4Y0BJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EC4Y0BJ","No Data",NA,NA,NA,NA,FALSE,0
"EC4Y0BS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EC4Y0BS","No Data",NA,NA,NA,NA,FALSE,0
"EC4Y0DA","OK",FALSE,8,8.1,8.1,FALSE,7
"EC4Y0DB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"EC4Y0DD","OK",FALSE,14.1,14.3,21.7,FALSE,18
"EC4Y0DF","OK",FALSE,14.1,15.7,21.9,FALSE,17
"EC4Y0DH","No premises",NA,NA,NA,NA,FALSE,0
"EC4Y0DJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EC4Y0DJ","No Data",NA,NA,NA,NA,FALSE,0
"EC4Y0DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EC4Y0DR","No Data",NA,NA,NA,NA,FALSE,0
