"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"EX55AA","OK",FALSE,5.8,5.7,8.1,FALSE,17
"EX55AB","OK",FALSE,6.2,6,8.1,FALSE,13
"EX55AD","OK",FALSE,6.6,8,8.1,FALSE,4
"EX55AE","OK",FALSE,6.1,6.8,8.1,FALSE,10
"EX55AF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55AF","No Data",NA,NA,NA,NA,FALSE,0
"EX55AG","OK",TRUE,5.3,5.1,8.1,FALSE,21
"EX55AH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55AH","No Data",NA,NA,NA,NA,FALSE,0
"EX55AJ","OK",TRUE,3.3,3.4,4.5,FALSE,3
"EX55AL","OK",TRUE,2.9,3.2,4.6,FALSE,4
"EX55AN","OK",FALSE,4.4,3.4,6.8,FALSE,3
"EX55AP","OK",FALSE,6.6,6.8,8.1,FALSE,10
"EX55AQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"EX55AR","OK",FALSE,6.9,6.6,8.1,FALSE,15
"EX55AS","OK",FALSE,7.3,7.6,8.1,FALSE,3
"EX55AT","OK",TRUE,5.6,6.8,7.6,TRUE,5
"EX55AU","OK",FALSE,5.7,6.2,7.9,FALSE,5
"EX55AW","OK",FALSE,5.2,6.2,6.2,FALSE,3
"EX55AX","OK",FALSE,6.4,6.7,7.6,FALSE,7
"EX55AY","OK",FALSE,6.4,6.8,8.1,FALSE,7
"EX55AZ","OK",FALSE,5.1,5.4,8.1,FALSE,8
"EX55BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55BA","No Data",NA,NA,NA,NA,FALSE,0
"EX55BB","OK",FALSE,5.3,4.8,8.1,FALSE,9
"EX55BG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55BG","No Data",NA,NA,NA,NA,FALSE,0
"EX55BH","OK",TRUE,5.3,6.8,8.1,FALSE,5
"EX55BJ","OK",FALSE,7.3,7.6,8.1,FALSE,15
"EX55BL","OK",FALSE,7,7.5,8.1,FALSE,10
"EX55BN","OK",FALSE,7.8,8,8.1,FALSE,3
"EX55BP","OK",FALSE,6.3,7.4,8.1,FALSE,23
"EX55BR","OK",TRUE,6.6,7.4,8.1,FALSE,19
"EX55BS","OK",TRUE,5,5.7,8.1,FALSE,6
"EX55BT","OK",TRUE,4,3.3,7.5,FALSE,6
"EX55BU","OK",FALSE,7.4,7.5,8.1,FALSE,6
"EX55BW","OK",FALSE,6.6,7,7.4,FALSE,4
"EX55BX","OK",FALSE,6,6,8.1,FALSE,3
"EX55BY","OK",FALSE,7.3,7.5,8.1,FALSE,8
"EX55BZ","OK",TRUE,6.3,7.2,8.1,FALSE,9
"EX55DA","OK",FALSE,8,8.1,8.1,FALSE,10
"EX55DB","OK",FALSE,7.1,7.8,8.1,FALSE,15
"EX55DD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55DD","No Data",NA,NA,NA,NA,FALSE,0
"EX55DE","OK",FALSE,6.4,7.6,8.1,FALSE,18
"EX55DF","OK",TRUE,5.6,6.5,7.6,FALSE,4
"EX55DG","OK",TRUE,3.4,3.4,6.2,TRUE,10
"EX55DP","OK",FALSE,5.8,6.6,7.4,FALSE,6
"EX55DR","OK",FALSE,6.1,7.4,7.6,FALSE,8
"EX55DS","OK",FALSE,4.3,4.3,5.1,FALSE,3
"EX55DT","OK",FALSE,6.5,6.5,7.6,FALSE,10
"EX55DU","OK",TRUE,4.6,5.7,6.8,FALSE,4
"EX55DW","OK",FALSE,6.4,6.8,8.1,FALSE,9
"EX55DX","OK",FALSE,5,5.1,6.5,FALSE,5
"EX55DY","OK",FALSE,4.4,4.6,6,FALSE,4
"EX55DZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55DZ","No Data",NA,NA,NA,NA,FALSE,0
"EX55EA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55EA","No Data",NA,NA,NA,NA,FALSE,0
"EX55EB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EX55EB","No Data",NA,NA,NA,NA,TRUE,0
"EX55ED","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EX55ED","No Data",NA,NA,NA,NA,TRUE,0
"EX55EE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EX55EE","No Data",NA,NA,NA,NA,TRUE,0
"EX55EF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EX55EF","No Data",NA,NA,NA,NA,TRUE,0
"EX55EG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EX55EG","No Data",NA,NA,NA,NA,TRUE,0
"EX55EJ","OK",TRUE,3.1,2.5,6.3,TRUE,6
"EX55EL","OK",FALSE,5,5,5.9,TRUE,3
"EX55EN","OK",FALSE,4.3,3.8,6.1,TRUE,6
"EX55EP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"EX55EP","No Data",NA,NA,NA,NA,TRUE,0
"EX55EQ","OK",TRUE,2.9,3,4,TRUE,8
"EX55ER","OK",TRUE,3,2.8,5.6,FALSE,19
"EX55ES","Insufficient Data",NA,NA,NA,NA,FALSE,2
"EX55ET","OK",TRUE,2.1,2.1,2.8,FALSE,3
"EX55EU","OK",TRUE,2.4,2.3,4.1,FALSE,17
"EX55EW","OK",FALSE,3.4,3.8,4,TRUE,3
"EX55HE","OK",FALSE,5.4,5.1,6.4,FALSE,4
"EX55HF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55HF","No Data",NA,NA,NA,NA,FALSE,0
"EX55HG","OK",FALSE,5.7,5.7,8.1,FALSE,12
"EX55HH","OK",FALSE,5.2,5.2,8.1,FALSE,4
"EX55HJ","OK",TRUE,3,1.9,6.8,FALSE,3
"EX55HL","OK",FALSE,6.2,6,7.4,FALSE,7
"EX55HN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"EX55HP","OK",FALSE,5.5,6,8,FALSE,13
"EX55HQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55HQ","No Data",NA,NA,NA,NA,FALSE,0
"EX55HR","OK",FALSE,4.8,4.8,5.7,FALSE,3
"EX55HS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55HS","No Data",NA,NA,NA,NA,FALSE,0
"EX55HT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"EX55HU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55HU","No Data",NA,NA,NA,NA,FALSE,0
"EX55HW","OK",FALSE,5.5,5.5,7.6,FALSE,11
"EX55HX","OK",TRUE,0.8,0.9,1.2,FALSE,8
"EX55HY","OK",TRUE,2,1.7,5.7,FALSE,11
"EX55HZ","OK",TRUE,1.8,1.7,3.6,FALSE,12
"EX55JA","OK",TRUE,3.1,2.3,15.3,FALSE,24
"EX55JB","OK",TRUE,1.5,1.4,2.6,FALSE,21
"EX55JD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"EX55JD","No Data",NA,NA,NA,NA,FALSE,0
"EX55JE","OK",TRUE,1.6,1.7,2.1,FALSE,8
"EX55JL","OK",TRUE,2.4,2.3,4.8,FALSE,11
"EX55JN","OK",TRUE,2.3,2.3,4.3,FALSE,3
"EX55JP","OK",TRUE,1,0.9,1.4,FALSE,3
"EX55JR","OK",TRUE,3,2.8,4.7,FALSE,10
"EX55JS","OK",TRUE,1.4,1.4,2,FALSE,8
"EX55JT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
