"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"FK38AA","No premises",NA,NA,NA,NA,FALSE,0
"FK38AB","OK",FALSE,22,21.5,30,TRUE,22
"FK38AE","No premises",NA,NA,NA,NA,TRUE,0
"FK38AF","OK",TRUE,11.5,12.8,19,TRUE,4
"FK38AG","No premises",NA,NA,NA,NA,TRUE,0
"FK38AH","No premises",NA,NA,NA,NA,TRUE,0
"FK38AL","OK",FALSE,30,30,30,TRUE,4
"FK38AN","OK",FALSE,21.6,8.1,30,TRUE,5
"FK38AS","No Data",NA,NA,NA,NA,TRUE,0
"FK38AT","No premises",NA,NA,NA,NA,FALSE,0
"FK38AW","OK",FALSE,18.4,19.7,23.3,TRUE,10
"FK38AY","No premises",NA,NA,NA,NA,FALSE,0
"FK38AZ","OK",FALSE,11.2,8.1,20.3,TRUE,5
"FK38BA","OK",FALSE,12.2,11.1,19.4,TRUE,6
"FK38BB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"FK38BD","Insufficient Data",NA,NA,NA,NA,FALSE,1
"FK38BE","OK",FALSE,21.5,20,30,TRUE,7
"FK38BG","OK",TRUE,9.2,8.1,21,TRUE,13
"FK38BL","OK",FALSE,30,21.5,30,TRUE,29
"FK38BN","OK",FALSE,30,24.4,30,TRUE,19
"FK38BP","OK",FALSE,30,30,30,TRUE,11
"FK38BQ","OK",FALSE,30,22.6,30,TRUE,11
"FK38BS","OK",FALSE,21.2,19.3,30,TRUE,12
"FK38BT","OK",FALSE,29.1,20,30,TRUE,20
"FK38BW","OK",FALSE,28.9,23.2,30,TRUE,12
"FK38BX","OK",FALSE,30,22,30,TRUE,37
"FK38BY","OK",FALSE,30,23.2,30,TRUE,12
"FK38BZ","OK",TRUE,25.7,20,30,TRUE,12
"FK38DA","OK",FALSE,30,30,30,TRUE,6
"FK38DG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"FK38DJ","No premises",NA,NA,NA,NA,FALSE,0
"FK38EB","No Data",NA,NA,NA,NA,FALSE,0
"FK38EG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"FK38EG","No Data",NA,NA,NA,NA,FALSE,0
"FK38EH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"FK38EH","No Data",NA,NA,NA,NA,FALSE,0
"FK38EL","OK",FALSE,30,15,30,TRUE,7
"FK38EN","No premises",NA,NA,NA,NA,TRUE,0
"FK38EP","OK",FALSE,20.8,30,30,TRUE,3
"FK38ET","No premises",NA,NA,NA,NA,FALSE,0
"FK38EU","OK",FALSE,30,20,30,TRUE,20
"FK38EX","OK",TRUE,23.9,20,30,TRUE,47
"FK38EY","OK",FALSE,27.6,20,30,TRUE,34
"FK38HA","OK",TRUE,22.6,20,30,TRUE,26
"FK38HB","OK",FALSE,21.5,20,30,TRUE,11
"FK38HD","OK",TRUE,19.9,14.2,30,TRUE,32
"FK38HE","OK",FALSE,30,30,30,TRUE,3
"FK38HF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK38HF","No Data",NA,NA,NA,NA,TRUE,0
"FK38HG","OK",TRUE,25.4,20,30,TRUE,18
"FK38HH","OK",FALSE,22.7,20,30,TRUE,15
"FK38HJ","OK",FALSE,26,25,30,TRUE,10
"FK38HL","OK",FALSE,6.5,6.3,10,TRUE,3
"FK38HN","OK",FALSE,30,20,30,TRUE,19
"FK38HQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK38HQ","No Data",NA,NA,NA,NA,TRUE,0
"FK38HR","OK",FALSE,30,30,30,TRUE,4
"FK38HT","OK",FALSE,22.2,22,30,TRUE,13
"FK38HU","OK",TRUE,24,15.1,30,TRUE,12
"FK38HW","Insufficient Data",NA,NA,NA,NA,TRUE,1
"FK38HX","OK",FALSE,29.8,20,30,TRUE,4
"FK38HY","OK",FALSE,25.9,22.8,30,TRUE,9
"FK38HZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK38HZ","No Data",NA,NA,NA,NA,TRUE,0
"FK38JB","No Data",NA,NA,NA,NA,TRUE,0
"FK38JD","OK",FALSE,29.3,17,30,TRUE,11
"FK38JE","OK",FALSE,30,20,30,TRUE,28
"FK38JF","OK",TRUE,22.9,20,30,TRUE,7
"FK38JH","OK",FALSE,28.4,20,30,TRUE,7
"FK38JN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"FK38JN","No Data",NA,NA,NA,NA,TRUE,0
"FK38JP","OK",FALSE,29.3,16.9,30,TRUE,12
"FK38JR","OK",FALSE,22,21.7,30,TRUE,7
"FK38JS","OK",FALSE,30,25.9,30,TRUE,14
"FK38JT","OK",FALSE,14.2,14.8,17,TRUE,6
"FK38JU","OK",FALSE,29.3,20,30,TRUE,26
