"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"G27JD","No premises",NA,NA,NA,NA,FALSE,0
"G27JF","No premises",NA,NA,NA,NA,FALSE,0
"G27JL","No premises",NA,NA,NA,NA,FALSE,0
"G27JN","No premises",NA,NA,NA,NA,FALSE,0
"G27JS","OK",FALSE,19.8,19.9,24.4,FALSE,6
"G27JT","No premises",NA,NA,NA,NA,FALSE,0
"G27JZ","OK",TRUE,12.1,15.3,20.5,FALSE,4
"G27JD","No premises",NA,NA,NA,NA,FALSE,0
"G27JF","No premises",NA,NA,NA,NA,FALSE,0
"G27JL","No premises",NA,NA,NA,NA,FALSE,0
"G27JN","No premises",NA,NA,NA,NA,FALSE,0
"G27JS","OK",FALSE,19.8,19.9,24.4,FALSE,6
"G27JT","No premises",NA,NA,NA,NA,FALSE,0
"G27JZ","OK",TRUE,12.1,15.3,20.5,FALSE,4
