"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"G412AA","OK",FALSE,14.9,15.7,21,TRUE,16
"G412AB","OK",FALSE,15.2,16.8,24,FALSE,22
"G412AD","OK",TRUE,19.5,15.8,30,FALSE,13
"G412AE","OK",FALSE,14.2,15.1,20.8,TRUE,22
"G412AF","OK",FALSE,18.1,16.2,30,TRUE,34
"G412AG","OK",FALSE,15.4,15.6,20.8,TRUE,32
"G412AJ","OK",FALSE,14.4,15.1,19.4,TRUE,17
"G412AL","OK",TRUE,11.4,13.1,18.5,TRUE,18
"G412AN","OK",TRUE,14.8,15.5,21,FALSE,34
"G412AQ","OK",FALSE,14.9,16,18,FALSE,8
"G412AX","OK",FALSE,25.1,17.4,30,TRUE,13
"G412AY","OK",FALSE,18.5,17.4,30,TRUE,10
"G412AZ","OK",TRUE,16,17.4,30,TRUE,46
"G412BA","OK",FALSE,13.6,15.3,18.9,TRUE,16
"G412BD","OK",TRUE,12.2,14.6,20.5,FALSE,22
"G412BG","OK",FALSE,15.5,16.4,20,FALSE,24
"G412BH","OK",TRUE,14.5,15.4,19.1,FALSE,17
"G412BJ","OK",TRUE,13.3,14.5,20.4,FALSE,35
"G412BL","OK",FALSE,15.7,16.5,19.1,FALSE,12
"G412BN","OK",FALSE,14.7,15,19.2,FALSE,20
"G412BP","No premises",NA,NA,NA,NA,FALSE,0
"G412BQ","OK",FALSE,16.1,16.9,21.6,FALSE,18
"G412BW","OK",FALSE,13.3,14.3,21.7,FALSE,33
"G412DA","OK",TRUE,12.5,14.3,19,FALSE,25
"G412DB","OK",FALSE,19,8.9,30,TRUE,25
"G412DD","OK",TRUE,17.1,7.8,30,TRUE,19
"G412DE","OK",FALSE,18.9,8.9,30,TRUE,37
"G412DF","OK",TRUE,16.5,7.4,30,TRUE,18
"G412DG","OK",TRUE,13.9,9.3,30,TRUE,60
"G412DH","OK",FALSE,12.3,6.8,30,TRUE,26
"G412DJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"G412DJ","No Data",NA,NA,NA,NA,TRUE,0
"G412DL","OK",FALSE,8.6,8.5,13.8,TRUE,8
"G412DN","OK",FALSE,13.1,8.9,30,TRUE,37
"G412DP","OK",TRUE,16.9,7.7,30,TRUE,38
"G412DW","OK",TRUE,13.5,8,30,TRUE,38
"G412DX","OK",FALSE,11.8,12,15.4,FALSE,6
"G412DY","OK",FALSE,11.6,9.8,30,TRUE,43
"G412DZ","OK",FALSE,10.4,9.3,30,FALSE,35
"G412EA","OK",TRUE,13.3,9.3,30,TRUE,52
"G412ED","OK",FALSE,30,13.8,30,TRUE,10
"G412EE","OK",FALSE,17.2,12.9,30,TRUE,30
"G412EF","OK",FALSE,17.2,10.9,30,TRUE,12
"G412EG","OK",TRUE,10.6,12.1,15.4,TRUE,34
"G412EH","OK",FALSE,18.9,12.4,30,TRUE,22
"G412EJ","OK",TRUE,13.4,13.4,30,TRUE,20
"G412EL","OK",FALSE,21.4,12.9,30,TRUE,11
"G412EN","OK",FALSE,11,11.7,15,TRUE,21
"G412EQ","OK",FALSE,17.9,11.7,30,TRUE,32
"G412ET","OK",FALSE,12.9,13.5,19.5,TRUE,27
"G412EX","OK",TRUE,12.9,8.3,30,TRUE,30
"G412EY","OK",TRUE,12.3,9,30,TRUE,23
"G412EZ","OK",FALSE,11.8,12.3,16,FALSE,28
"G412HA","OK",FALSE,14.5,12.6,30,FALSE,31
