"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"G49XA","OK",FALSE,4.9,5.1,6.8,FALSE,13
"G49XE","No premises",NA,NA,NA,NA,FALSE,0
"G49XF","No premises",NA,NA,NA,NA,FALSE,0
"G49XG","OK",FALSE,6.8,6.2,14.3,FALSE,7
"G49XL","No premises",NA,NA,NA,NA,FALSE,0
"G49XP","No Data",NA,NA,NA,NA,FALSE,0
"G49XQ","No premises",NA,NA,NA,NA,FALSE,0
"G49XR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G49XR","No Data",NA,NA,NA,NA,FALSE,0
"G49XW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G49XW","No Data",NA,NA,NA,NA,FALSE,0
"G49XA","OK",FALSE,4.9,5.1,6.8,FALSE,13
"G49XE","No premises",NA,NA,NA,NA,FALSE,0
"G49XF","No premises",NA,NA,NA,NA,FALSE,0
"G49XG","OK",FALSE,6.8,6.2,14.3,FALSE,7
"G49XL","No premises",NA,NA,NA,NA,FALSE,0
"G49XP","No Data",NA,NA,NA,NA,FALSE,0
"G49XQ","No premises",NA,NA,NA,NA,FALSE,0
"G49XR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G49XR","No Data",NA,NA,NA,NA,FALSE,0
"G49XW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"G49XW","No Data",NA,NA,NA,NA,FALSE,0
