"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"GL32AA","OK",TRUE,28.7,20,30,TRUE,13
"GL32AB","OK",TRUE,21.7,19.1,30,TRUE,19
"GL32AD","OK",FALSE,30,20,30,TRUE,13
"GL32AE","OK",FALSE,14.2,13.7,19.8,FALSE,7
"GL32AF","OK",FALSE,24,20,30,TRUE,14
"GL32AG","No premises",NA,NA,NA,NA,TRUE,0
"GL32AH","OK",FALSE,25.9,20,30,TRUE,8
"GL32AJ","OK",FALSE,30,21.9,30,TRUE,20
"GL32AL","OK",TRUE,28.7,20,30,TRUE,35
"GL32AN","OK",FALSE,30,19.5,30,TRUE,12
"GL32AP","OK",FALSE,29.9,20,30,TRUE,40
"GL32AQ","OK",FALSE,25,20,30,TRUE,17
"GL32AR","OK",FALSE,25.1,20,30,TRUE,20
"GL32AS","OK",FALSE,25.4,20,30,TRUE,19
"GL32AT","OK",FALSE,30,20,30,TRUE,21
"GL32AU","OK",TRUE,22.1,17.3,30,TRUE,14
"GL32AW","OK",TRUE,20.6,20,30,TRUE,22
"GL32AX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"GL32AY","OK",FALSE,21.9,20,30,TRUE,14
"GL32BA","OK",FALSE,16.7,15.4,22.1,FALSE,12
"GL32BB","OK",FALSE,15.5,17.2,22.9,FALSE,35
"GL32BH","OK",FALSE,17.4,16.7,30,TRUE,9
"GL32BJ","OK",FALSE,29.6,20,30,TRUE,17
"GL32BL","OK",FALSE,15.2,17.2,20,TRUE,5
"GL32BN","OK",FALSE,25.6,20,30,TRUE,25
"GL32BP","OK",FALSE,23,9.8,30,TRUE,13
"GL32BS","OK",FALSE,30,30,30,TRUE,14
"GL32BT","OK",FALSE,20.2,20,30,TRUE,15
"GL32BU","OK",FALSE,30,20,30,TRUE,14
"GL32BW","OK",TRUE,28.8,20,30,TRUE,18
"GL32BX","OK",TRUE,9.7,8.1,17,TRUE,7
"GL32BY","No premises",NA,NA,NA,NA,TRUE,0
"GL32BZ","No premises",NA,NA,NA,NA,FALSE,0
"GL32DB","OK",FALSE,23.8,16.2,30,TRUE,11
"GL32DE","OK",FALSE,30,30,30,TRUE,9
"GL32DF","OK",FALSE,30,25,30,TRUE,12
"GL32DG","OK",FALSE,15.4,17.1,20,TRUE,8
"GL32DH","OK",FALSE,30,30,30,TRUE,6
"GL32DJ","OK",FALSE,30,25,30,TRUE,4
"GL32DL","OK",FALSE,26.9,20,30,TRUE,43
"GL32DN","OK",FALSE,16.2,15.3,30,TRUE,17
"GL32DP","OK",FALSE,23.6,20,30,TRUE,11
"GL32DQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"GL32DQ","No Data",NA,NA,NA,NA,TRUE,0
"GL32DR","No premises",NA,NA,NA,NA,TRUE,0
"GL32DS","OK",TRUE,21.7,17.2,30,TRUE,25
"GL32DT","OK",FALSE,22.8,13.2,30,TRUE,10
"GL32DU","OK",TRUE,18.3,16.4,30,TRUE,25
"GL32DW","OK",FALSE,26.1,16.7,30,TRUE,16
"GL32DX","OK",FALSE,22.4,13.7,30,TRUE,7
"GL32DY","OK",FALSE,20.7,13.9,30,TRUE,6
"GL32DZ","OK",FALSE,21.7,20,30,TRUE,19
"GL32EA","OK",FALSE,16.7,20,20,TRUE,4
"GL32EB","OK",FALSE,20.1,20,30,TRUE,18
"GL32ED","OK",FALSE,24.5,20,30,TRUE,11
"GL32EN","OK",TRUE,10.6,11.6,18,FALSE,29
"GL32EP","OK",FALSE,14.4,13.5,30,TRUE,6
"GL32EQ","OK",FALSE,13.6,9.4,30,TRUE,5
"GL32ER","OK",FALSE,30,20,30,TRUE,13
"GL32ES","OK",FALSE,13.3,14.1,20,TRUE,7
"GL32ET","OK",FALSE,30,20,30,TRUE,21
"GL32EU","OK",FALSE,18.2,13.4,30,TRUE,30
"GL32EW","OK",FALSE,18.9,10.2,30,TRUE,6
"GL32EX","OK",FALSE,13,11,30,TRUE,21
"GL32EZ","OK",FALSE,24.5,15.3,30,TRUE,12
"GL32HA","OK",FALSE,30,30,30,TRUE,7
"GL32HB","OK",FALSE,30,20.8,30,TRUE,20
"GL32HD","OK",FALSE,23.3,20,30,TRUE,6
"GL32HE","OK",FALSE,19.8,20,30,TRUE,19
"GL32HF","OK",FALSE,30,18.1,30,TRUE,11
"GL32HG","OK",FALSE,24.2,19.1,30,TRUE,20
"GL32HH","OK",FALSE,30,30,30,TRUE,9
