"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"GU91AA","No premises",NA,NA,NA,NA,FALSE,0
"GU91AH","No premises",NA,NA,NA,NA,FALSE,0
"GU91AJ","No premises",NA,NA,NA,NA,FALSE,0
"GU91AY","No premises",NA,NA,NA,NA,FALSE,0
"GU91BG","No premises",NA,NA,NA,NA,FALSE,0
"GU91BP","No premises",NA,NA,NA,NA,FALSE,0
"GU91BY","No premises",NA,NA,NA,NA,FALSE,0
"GU91DE","No premises",NA,NA,NA,NA,FALSE,0
"GU91DQ","No premises",NA,NA,NA,NA,FALSE,0
"GU91DT","No premises",NA,NA,NA,NA,FALSE,0
"GU91DW","No premises",NA,NA,NA,NA,FALSE,0
"GU91EH","No premises",NA,NA,NA,NA,FALSE,0
"GU91FD","No premises",NA,NA,NA,NA,FALSE,0
"GU91FJ","No premises",NA,NA,NA,NA,FALSE,0
"GU91FQ","No premises",NA,NA,NA,NA,FALSE,0
"GU91FR","No premises",NA,NA,NA,NA,FALSE,0
"GU91FS","No premises",NA,NA,NA,NA,FALSE,0
"GU91FW","No premises",NA,NA,NA,NA,FALSE,0
"GU91GF","No premises",NA,NA,NA,NA,FALSE,0
"GU91GH","No premises",NA,NA,NA,NA,FALSE,0
"GU91GN","No premises",NA,NA,NA,NA,FALSE,0
"GU91GR","No premises",NA,NA,NA,NA,FALSE,0
"GU91GT","No premises",NA,NA,NA,NA,FALSE,0
"GU91GX","No premises",NA,NA,NA,NA,FALSE,0
"GU91GY","No premises",NA,NA,NA,NA,FALSE,0
"GU91GZ","No premises",NA,NA,NA,NA,FALSE,0
"GU91HA","No premises",NA,NA,NA,NA,FALSE,0
"GU91HB","No premises",NA,NA,NA,NA,FALSE,0
"GU91HD","No premises",NA,NA,NA,NA,FALSE,0
"GU91HF","No premises",NA,NA,NA,NA,FALSE,0
"GU91HJ","No premises",NA,NA,NA,NA,FALSE,0
"GU91HL","No premises",NA,NA,NA,NA,FALSE,0
"GU91HN","No premises",NA,NA,NA,NA,FALSE,0
"GU91HP","No premises",NA,NA,NA,NA,FALSE,0
"GU91HQ","No premises",NA,NA,NA,NA,FALSE,0
"GU91HR","No premises",NA,NA,NA,NA,FALSE,0
"GU91HT","No premises",NA,NA,NA,NA,FALSE,0
"GU91HU","No premises",NA,NA,NA,NA,FALSE,0
"GU91HW","No premises",NA,NA,NA,NA,FALSE,0
"GU91HX","No premises",NA,NA,NA,NA,FALSE,0
"GU91HZ","No premises",NA,NA,NA,NA,FALSE,0
"GU91JA","No premises",NA,NA,NA,NA,FALSE,0
"GU91JB","No premises",NA,NA,NA,NA,FALSE,0
"GU91JD","No premises",NA,NA,NA,NA,FALSE,0
"GU91JE","No premises",NA,NA,NA,NA,FALSE,0
"GU91JF","No premises",NA,NA,NA,NA,FALSE,0
"GU91AA","No premises",NA,NA,NA,NA,FALSE,0
"GU91AH","No premises",NA,NA,NA,NA,FALSE,0
"GU91AJ","No premises",NA,NA,NA,NA,FALSE,0
"GU91AY","No premises",NA,NA,NA,NA,FALSE,0
"GU91BG","No premises",NA,NA,NA,NA,FALSE,0
"GU91BP","No premises",NA,NA,NA,NA,FALSE,0
"GU91BY","No premises",NA,NA,NA,NA,FALSE,0
"GU91DE","No premises",NA,NA,NA,NA,FALSE,0
"GU91DQ","No premises",NA,NA,NA,NA,FALSE,0
"GU91DT","No premises",NA,NA,NA,NA,FALSE,0
"GU91DW","No premises",NA,NA,NA,NA,FALSE,0
"GU91EH","No premises",NA,NA,NA,NA,FALSE,0
"GU91FD","No premises",NA,NA,NA,NA,FALSE,0
"GU91FJ","No premises",NA,NA,NA,NA,FALSE,0
"GU91FQ","No premises",NA,NA,NA,NA,FALSE,0
"GU91FR","No premises",NA,NA,NA,NA,FALSE,0
"GU91FS","No premises",NA,NA,NA,NA,FALSE,0
"GU91FW","No premises",NA,NA,NA,NA,FALSE,0
"GU91GF","No premises",NA,NA,NA,NA,FALSE,0
"GU91GH","No premises",NA,NA,NA,NA,FALSE,0
"GU91GN","No premises",NA,NA,NA,NA,FALSE,0
"GU91GR","No premises",NA,NA,NA,NA,FALSE,0
"GU91GT","No premises",NA,NA,NA,NA,FALSE,0
"GU91GX","No premises",NA,NA,NA,NA,FALSE,0
"GU91GY","No premises",NA,NA,NA,NA,FALSE,0
"GU91GZ","No premises",NA,NA,NA,NA,FALSE,0
"GU91HA","No premises",NA,NA,NA,NA,FALSE,0
"GU91HB","No premises",NA,NA,NA,NA,FALSE,0
"GU91HD","No premises",NA,NA,NA,NA,FALSE,0
"GU91HF","No premises",NA,NA,NA,NA,FALSE,0
"GU91HJ","No premises",NA,NA,NA,NA,FALSE,0
"GU91HL","No premises",NA,NA,NA,NA,FALSE,0
"GU91HN","No premises",NA,NA,NA,NA,FALSE,0
"GU91HP","No premises",NA,NA,NA,NA,FALSE,0
"GU91HQ","No premises",NA,NA,NA,NA,FALSE,0
"GU91HR","No premises",NA,NA,NA,NA,FALSE,0
"GU91HT","No premises",NA,NA,NA,NA,FALSE,0
"GU91HU","No premises",NA,NA,NA,NA,FALSE,0
"GU91HW","No premises",NA,NA,NA,NA,FALSE,0
"GU91HX","No premises",NA,NA,NA,NA,FALSE,0
"GU91HZ","No premises",NA,NA,NA,NA,FALSE,0
"GU91JA","No premises",NA,NA,NA,NA,FALSE,0
"GU91JB","No premises",NA,NA,NA,NA,FALSE,0
"GU91JD","No premises",NA,NA,NA,NA,FALSE,0
"GU91JE","No premises",NA,NA,NA,NA,FALSE,0
"GU91JF","No premises",NA,NA,NA,NA,FALSE,0
