"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"HA54AA","OK",FALSE,20.7,12.1,30,TRUE,18
"HA54AB","OK",FALSE,17.5,8.1,30,TRUE,21
"HA54AD","OK",FALSE,30,19,30,TRUE,6
"HA54AE","OK",TRUE,18.7,11.4,30,TRUE,6
"HA54AF","OK",TRUE,30,10,30,TRUE,21
"HA54AG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"HA54AG","No Data",NA,NA,NA,NA,TRUE,0
"HA54AH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HA54AH","No Data",NA,NA,NA,NA,FALSE,0
"HA54AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HA54AJ","No Data",NA,NA,NA,NA,FALSE,0
"HA54AL","OK",FALSE,5.2,4.9,7.8,TRUE,6
"HA54AN","OK",TRUE,4.9,5.3,8.4,FALSE,9
"HA54AP","OK",TRUE,8.7,6.9,30,TRUE,16
"HA54AQ","OK",FALSE,13.4,6.3,30,TRUE,11
"HA54AR","OK",TRUE,21,8.5,30,TRUE,15
"HA54AS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"HA54AS","No Data",NA,NA,NA,NA,FALSE,0
"HA54AW","OK",TRUE,9,7.2,30,TRUE,18
"HA54AX","OK",FALSE,18.2,12.8,30,TRUE,7
"HA54AY","OK",FALSE,13.2,10.3,30,TRUE,16
"HA54AZ","OK",TRUE,24.3,6.3,30,TRUE,5
"HA54BA","OK",FALSE,25.3,30,30,TRUE,6
"HA54BB","No premises",NA,NA,NA,NA,FALSE,0
"HA54BH","OK",FALSE,27.1,14.4,30,TRUE,18
"HA54BJ","OK",FALSE,29.6,16.6,30,TRUE,27
"HA54BL","OK",FALSE,14.9,11.1,30,TRUE,15
"HA54BN","OK",FALSE,22.2,10.2,30,TRUE,12
"HA54BP","OK",FALSE,18.3,15.5,30,TRUE,11
"HA54BS","OK",FALSE,24.1,9.7,30,TRUE,13
"HA54BT","OK",TRUE,18.3,9.1,30,TRUE,14
"HA54BU","OK",TRUE,12.8,8.6,30,TRUE,13
"HA54BW","OK",FALSE,14,12.3,30,TRUE,9
"HA54BX","OK",FALSE,12.9,9.4,30,TRUE,11
"HA54BY","OK",FALSE,19.4,15.4,30,TRUE,18
"HA54BZ","OK",FALSE,30,25,30,TRUE,12
"HA54DA","OK",FALSE,15.3,14.2,30,TRUE,8
"HA54DB","OK",FALSE,19,18.2,30,TRUE,7
"HA54DD","OK",FALSE,11.7,11,20,TRUE,6
"HA54DE","OK",TRUE,18,12.1,30,TRUE,30
"HA54DF","OK",TRUE,24.2,15,30,TRUE,22
"HA54DG","OK",FALSE,17.8,10,30,TRUE,13
"HA54DH","OK",FALSE,12.5,12.3,19,TRUE,6
"HA54DP","OK",FALSE,24.6,15.3,30,TRUE,25
"HA54DQ","OK",FALSE,8.7,8.6,12.2,TRUE,5
"HA54DR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"HA54DR","No Data",NA,NA,NA,NA,TRUE,0
"HA54DS","OK",FALSE,23,17,30,TRUE,28
"HA54DT","OK",FALSE,29.7,18.1,30,TRUE,28
"HA54DU","OK",FALSE,30,16.5,30,TRUE,22
"HA54DX","OK",FALSE,27.1,18,30,TRUE,17
"HA54DY","OK",FALSE,15.5,11.8,30,TRUE,17
"HA54DZ","OK",FALSE,17.2,11.7,30,TRUE,21
"HA54EA","OK",FALSE,12.3,12.1,18.2,TRUE,4
"HA54EB","OK",FALSE,23,20,30,TRUE,32
