"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"HG49AD","No premises",NA,NA,NA,NA,FALSE,0
"HG49AR","No premises",NA,NA,NA,NA,FALSE,0
"HG49AU","No premises",NA,NA,NA,NA,FALSE,0
"HG49AW","No premises",NA,NA,NA,NA,FALSE,0
"HG49AZ","No premises",NA,NA,NA,NA,FALSE,0
"HG49BA","No premises",NA,NA,NA,NA,FALSE,0
"HG49BB","No premises",NA,NA,NA,NA,FALSE,0
"HG49AD","No premises",NA,NA,NA,NA,FALSE,0
"HG49AR","No premises",NA,NA,NA,NA,FALSE,0
"HG49AU","No premises",NA,NA,NA,NA,FALSE,0
"HG49AW","No premises",NA,NA,NA,NA,FALSE,0
"HG49AZ","No premises",NA,NA,NA,NA,FALSE,0
"HG49BA","No premises",NA,NA,NA,NA,FALSE,0
"HG49BB","No premises",NA,NA,NA,NA,FALSE,0
