"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"HX48AA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"HX48AA","No Data",NA,NA,NA,NA,TRUE,0
"HX48AB","OK",FALSE,9.5,9.6,12.5,TRUE,7
"HX48AD","OK",FALSE,8.1,8.4,11,TRUE,6
"HX48AF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX48AG","OK",TRUE,18.4,9.2,30,TRUE,23
"HX48AH","OK",FALSE,12.1,7.2,30,TRUE,16
"HX48AJ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"HX48AJ","No Data",NA,NA,NA,NA,TRUE,0
"HX48AL","OK",FALSE,8.1,7.9,11.6,TRUE,3
"HX48AN","OK",FALSE,12.6,17.3,18.2,TRUE,3
"HX48AP","OK",FALSE,12.2,8.2,30,TRUE,19
"HX48AQ","OK",FALSE,7.8,7.8,7.8,TRUE,4
"HX48AR","OK",FALSE,9.9,8.9,30,TRUE,21
"HX48AS","OK",FALSE,5.6,6.4,6.6,TRUE,3
"HX48AT","OK",FALSE,7.8,7.3,11.7,TRUE,7
"HX48AU","OK",TRUE,5.9,6.3,9.1,TRUE,7
"HX48AW","OK",TRUE,8.5,6.6,30,TRUE,18
"HX48AX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX48AY","OK",FALSE,25.4,9.9,30,TRUE,3
"HX48BA","OK",FALSE,12.6,11.6,19.4,TRUE,8
"HX48BB","No premises",NA,NA,NA,NA,TRUE,0
"HX48BD","OK",FALSE,9.5,9.3,14.8,TRUE,15
"HX48BH","OK",TRUE,5.5,5.5,8.9,FALSE,34
"HX48BJ","OK",TRUE,4.2,3.6,6.9,TRUE,9
"HX48BL","OK",TRUE,7,6.2,23.8,TRUE,28
"HX48BN","OK",TRUE,9.9,7.8,30,TRUE,13
"HX48BP","OK",TRUE,16.6,7.7,30,TRUE,18
"HX48BQ","OK",TRUE,5.9,5.9,10.4,FALSE,21
"HX48BS","OK",FALSE,30,30,30,TRUE,3
"HX48BT","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX48BU","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX48BW","OK",FALSE,20.5,10.9,30,TRUE,4
"HX48BX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX48BY","OK",FALSE,6.7,5.2,10.2,TRUE,7
"HX48BZ","OK",TRUE,5.7,6.1,8.2,TRUE,7
"HX48DA","OK",FALSE,6.5,5.9,10,TRUE,9
"HX48DB","OK",TRUE,12,7.8,30,TRUE,32
"HX48DD","OK",FALSE,5.6,5.5,7.6,TRUE,4
"HX48DE","OK",TRUE,10.9,5.8,30,TRUE,36
"HX48DF","OK",FALSE,14.1,10.5,30,TRUE,8
"HX48DG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX48DH","OK",FALSE,20.5,10.8,30,TRUE,6
"HX48DJ","OK",FALSE,10.7,9.2,15.5,TRUE,12
"HX48DL","OK",FALSE,30,14.5,30,TRUE,4
"HX48DN","OK",FALSE,6.8,5.7,13.4,TRUE,5
"HX48DP","OK",FALSE,8,7.3,12.7,TRUE,9
"HX48DQ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"HX48DR","OK",FALSE,21.3,11.3,30,TRUE,5
"HX48DS","OK",TRUE,17.7,9.4,30,TRUE,17
"HX48DT","OK",TRUE,5.5,5.8,9.2,TRUE,33
"HX48DU","OK",TRUE,9,7.7,30,TRUE,50
