"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"IV26AA","OK",TRUE,2.4,2.4,4.1,FALSE,12
"IV26AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26AB","No Data",NA,NA,NA,NA,FALSE,0
"IV26AD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV26AE","OK",TRUE,2.7,2,8.1,FALSE,12
"IV26AF","OK",TRUE,1.3,1.4,1.6,FALSE,3
"IV26AG","No premises",NA,NA,NA,NA,FALSE,0
"IV26AH","OK",TRUE,1.9,1.2,3.6,FALSE,12
"IV26AJ","OK",TRUE,2,2.1,2.8,FALSE,7
"IV26AL","OK",FALSE,4.1,4.2,5.1,FALSE,5
"IV26AN","OK",TRUE,4.4,4.8,8,FALSE,6
"IV26AP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"IV26AQ","OK",TRUE,2.6,2.7,4.1,FALSE,8
"IV26AR","OK",TRUE,2.6,2.3,4.9,FALSE,18
"IV26AS","OK",TRUE,2.9,2.9,4.9,FALSE,22
"IV26AT","OK",TRUE,3.7,3.7,6.8,FALSE,49
"IV26AU","OK",TRUE,3.1,3.4,4.1,FALSE,15
"IV26AW","OK",TRUE,0.6,0.4,1.6,FALSE,5
"IV26AX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV26AY","OK",TRUE,3.1,3.2,4.2,FALSE,31
"IV26AZ","OK",TRUE,3.4,3,19.7,FALSE,39
"IV26BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26BA","No Data",NA,NA,NA,NA,FALSE,0
"IV26BB","OK",TRUE,2.5,2.7,4.1,FALSE,48
"IV26BD","OK",TRUE,2.1,2.1,3.6,FALSE,34
"IV26BE","OK",TRUE,2,2,6.6,FALSE,47
"IV26BF","OK",TRUE,1.8,1.9,2.6,FALSE,64
"IV26BG","OK",TRUE,2.5,2.5,3.9,FALSE,27
"IV26BH","OK",TRUE,1.9,1.8,3.1,FALSE,12
"IV26BN","OK",TRUE,3,3.5,3.8,FALSE,3
"IV26BQ","OK",FALSE,3.2,3.2,3.7,FALSE,10
"IV26BS","OK",TRUE,2.6,2.6,4.1,FALSE,34
"IV26BT","OK",TRUE,2.4,2.4,3.4,FALSE,26
"IV26BU","OK",TRUE,3.2,2.6,15.1,FALSE,17
"IV26BW","OK",TRUE,3.8,4.1,6.1,FALSE,32
"IV26BX","OK",FALSE,3.2,3.2,4,FALSE,4
"IV26BY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26BY","No Data",NA,NA,NA,NA,FALSE,0
"IV26DE","OK",TRUE,6.2,6.8,8,FALSE,31
"IV26DG","OK",FALSE,6.9,6.8,8.1,FALSE,47
"IV26DH","OK",TRUE,2.5,2.1,6.2,FALSE,13
"IV26DJ","OK",TRUE,1.9,1.7,4,FALSE,27
"IV26DL","OK",TRUE,2.4,1.6,8.1,FALSE,22
"IV26DN","OK",TRUE,3.3,2.3,8.1,FALSE,9
"IV26DP","OK",FALSE,7.7,8.1,8.1,FALSE,6
"IV26DR","OK",FALSE,5.7,6.9,7.4,FALSE,6
"IV26EL","OK",TRUE,5.7,7.2,8.1,FALSE,5
"IV26GA","OK",FALSE,4.3,4.4,5.7,FALSE,10
"IV26GB","OK",FALSE,4.1,4,5.5,FALSE,3
"IV26GD","OK",TRUE,4.1,4.3,5.7,FALSE,10
"IV26GE","OK",FALSE,3.3,3.1,4.5,FALSE,4
"IV26GF","OK",FALSE,4,4.5,4.5,FALSE,4
"IV26GG","OK",FALSE,7.1,7.2,8.1,FALSE,9
"IV26GH","OK",FALSE,6.8,7.4,8.1,FALSE,43
"IV26GJ","OK",TRUE,2.5,2.3,4.5,FALSE,14
"IV26GL","OK",TRUE,3.3,3.4,5.7,FALSE,35
"IV26GN","OK",TRUE,4.1,4,6,FALSE,16
"IV26GP","OK",TRUE,4,4,8.1,FALSE,59
"IV26GQ","OK",TRUE,3.6,3.6,6.8,FALSE,20
"IV26GR","OK",TRUE,3,3,5.7,FALSE,15
"IV26GS","OK",TRUE,4,3.7,6.8,FALSE,12
"IV26GT","OK",TRUE,4.7,5.4,8,FALSE,18
"IV26GU","OK",TRUE,5.6,6,8.1,FALSE,60
"IV26GW","OK",FALSE,4.9,4.6,7.3,FALSE,14
"IV26GX","OK",FALSE,4.5,4.5,5.8,FALSE,7
"IV26GY","OK",FALSE,5.8,6.1,8.1,FALSE,14
"IV26GZ","OK",TRUE,6.2,7.2,8.1,FALSE,28
"IV26HA","OK",TRUE,5.1,5.7,8,FALSE,61
"IV26HB","OK",TRUE,4.5,4.5,7.8,FALSE,49
"IV26HD","OK",TRUE,4.5,4.3,7.6,FALSE,24
"IV26HE","OK",TRUE,4.3,4,16.9,FALSE,49
"IV26HF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26HF","No Data",NA,NA,NA,NA,FALSE,0
"IV26HG","OK",FALSE,7.7,8,8.1,FALSE,11
"IV26RB","OK",TRUE,1.5,1.6,2.9,FALSE,40
"IV26RD","OK",TRUE,1.9,1.6,3.4,FALSE,65
"IV26RE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26RE","No Data",NA,NA,NA,NA,FALSE,0
"IV26RF","OK",TRUE,2.2,2.1,4,FALSE,46
"IV26RG","OK",TRUE,2.2,2.2,3.4,FALSE,63
"IV26RH","OK",TRUE,1.5,1.6,3,FALSE,51
"IV26TQ","OK",FALSE,6.8,8,8.1,FALSE,5
"IV26TR","OK",FALSE,7.7,8.1,8.1,FALSE,21
"IV26TS","OK",FALSE,7,7.4,8.1,FALSE,21
"IV26TT","OK",FALSE,8.1,8.1,8.1,FALSE,4
"IV26TU","OK",FALSE,5.6,6.1,8.1,FALSE,7
"IV26TW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26TW","No Data",NA,NA,NA,NA,FALSE,0
"IV26TX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV26TY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"IV26TZ","No Data",NA,NA,NA,NA,FALSE,0
"IV26UA","OK",TRUE,2.3,2.5,3.4,FALSE,4
"IV26UB","OK",TRUE,2.6,2.9,5.7,FALSE,17
"IV26UD","Insufficient Data",NA,NA,NA,NA,FALSE,1
"IV26UE","OK",TRUE,2,2.6,2.8,FALSE,4
"IV26UF","OK",TRUE,2.2,1.9,3.8,FALSE,11
"IV26UG","No Data",NA,NA,NA,NA,FALSE,0
"IV26UH","OK",TRUE,5.6,5.7,8.1,FALSE,30
"IV26UJ","OK",TRUE,6.5,7.4,8.1,FALSE,31
"IV26UL","OK",FALSE,6.4,6.3,8,FALSE,4
"IV26UN","OK",TRUE,2.7,3.1,4.5,FALSE,11
"IV26UP","OK",TRUE,0.8,0.9,1.4,FALSE,10
"IV26UQ","OK",TRUE,3.2,3.1,5.8,FALSE,18
"IV26UR","OK",TRUE,1.5,1.3,3.3,FALSE,25
"IV26US","OK",TRUE,2,1.5,4.6,FALSE,13
"IV26UT","OK",TRUE,3.5,3.5,6.1,FALSE,9
"IV26UU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26UU","No Data",NA,NA,NA,NA,FALSE,0
"IV26UW","OK",FALSE,4.7,4.8,5.7,FALSE,3
"IV26UX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26UX","No Data",NA,NA,NA,NA,FALSE,0
"IV26UY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26UY","No Data",NA,NA,NA,NA,FALSE,0
"IV26UZ","OK",FALSE,3.5,3.5,4.7,FALSE,9
"IV26WG","OK",TRUE,2.9,2.8,5.9,FALSE,7
"IV26WT","OK",TRUE,3.4,3,5.8,FALSE,11
"IV26XA","OK",TRUE,6.4,7.4,8.1,FALSE,24
"IV26XB","OK",TRUE,6.1,6.3,8.1,FALSE,16
"IV26XD","OK",TRUE,4.7,5.1,7.7,FALSE,12
"IV26XE","OK",TRUE,4.9,5.5,7.4,FALSE,8
"IV26XF","OK",TRUE,6,6.7,8.1,FALSE,19
"IV26XG","OK",TRUE,4.7,4.4,18.9,FALSE,47
"IV26XH","OK",TRUE,4.3,5.1,8.1,FALSE,9
"IV26XJ","OK",TRUE,6.6,7.6,8.1,FALSE,32
"IV26XN","OK",TRUE,2.9,2.3,6.2,FALSE,7
"IV26XP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV26XP","No Data",NA,NA,NA,NA,FALSE,0
"IV26XR","OK",TRUE,0.6,0.6,0.9,FALSE,8
"IV26XS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV26XT","OK",TRUE,1.8,1.8,2,FALSE,5
"IV26XU","OK",TRUE,2.3,1.4,6.8,FALSE,8
"IV26XW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV26XX","OK",FALSE,5.2,4.5,7.8,FALSE,10
"IV26XY","OK",TRUE,4.2,4,7.4,FALSE,14
"IV26XZ","OK",TRUE,3.1,2,7.2,FALSE,3
"IV26YA","OK",TRUE,4.8,5.7,6.6,FALSE,5
"IV26YB","OK",TRUE,1.2,1.1,2.2,FALSE,8
"IV26YE","OK",TRUE,1.2,1.2,1.2,FALSE,3
"IV26YF","OK",TRUE,0.7,0.4,1.3,FALSE,3
"IV26YG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV26YH","OK",TRUE,1.1,1.1,2.2,FALSE,12
"IV26YJ","OK",FALSE,7.2,7.4,8.1,FALSE,5
"IV26YP","OK",FALSE,7.1,8.1,8.1,FALSE,20
"IV26YR","OK",FALSE,7.2,7.4,8.1,FALSE,5
"IV26YS","OK",TRUE,5.4,6.8,8.1,FALSE,10
"IV262PH","OK",FALSE,6.4,6.7,8.1,FALSE,5
"IV262SR","Insufficient Data",NA,NA,NA,NA,FALSE,1
"IV262SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV262SS","No Data",NA,NA,NA,NA,FALSE,0
"IV262SW","OK",FALSE,6.4,6.8,8.1,FALSE,10
"IV262SX","OK",FALSE,7.4,8.1,8.1,FALSE,22
"IV262SY","No premises",NA,NA,NA,NA,FALSE,0
"IV262SZ","OK",TRUE,6.4,7.4,8.1,FALSE,36
"IV262TB","OK",FALSE,6.3,8.1,8.1,FALSE,7
"IV262TD","OK",TRUE,7.1,8.1,8.1,FALSE,44
"IV262TE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV262TF","OK",FALSE,7.4,7.4,8.1,FALSE,18
"IV262TG","Insufficient Data",NA,NA,NA,NA,FALSE,2
"IV262TH","OK",FALSE,7,7.3,8.1,FALSE,13
"IV262TJ","OK",TRUE,4.1,4,6.8,FALSE,11
"IV262TL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV262TL","No Data",NA,NA,NA,NA,FALSE,0
"IV262TN","OK",TRUE,3.3,3.4,6.1,FALSE,11
"IV262TP","OK",TRUE,0.6,0.6,0.6,FALSE,10
"IV262TQ","No premises",NA,NA,NA,NA,FALSE,0
"IV262TR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV262TR","No Data",NA,NA,NA,NA,FALSE,0
"IV262TS","OK",FALSE,7.3,7.7,8.1,FALSE,36
"IV262TU","OK",FALSE,6.7,8.1,8.1,FALSE,5
"IV262TW","OK",FALSE,0,0,0,FALSE,4
"IV262TX","OK",FALSE,7.3,8.1,8.1,FALSE,19
"IV262TY","OK",FALSE,7.7,8.1,8.1,FALSE,11
"IV262UB","OK",TRUE,7.2,8.1,8.1,FALSE,17
"IV262UD","No premises",NA,NA,NA,NA,FALSE,0
"IV262UE","OK",FALSE,6.2,7.4,8.1,FALSE,9
"IV262UG","No premises",NA,NA,NA,NA,FALSE,0
"IV262UH","Insufficient Data",NA,NA,NA,NA,FALSE,1
"IV262UJ","OK",TRUE,6.8,8.1,8.1,FALSE,11
"IV262UN","OK",FALSE,5.5,5.7,8.1,FALSE,10
"IV262UP","OK",TRUE,7,7.4,8.1,FALSE,21
"IV262UQ","No premises",NA,NA,NA,NA,FALSE,0
"IV262UR","OK",FALSE,7.1,8.1,8.1,FALSE,17
"IV262US","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"IV262US","No Data",NA,NA,NA,NA,FALSE,0
"IV262UT","OK",FALSE,7.2,8.1,8.1,FALSE,3
