"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"KA19AQ","No premises",NA,NA,NA,NA,FALSE,0
"KA19AW","No premises",NA,NA,NA,NA,FALSE,0
"KA19BB","No premises",NA,NA,NA,NA,FALSE,0
"KA19BJ","No premises",NA,NA,NA,NA,FALSE,0
"KA19BP","No premises",NA,NA,NA,NA,FALSE,0
"KA19BU","No premises",NA,NA,NA,NA,FALSE,0
"KA19DG","No premises",NA,NA,NA,NA,FALSE,0
"KA19DH","No premises",NA,NA,NA,NA,FALSE,0
"KA19DJ","No premises",NA,NA,NA,NA,FALSE,0
"KA19DN","No premises",NA,NA,NA,NA,FALSE,0
"KA19DP","No premises",NA,NA,NA,NA,FALSE,0
"KA19DU","No premises",NA,NA,NA,NA,FALSE,0
"KA19DX","No premises",NA,NA,NA,NA,FALSE,0
"KA19EE","No premises",NA,NA,NA,NA,FALSE,0
"KA19EF","No premises",NA,NA,NA,NA,FALSE,0
"KA19EL","No premises",NA,NA,NA,NA,FALSE,0
"KA19EN","No premises",NA,NA,NA,NA,FALSE,0
"KA19ER","No premises",NA,NA,NA,NA,FALSE,0
"KA19ET","No premises",NA,NA,NA,NA,FALSE,0
"KA19EU","No premises",NA,NA,NA,NA,FALSE,0
"KA19EW","No premises",NA,NA,NA,NA,FALSE,0
"KA19EX","No premises",NA,NA,NA,NA,FALSE,0
"KA19SA","No premises",NA,NA,NA,NA,FALSE,0
"KA19SB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SB","No Data",NA,NA,NA,NA,FALSE,0
"KA19SD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SD","No Data",NA,NA,NA,NA,FALSE,0
"KA19SE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SE","No Data",NA,NA,NA,NA,FALSE,0
"KA19SF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SF","No Data",NA,NA,NA,NA,FALSE,0
"KA19SG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SG","No Data",NA,NA,NA,NA,FALSE,0
"KA19SH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SH","No Data",NA,NA,NA,NA,FALSE,0
"KA19SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SJ","No Data",NA,NA,NA,NA,FALSE,0
"KA19SL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SL","No Data",NA,NA,NA,NA,FALSE,0
"KA19SN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SN","No Data",NA,NA,NA,NA,FALSE,0
"KA19SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SP","No Data",NA,NA,NA,NA,FALSE,0
"KA19SQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SQ","No Data",NA,NA,NA,NA,FALSE,0
"KA19SR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SR","No Data",NA,NA,NA,NA,FALSE,0
"KA19SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19SS","No Data",NA,NA,NA,NA,FALSE,0
"KA19ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"KA19ST","No Data",NA,NA,NA,NA,FALSE,0
