"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"KT185AB","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT185AB","No Data",NA,NA,NA,NA,TRUE,0
"KT185AD","OK",FALSE,14.7,18.3,19.7,TRUE,6
"KT185AG","No Data",NA,NA,NA,NA,FALSE,0
"KT185AJ","OK",FALSE,12.6,11.3,18,TRUE,14
"KT185AL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT185AL","No Data",NA,NA,NA,NA,TRUE,0
"KT185AP","OK",TRUE,15,18.5,20,TRUE,7
"KT185AQ","OK",TRUE,23.5,18.5,30,TRUE,12
"KT185AT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT185AT","No Data",NA,NA,NA,NA,TRUE,0
"KT185AW","OK",FALSE,30,30,30,TRUE,6
"KT185AX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT185AX","No Data",NA,NA,NA,NA,TRUE,0
"KT185AZ","OK",FALSE,28.6,20,30,TRUE,37
"KT185BA","OK",FALSE,16.2,15.9,30,TRUE,12
"KT185BB","OK",FALSE,30,15.5,30,TRUE,15
"KT185BD","OK",FALSE,30,30,30,TRUE,13
"KT185BE","No premises",NA,NA,NA,NA,TRUE,0
"KT185BG","OK",FALSE,30,20,30,TRUE,20
"KT185BH","OK",FALSE,29.5,20,30,TRUE,10
"KT185BJ","No premises",NA,NA,NA,NA,FALSE,0
"KT185BL","OK",TRUE,12.7,13.6,30,TRUE,16
"KT185BN","OK",FALSE,28.1,20,30,TRUE,31
"KT185BP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT185BP","No Data",NA,NA,NA,NA,TRUE,0
"KT185BQ","OK",FALSE,12.1,12.6,20.8,TRUE,8
"KT185BS","No premises",NA,NA,NA,NA,TRUE,0
"KT185BT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"KT185BT","No Data",NA,NA,NA,NA,TRUE,0
"KT185BU","No premises",NA,NA,NA,NA,FALSE,0
"KT185BW","No premises",NA,NA,NA,NA,TRUE,0
