"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"L11JA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"L11JA","No Data",NA,NA,NA,NA,FALSE,0
"L11JD","OK",TRUE,8.1,8.1,14.6,FALSE,19
"L11JE","No premises",NA,NA,NA,NA,FALSE,0
"L11JF","No premises",NA,NA,NA,NA,TRUE,0
"L11JJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"L11JJ","No Data",NA,NA,NA,NA,FALSE,0
"L11JN","OK",FALSE,11.2,9.3,19.9,FALSE,3
"L11JP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"L11JQ","OK",FALSE,11.3,11.9,13.4,FALSE,4
"L11JR","OK",FALSE,17.2,18.9,19.9,FALSE,3
"L11JT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"L11JT","No Data",NA,NA,NA,NA,FALSE,0
"L11JW","OK",FALSE,14.1,14.6,22.1,FALSE,11
"L11JX","No premises",NA,NA,NA,NA,FALSE,0
