"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"L355AD","OK",FALSE,27,20,30,TRUE,21
"L355AE","OK",FALSE,14.5,14.4,17,TRUE,15
"L355AF","OK",TRUE,20.9,15.9,30,TRUE,17
"L355AG","OK",TRUE,29.4,20,30,TRUE,32
"L355AH","OK",FALSE,30,30,30,TRUE,7
"L355AJ","OK",FALSE,27.9,20,30,TRUE,29
"L355AL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"L355AL","No Data",NA,NA,NA,NA,TRUE,0
"L355AN","OK",FALSE,25.3,18.3,30,TRUE,8
"L355AP","OK",TRUE,23.1,20,30,TRUE,30
"L355AQ","OK",FALSE,26.4,20,30,TRUE,13
"L355AR","OK",FALSE,26.7,20,30,TRUE,31
"L355AS","OK",FALSE,20.8,20,30,TRUE,26
"L355AT","OK",FALSE,28.7,13.4,30,TRUE,29
"L355AU","OK",FALSE,24.9,14.8,30,TRUE,11
"L355AW","OK",FALSE,25.5,20,30,TRUE,20
"L355AX","OK",FALSE,27.7,20,30,TRUE,20
"L355AY","OK",FALSE,30,20,30,TRUE,24
"L355AZ","OK",FALSE,30,20,30,TRUE,15
"L355BA","OK",FALSE,30,30,30,TRUE,13
"L355BB","OK",FALSE,21.3,19.5,30,TRUE,11
"L355BD","OK",FALSE,25.4,18.7,30,TRUE,29
"L355BE","OK",FALSE,30,20,30,TRUE,21
"L355BG","OK",FALSE,30,20.6,30,TRUE,24
"L355BH","OK",FALSE,30,30,30,TRUE,23
"L355BJ","OK",FALSE,28.4,20,30,TRUE,30
"L355BL","OK",FALSE,30,30,30,TRUE,17
"L355BN","OK",FALSE,26.7,20,30,TRUE,13
"L355BP","OK",FALSE,30,20.9,30,TRUE,19
"L355BQ","OK",TRUE,28.2,19.6,30,TRUE,9
"L355BR","OK",FALSE,30,17.6,30,TRUE,13
"L355BS","OK",FALSE,29.9,20,30,TRUE,19
"L355BT","OK",FALSE,30,30,30,TRUE,4
"L355BU","OK",FALSE,28.9,20,30,TRUE,26
"L355BW","OK",FALSE,29,20,30,TRUE,16
"L355BX","OK",FALSE,24.6,20,30,TRUE,7
"L355BY","OK",FALSE,30,20,30,TRUE,19
"L355BZ","OK",FALSE,30,20,30,TRUE,12
"L355DA","OK",FALSE,24.6,12.9,30,TRUE,12
"L355DB","OK",FALSE,23.7,15.6,30,TRUE,18
"L355DD","OK",FALSE,30,20,30,TRUE,16
"L355DE","OK",FALSE,22.6,19.2,30,TRUE,14
"L355DF","OK",FALSE,26.8,19.1,30,TRUE,7
"L355DG","OK",FALSE,24.7,14,30,TRUE,21
"L355DH","OK",FALSE,29.6,22,30,TRUE,9
"L355DJ","OK",FALSE,25.4,20,30,TRUE,13
"L355DL","OK",FALSE,29.6,20,30,TRUE,8
"L355DN","OK",FALSE,20.3,15.2,30,TRUE,9
"L355DQ","OK",FALSE,16.7,14.4,30,TRUE,6
"L355DR","No premises",NA,NA,NA,NA,TRUE,0
"L355DS","No premises",NA,NA,NA,NA,FALSE,0
"L355DT","OK",FALSE,20.3,15.8,30,TRUE,21
"L355DU","OK",FALSE,30,25.5,30,TRUE,14
"L355DW","OK",FALSE,24.8,20,30,TRUE,20
"L355DX","OK",FALSE,30,30,30,TRUE,5
"L355DY","OK",FALSE,18.5,13.3,30,TRUE,21
"L355DZ","OK",FALSE,30,25,30,TRUE,8
"L355EB","OK",FALSE,30,30,30,TRUE,20
"L355ED","OK",FALSE,28.6,18.2,30,TRUE,10
"L355EE","OK",FALSE,21.3,20,30,TRUE,9
"L355EF","OK",FALSE,28.3,25,30,TRUE,11
