"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"L44HB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"L44HE","OK",FALSE,19.1,8,30,TRUE,7
"L44HH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L44HP","OK",TRUE,8,8.4,12.2,FALSE,36
"L44HQ","OK",FALSE,13.2,8,30,TRUE,19
"L44HS","OK",FALSE,11.8,11.1,20,TRUE,10
"L44HT","OK",TRUE,8.9,8.9,20,TRUE,10
"L44HU","OK",TRUE,12.2,11.7,20,TRUE,8
"L44HY","OK",FALSE,23.1,20,30,TRUE,26
"L44HB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"L44HE","OK",FALSE,19.1,8,30,TRUE,7
"L44HH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L44HP","OK",TRUE,8,8.4,12.2,FALSE,36
"L44HQ","OK",FALSE,13.2,8,30,TRUE,19
"L44HS","OK",FALSE,11.8,11.1,20,TRUE,10
"L44HT","OK",TRUE,8.9,8.9,20,TRUE,10
"L44HU","OK",TRUE,12.2,11.7,20,TRUE,8
"L44HY","OK",FALSE,23.1,20,30,TRUE,26
