"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"L56RA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L56RB","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L56RD","OK",FALSE,22.1,15.3,30,TRUE,11
"L56RH","OK",FALSE,30,22.8,30,TRUE,23
"L56RJ","OK",FALSE,28.7,20.7,30,TRUE,9
"L56RN","OK",FALSE,21,19.9,30,TRUE,5
"L56RP","OK",FALSE,28.1,20,30,TRUE,23
"L56RQ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"L56RQ","No Data",NA,NA,NA,NA,TRUE,0
"L56RR","OK",FALSE,26.7,19.4,30,TRUE,16
"L56RS","Insufficient Data",NA,NA,NA,NA,TRUE,1
"L56RT","OK",FALSE,30,18,30,TRUE,13
"L56RU","OK",FALSE,14.6,18.7,20,TRUE,3
"L56RW","OK",FALSE,25.9,20,30,TRUE,32
"L56RX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"L56RY","OK",TRUE,26.5,20,30,TRUE,27
"L56RZ","OK",FALSE,30,20,30,TRUE,16
