"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"L86TA","OK",FALSE,16,13.2,30,TRUE,18
"L86TG","OK",FALSE,19,11.5,30,TRUE,6
"L86TN","OK",FALSE,28.5,20,30,TRUE,13
"L86TP","Insufficient Data",NA,NA,NA,NA,TRUE,1
"L86TQ","OK",FALSE,26.2,16.1,30,TRUE,9
"L86TR","OK",FALSE,30,17.2,30,TRUE,19
"L86TS","OK",FALSE,18.3,12.3,30,TRUE,6
"L86TT","OK",TRUE,29.9,25,30,TRUE,12
"L86TW","OK",FALSE,21.1,11.3,30,TRUE,11
"L86TX","OK",FALSE,10.5,11.3,12.7,TRUE,6
