"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"LE41AA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LE41AB","OK",TRUE,19.8,11.3,30,TRUE,36
"LE41AD","OK",TRUE,29.5,20,30,TRUE,31
"LE41AE","OK",FALSE,30,30,30,TRUE,11
"LE41AF","OK",FALSE,27.2,20,30,TRUE,26
"LE41AG","OK",FALSE,29.8,20,30,TRUE,31
"LE41AH","OK",TRUE,20.1,16.3,30,TRUE,30
"LE41AJ","OK",FALSE,21.7,16.5,30,TRUE,18
"LE41AL","OK",FALSE,20.3,13.6,30,TRUE,19
"LE41AN","OK",TRUE,19.6,12.3,30,TRUE,50
"LE41AQ","No premises",NA,NA,NA,NA,FALSE,0
"LE41AR","OK",TRUE,17.1,9.1,30,TRUE,25
"LE41AS","OK",TRUE,23,20,30,TRUE,24
"LE41AT","OK",FALSE,28,20,30,TRUE,35
"LE41AU","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LE41AW","OK",FALSE,9,7.8,15.2,FALSE,10
"LE41AX","OK",FALSE,25,22.2,30,TRUE,13
"LE41BA","OK",FALSE,25.2,20,30,TRUE,7
"LE41BD","OK",FALSE,22.2,17.7,30,TRUE,43
"LE41BE","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"LE41BE","No Data",NA,NA,NA,NA,TRUE,0
"LE41BF","OK",FALSE,10.2,8.1,15.3,FALSE,6
"LE41BG","No premises",NA,NA,NA,NA,FALSE,0
"LE41BH","OK",TRUE,20.4,13.1,30,TRUE,27
"LE41BJ","OK",TRUE,17.7,20,30,TRUE,34
"LE41BL","OK",FALSE,21.7,17.7,30,TRUE,62
"LE41BN","OK",TRUE,18.7,7.7,30,TRUE,13
"LE41BP","OK",TRUE,17.1,9.5,30,TRUE,52
"LE41BQ","OK",TRUE,22,20,30,TRUE,42
"LE41BR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE41BR","No Data",NA,NA,NA,NA,FALSE,0
"LE41BS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE41BS","No Data",NA,NA,NA,NA,FALSE,0
"LE41BT","OK",FALSE,20.4,20,30,TRUE,11
"LE41BU","OK",TRUE,15.6,20,30,TRUE,14
"LE41BW","OK",FALSE,12.8,10.1,30,TRUE,8
"LE41BX","OK",TRUE,22.9,20,30,TRUE,41
"LE41BY","OK",TRUE,23.4,14.6,30,TRUE,32
"LE41BZ","No Data",NA,NA,NA,NA,TRUE,0
"LE41DA","OK",FALSE,26.9,20,30,TRUE,46
"LE41DB","OK",FALSE,22.2,20,30,TRUE,23
"LE41DD","OK",FALSE,21.9,20,30,TRUE,27
"LE41DE","OK",FALSE,8.9,7.7,15.6,FALSE,14
"LE41DF","OK",FALSE,12.4,11.2,19.4,FALSE,8
"LE41DG","OK",FALSE,11.9,12.9,18.8,FALSE,9
"LE41DH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE41DH","No Data",NA,NA,NA,NA,FALSE,0
"LE41DL","OK",FALSE,16.5,9.2,30,TRUE,31
"LE41DN","OK",TRUE,20.7,20,30,TRUE,29
"LE41DP","OK",TRUE,26,20,30,TRUE,37
"LE41DQ","OK",TRUE,17.6,20,30,TRUE,21
"LE41DR","OK",FALSE,16.7,6.8,30,TRUE,17
"LE41DS","OK",TRUE,10.7,11,19.8,FALSE,7
"LE41DT","No premises",NA,NA,NA,NA,TRUE,0
"LE41DU","OK",TRUE,28.1,20,30,TRUE,32
"LE41DW","OK",FALSE,30,25,30,TRUE,9
"LE41DX","OK",TRUE,16.5,9.5,30,TRUE,35
"LE41DY","OK",TRUE,11.6,8.6,30,TRUE,16
"LE41DZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE41DZ","No Data",NA,NA,NA,NA,FALSE,0
"LE41EA","OK",FALSE,19.5,20,30,TRUE,34
"LE41EB","OK",TRUE,24.9,20,30,TRUE,24
"LE41ED","OK",FALSE,25.5,30,30,TRUE,9
"LE41EE","OK",TRUE,19.1,5.7,30,TRUE,17
"LE41EF","OK",FALSE,23.5,7.1,30,TRUE,25
"LE41EG","OK",TRUE,17.5,6.4,30,TRUE,35
"LE41EH","OK",TRUE,24.6,14.4,30,TRUE,48
"LE41EJ","OK",FALSE,26,20,30,TRUE,20
"LE41EL","No premises",NA,NA,NA,NA,FALSE,0
"LE41EN","OK",FALSE,28.3,20,30,TRUE,38
"LE41EP","OK",TRUE,13.8,7.4,30,TRUE,15
"LE41ER","OK",TRUE,28.4,20,30,TRUE,37
"LE41ET","OK",TRUE,4.9,4.7,8.3,TRUE,11
"LE41EW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE41EW","No Data",NA,NA,NA,NA,FALSE,0
"LE41EX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE41EX","No Data",NA,NA,NA,NA,FALSE,0
"LE41EZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE41EZ","No Data",NA,NA,NA,NA,FALSE,0
"LE41FB","OK",FALSE,23.1,13.7,30,TRUE,13
"LE41HA","OK",FALSE,23.7,20,30,TRUE,19
"LE41HB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LE41HB","No Data",NA,NA,NA,NA,FALSE,0
"LE41HE","OK",FALSE,21.8,15.7,30,TRUE,16
"LE41HF","OK",FALSE,22,20,30,TRUE,14
"LE41HG","OK",FALSE,29.8,20.1,30,TRUE,6
"LE41HQ","OK",FALSE,19.2,10.2,30,TRUE,11
"LE41JX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LE41JY","No premises",NA,NA,NA,NA,TRUE,0
"LE41WN","No premises",NA,NA,NA,NA,FALSE,0
"LE41WX","No premises",NA,NA,NA,NA,FALSE,0
"LE41YD","No premises",NA,NA,NA,NA,FALSE,0
"LE41YE","No premises",NA,NA,NA,NA,FALSE,0
"LE41ZB","No premises",NA,NA,NA,NA,FALSE,0
"LE41ZF","No premises",NA,NA,NA,NA,FALSE,0
"LE41ZH","No premises",NA,NA,NA,NA,FALSE,0
"LE41ZN","No premises",NA,NA,NA,NA,FALSE,0
"LE41ZW","No premises",NA,NA,NA,NA,FALSE,0
"LE41ZY","No premises",NA,NA,NA,NA,FALSE,0
"LE41ZZ","No premises",NA,NA,NA,NA,FALSE,0
"LE419AB","No premises",NA,NA,NA,NA,FALSE,0
"LE419AP","No premises",NA,NA,NA,NA,FALSE,0
