"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"LS89AB","No premises",NA,NA,NA,NA,FALSE,0
"LS89AE","No premises",NA,NA,NA,NA,FALSE,0
"LS89AX","No premises",NA,NA,NA,NA,FALSE,0
"LS89BH","No premises",NA,NA,NA,NA,FALSE,0
"LS89BL","No premises",NA,NA,NA,NA,FALSE,0
"LS89BZ","No premises",NA,NA,NA,NA,FALSE,0
"LS89DQ","No premises",NA,NA,NA,NA,FALSE,0
"LS89DY","No premises",NA,NA,NA,NA,FALSE,0
"LS89ED","No premises",NA,NA,NA,NA,FALSE,0
"LS89EE","No premises",NA,NA,NA,NA,FALSE,0
"LS89EF","No premises",NA,NA,NA,NA,FALSE,0
"LS89EG","No premises",NA,NA,NA,NA,FALSE,0
"LS89EL","No premises",NA,NA,NA,NA,FALSE,0
"LS89EP","No premises",NA,NA,NA,NA,FALSE,0
"LS89ER","No premises",NA,NA,NA,NA,FALSE,0
"LS89ES","No premises",NA,NA,NA,NA,FALSE,0
"LS89ET","No premises",NA,NA,NA,NA,FALSE,0
"LS89EW","No premises",NA,NA,NA,NA,FALSE,0
"LS89EX","No premises",NA,NA,NA,NA,FALSE,0
"LS89EY","No premises",NA,NA,NA,NA,FALSE,0
