"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"M13HB","No premises",NA,NA,NA,NA,TRUE,0
"M13HE","OK",FALSE,16.8,18.6,19.9,TRUE,5
"M13HF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M13HF","No Data",NA,NA,NA,NA,TRUE,0
"M13HH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"M13HH","No Data",NA,NA,NA,NA,FALSE,0
"M13HN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M13HN","No Data",NA,NA,NA,NA,TRUE,0
"M13HP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"M13HP","No Data",NA,NA,NA,NA,FALSE,0
"M13HR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M13HR","No Data",NA,NA,NA,NA,TRUE,0
"M13HU","OK",FALSE,13.4,11.2,22.9,TRUE,4
"M13HW","OK",FALSE,30,30,30,TRUE,26
"M13HY","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M13HZ","OK",FALSE,20.2,19.7,30,TRUE,5
