"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"M288AA","No premises",NA,NA,NA,NA,FALSE,0
"M288AD","No premises",NA,NA,NA,NA,FALSE,0
"M288AG","No premises",NA,NA,NA,NA,FALSE,0
"M288AN","No premises",NA,NA,NA,NA,FALSE,0
"M288AT","No premises",NA,NA,NA,NA,FALSE,0
"M288AU","No premises",NA,NA,NA,NA,FALSE,0
"M288AW","No premises",NA,NA,NA,NA,FALSE,0
"M288BB","No premises",NA,NA,NA,NA,FALSE,0
"M288BH","No premises",NA,NA,NA,NA,FALSE,0
"M288BJ","No premises",NA,NA,NA,NA,FALSE,0
"M288BL","No premises",NA,NA,NA,NA,FALSE,0
"M288BN","No premises",NA,NA,NA,NA,FALSE,0
"M288BP","No premises",NA,NA,NA,NA,FALSE,0
"M288AA","No premises",NA,NA,NA,NA,FALSE,0
"M288AD","No premises",NA,NA,NA,NA,FALSE,0
"M288AG","No premises",NA,NA,NA,NA,FALSE,0
"M288AN","No premises",NA,NA,NA,NA,FALSE,0
"M288AT","No premises",NA,NA,NA,NA,FALSE,0
"M288AU","No premises",NA,NA,NA,NA,FALSE,0
"M288AW","No premises",NA,NA,NA,NA,FALSE,0
"M288BB","No premises",NA,NA,NA,NA,FALSE,0
"M288BH","No premises",NA,NA,NA,NA,FALSE,0
"M288BJ","No premises",NA,NA,NA,NA,FALSE,0
"M288BL","No premises",NA,NA,NA,NA,FALSE,0
"M288BN","No premises",NA,NA,NA,NA,FALSE,0
"M288BP","No premises",NA,NA,NA,NA,FALSE,0
