"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"M41EA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M41EA","No Data",NA,NA,NA,NA,TRUE,0
"M41EB","OK",FALSE,10.1,13.3,13.4,FALSE,3
"M41ED","OK",FALSE,19.8,12.9,30,TRUE,22
"M41EF","No Data",NA,NA,NA,NA,TRUE,0
"M41EG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M41EG","No Data",NA,NA,NA,NA,TRUE,0
"M41EH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M41EH","No Data",NA,NA,NA,NA,TRUE,0
"M41ER","No Data",NA,NA,NA,NA,TRUE,0
"M41ES","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M41ET","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M41EU","OK",FALSE,18.3,11.8,30,TRUE,21
"M41EW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M41EW","No Data",NA,NA,NA,NA,TRUE,0
"M41EX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M41EY","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M41EZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M41EA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M41EA","No Data",NA,NA,NA,NA,TRUE,0
"M41EB","OK",FALSE,10.1,13.3,13.4,FALSE,3
"M41ED","OK",FALSE,19.8,12.9,30,TRUE,22
"M41EF","No Data",NA,NA,NA,NA,TRUE,0
"M41EG","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M41EG","No Data",NA,NA,NA,NA,TRUE,0
"M41EH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M41EH","No Data",NA,NA,NA,NA,TRUE,0
"M41ER","No Data",NA,NA,NA,NA,TRUE,0
"M41ES","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M41ET","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M41EU","OK",FALSE,18.3,11.8,30,TRUE,21
"M41EW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"M41EW","No Data",NA,NA,NA,NA,TRUE,0
"M41EX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"M41EY","Insufficient Data",NA,NA,NA,NA,TRUE,1
"M41EZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
