"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"N13DA","OK",FALSE,30,30,30,TRUE,17
"N13DB","OK",FALSE,17.9,14.9,30,TRUE,37
"N13DE","OK",TRUE,24.2,17.8,30,TRUE,27
"N13DF","OK",TRUE,19.4,14.6,30,TRUE,29
"N13DG","OK",FALSE,15.8,15.4,30,TRUE,14
"N13DH","OK",FALSE,28.2,13.9,30,TRUE,54
"N13DJ","OK",FALSE,25.8,25,30,TRUE,14
"N13DL","OK",FALSE,30,25,30,TRUE,24
"N13DN","OK",TRUE,10.6,11.4,20,TRUE,3
"N13DP","OK",FALSE,30,25.5,30,TRUE,10
"N13DQ","OK",FALSE,24.6,20,30,TRUE,28
"N13DR","OK",TRUE,27.7,30,30,TRUE,19
"N13DS","OK",TRUE,23.3,20,30,TRUE,24
"N13DT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N13DT","No Data",NA,NA,NA,NA,TRUE,0
"N13DU","OK",TRUE,15.9,8,30,TRUE,8
"N13DW","OK",FALSE,22.2,16.1,30,TRUE,14
"N13DZ","OK",FALSE,27.6,24.5,30,TRUE,12
