"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"N41HA","OK",FALSE,16.9,7.8,30,TRUE,23
"N41HE","OK",TRUE,17.8,9.1,30,FALSE,23
"N41HG","OK",TRUE,18.7,10.8,30,TRUE,39
"N41HH","OK",TRUE,22.8,17,30,TRUE,27
"N41HJ","OK",FALSE,23.1,20,30,TRUE,26
"N41HL","OK",FALSE,20.2,17.8,30,TRUE,22
"N41HN","OK",FALSE,26.4,19.5,30,TRUE,14
"N41HP","OK",FALSE,18.7,18,30,TRUE,12
"N41HT","OK",FALSE,28.9,11.9,30,TRUE,39
"N41HU","OK",FALSE,30,30,30,TRUE,11
"N41HW","OK",FALSE,30,30,30,TRUE,13
"N41HX","Insufficient Data",NA,NA,NA,NA,TRUE,2
"N41HY","OK",FALSE,30,20,30,TRUE,32
"N41HZ","OK",FALSE,30,20,30,TRUE,21
