"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"N52BA","OK",FALSE,29,20,30,TRUE,13
"N52BB","OK",FALSE,23.4,19.6,30,TRUE,13
"N52BD","OK",FALSE,30,30,30,TRUE,3
"N52BE","OK",TRUE,27.4,18.7,30,TRUE,25
"N52BG","OK",TRUE,24.9,19.7,30,TRUE,11
"N52BH","OK",FALSE,18.4,14.5,30,TRUE,15
"N52BJ","No premises",NA,NA,NA,NA,TRUE,0
"N52BL","OK",TRUE,27.1,19.7,30,TRUE,30
"N52BN","OK",TRUE,30,30,30,TRUE,33
"N52BP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"N52BP","No Data",NA,NA,NA,NA,TRUE,0
"N52BQ","OK",FALSE,30,19.9,30,TRUE,13
"N52BY","OK",FALSE,26.7,20,30,TRUE,18
"N52BZ","OK",FALSE,17.5,18.5,30,TRUE,15
