"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"N79QA","OK",FALSE,30,30,30,TRUE,33
"N79QB","OK",FALSE,30,30,30,TRUE,23
"N79QD","OK",TRUE,30,20,30,TRUE,45
"N79QE","OK",FALSE,11.3,12.3,20,TRUE,10
"N79QF","OK",TRUE,22.2,14,30,TRUE,48
"N79QG","OK",FALSE,30,30,30,TRUE,5
"N79QH","OK",FALSE,7,5,14.3,TRUE,6
"N79QJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"N79QL","OK",FALSE,30,13.2,30,TRUE,11
"N79QQ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"N79QZ","No premises",NA,NA,NA,NA,FALSE,0
