"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"N79TA","OK",FALSE,23.1,17.1,30,TRUE,26
"N79TB","OK",TRUE,25.7,20,30,TRUE,33
"N79TD","OK",TRUE,20.9,16.7,30,TRUE,35
"N79TE","OK",FALSE,20.9,16.1,30,TRUE,13
"N79TF","OK",FALSE,30,30,30,TRUE,13
"N79TG","OK",FALSE,21.5,16.2,30,TRUE,11
"N79TH","OK",TRUE,20.6,14.5,30,TRUE,19
"N79TJ","OK",FALSE,21.2,14.9,30,TRUE,12
"N79TL","OK",FALSE,30,30,30,TRUE,22
"N79TP","OK",TRUE,13.1,12.1,30,TRUE,35
"N79TQ","OK",TRUE,27.2,20,30,TRUE,25
