"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"N90XA","OK",FALSE,30,30,30,TRUE,9
"N90XB","OK",TRUE,22.2,3.3,30,TRUE,10
"N90XD","OK",TRUE,15.3,3.8,30,TRUE,9
"N90XE","OK",TRUE,21.1,20,30,TRUE,10
"N90XF","OK",TRUE,23.1,12.5,30,TRUE,8
"N90XG","OK",TRUE,18.9,20,30,TRUE,35
"N90XH","OK",TRUE,16.2,4.6,30,TRUE,10
"N90XJ","OK",TRUE,2.6,2.2,4.2,TRUE,8
"N90XL","OK",TRUE,26.6,20,30,TRUE,29
"N90XN","OK",TRUE,21.9,5.4,30,TRUE,41
"N90XP","OK",TRUE,15.1,12.1,30,TRUE,8
"N90XQ","OK",FALSE,19.8,6.7,30,TRUE,11
