"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"NG801DP","No premises",NA,NA,NA,NA,FALSE,0
"NG801EH","No premises",NA,NA,NA,NA,FALSE,0
"NG801LH","No premises",NA,NA,NA,NA,FALSE,0
"NG801PH","No premises",NA,NA,NA,NA,FALSE,0
"NG801RH","No premises",NA,NA,NA,NA,TRUE,0
"NG801TH","No premises",NA,NA,NA,NA,TRUE,0
"NG801WZ","No premises",NA,NA,NA,NA,FALSE,0
"NG801ZZ","No premises",NA,NA,NA,NA,FALSE,0
"NG807WE","No premises",NA,NA,NA,NA,FALSE,0
"NG807WF","No premises",NA,NA,NA,NA,FALSE,0
"NG807WH","No premises",NA,NA,NA,NA,FALSE,0
"NG807WN","No premises",NA,NA,NA,NA,FALSE,0
"NG807WP","No premises",NA,NA,NA,NA,FALSE,0
"NG807WT","No premises",NA,NA,NA,NA,FALSE,0
"NG807WX","No premises",NA,NA,NA,NA,FALSE,0
"NG808AA","No premises",NA,NA,NA,NA,FALSE,0
"NG808AB","No premises",NA,NA,NA,NA,FALSE,0
"NG808AD","No premises",NA,NA,NA,NA,FALSE,0
"NG808AE","No premises",NA,NA,NA,NA,FALSE,0
"NG808AF","No premises",NA,NA,NA,NA,FALSE,0
"NG808AG","No premises",NA,NA,NA,NA,FALSE,0
"NG808AH","No premises",NA,NA,NA,NA,FALSE,0
"NG808AJ","No premises",NA,NA,NA,NA,FALSE,0
"NG808AL","No premises",NA,NA,NA,NA,FALSE,0
"NG808AN","No premises",NA,NA,NA,NA,FALSE,0
"NG808AS","No premises",NA,NA,NA,NA,FALSE,0
"NG808AT","No premises",NA,NA,NA,NA,FALSE,0
"NG808AU","No premises",NA,NA,NA,NA,FALSE,0
"NG808AW","No premises",NA,NA,NA,NA,FALSE,0
"NG808AX","No premises",NA,NA,NA,NA,FALSE,0
"NG808AY","No premises",NA,NA,NA,NA,FALSE,0
"NG808AZ","No premises",NA,NA,NA,NA,FALSE,0
"NG808BA","No premises",NA,NA,NA,NA,FALSE,0
"NG808BB","No premises",NA,NA,NA,NA,FALSE,0
