"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"PR15AB","No premises",NA,NA,NA,NA,TRUE,0
"PR15AD","No premises",NA,NA,NA,NA,FALSE,0
"PR15AF","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PR15AF","No Data",NA,NA,NA,NA,TRUE,0
"PR15AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PR15AJ","No Data",NA,NA,NA,NA,FALSE,0
"PR15AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PR15AL","No Data",NA,NA,NA,NA,FALSE,0
"PR15AN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PR15AN","No Data",NA,NA,NA,NA,FALSE,0
"PR15AP","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PR15AQ","OK",FALSE,30,18,30,TRUE,7
"PR15AR","OK",FALSE,19.6,16.3,30,TRUE,16
"PR15AS","OK",FALSE,22.1,14.7,30,TRUE,16
"PR15AT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PR15AT","No Data",NA,NA,NA,NA,FALSE,0
"PR15BA","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PR15BA","No Data",NA,NA,NA,NA,TRUE,0
"PR15BD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"PR15BD","No Data",NA,NA,NA,NA,TRUE,0
"PR15BY","OK",FALSE,9.4,8.8,13.8,TRUE,8
"PR15DB","OK",FALSE,11.5,10.7,20,TRUE,7
"PR15DE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"PR15DL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PR15DL","No Data",NA,NA,NA,NA,FALSE,0
"PR15DN","No premises",NA,NA,NA,NA,FALSE,0
"PR15DP","No Data",NA,NA,NA,NA,FALSE,0
"PR15DQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PR15DQ","No Data",NA,NA,NA,NA,FALSE,0
"PR15DS","No premises",NA,NA,NA,NA,TRUE,0
"PR15DT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PR15DT","No Data",NA,NA,NA,NA,FALSE,0
"PR15DY","OK",FALSE,8.3,7.9,9.4,TRUE,6
"PR15EA","OK",FALSE,13.9,15.1,20,TRUE,6
"PR15EB","OK",FALSE,13.8,11,30,TRUE,7
"PR15ED","OK",FALSE,16.9,20,30,TRUE,7
"PR15EE","OK",FALSE,30,30,30,TRUE,10
"PR15EH","OK",TRUE,14.7,9.8,30,TRUE,8
"PR15EJ","OK",TRUE,4.6,5.5,6.6,TRUE,5
"PR15EN","OK",FALSE,8.9,9.2,15.2,TRUE,7
"PR15EP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
