"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"RM33AE","No premises",NA,NA,NA,NA,FALSE,0
"RM33AF","No premises",NA,NA,NA,NA,FALSE,0
"RM33AH","No premises",NA,NA,NA,NA,FALSE,0
"RM33AL","No premises",NA,NA,NA,NA,FALSE,0
"RM33AN","No premises",NA,NA,NA,NA,FALSE,0
"RM33AR","No premises",NA,NA,NA,NA,FALSE,0
"RM33AW","No premises",NA,NA,NA,NA,FALSE,0
"RM33AX","No premises",NA,NA,NA,NA,FALSE,0
"RM33AZ","No premises",NA,NA,NA,NA,FALSE,0
"RM33BB","No premises",NA,NA,NA,NA,FALSE,0
"RM33BF","No premises",NA,NA,NA,NA,FALSE,0
"RM33BH","No premises",NA,NA,NA,NA,FALSE,0
"RM33BN","No premises",NA,NA,NA,NA,FALSE,0
"RM33BP","No premises",NA,NA,NA,NA,FALSE,0
"RM33BQ","No premises",NA,NA,NA,NA,FALSE,0
"RM33BR","No premises",NA,NA,NA,NA,FALSE,0
"RM33BS","No premises",NA,NA,NA,NA,FALSE,0
"RM33BT","No premises",NA,NA,NA,NA,FALSE,0
"RM33BU","No premises",NA,NA,NA,NA,FALSE,0
