"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S187BX","No premises",NA,NA,NA,NA,FALSE,0
"S187RZ","OK",TRUE,3.8,3.4,6.2,FALSE,3
"S187SA","OK",TRUE,6.1,7.5,8.1,FALSE,20
"S187SB","OK",TRUE,8.6,8.1,23,FALSE,36
"S187SD","OK",TRUE,6.2,5.7,16.5,TRUE,51
"S187SE","OK",TRUE,1.5,1.1,8.1,FALSE,30
"S187SG","OK",TRUE,3.7,3.6,6.8,FALSE,13
"S187SH","OK",TRUE,1.9,1.8,3.4,FALSE,9
"S187SJ","OK",TRUE,3.1,2.8,5.7,FALSE,17
"S187SL","OK",TRUE,3.3,3,6.4,FALSE,13
"S187SN","OK",TRUE,3.6,3.4,6.2,FALSE,22
"S187SP","OK",TRUE,4.5,4.6,6.2,FALSE,8
"S187SQ","OK",TRUE,4.2,4.4,6.6,FALSE,25
"S187SR","OK",TRUE,3.9,3.8,6.5,FALSE,23
"S187SS","OK",TRUE,3.4,3.1,6.8,FALSE,21
"S187ST","OK",TRUE,1.6,1.2,4,FALSE,6
"S187SU","OK",TRUE,4,2.8,8.1,FALSE,3
"S187SW","OK",FALSE,4.7,4.5,7.4,FALSE,8
"S187SX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S187SX","No Data",NA,NA,NA,NA,FALSE,0
"S187SY","OK",TRUE,1.1,1.1,1.4,FALSE,3
"S187SZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S187SZ","No Data",NA,NA,NA,NA,FALSE,0
"S187TA","OK",TRUE,2.7,2.3,4.7,FALSE,12
"S187TB","OK",TRUE,9.6,2.2,30,TRUE,12
"S187TD","OK",TRUE,1.6,1.4,3.4,FALSE,5
"S187TE","OK",TRUE,1.7,1.6,3.6,FALSE,16
"S187TF","OK",TRUE,1.8,1.7,1.9,FALSE,3
"S187TG","OK",TRUE,2.1,2.1,3.4,FALSE,3
"S187TH","OK",TRUE,1.9,1.9,2.3,FALSE,3
"S187TJ","OK",TRUE,2.8,2.8,4,FALSE,3
"S187TL","OK",FALSE,4.5,4.5,5.7,FALSE,5
"S187TN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S187TN","No Data",NA,NA,NA,NA,FALSE,0
"S187TP","OK",TRUE,4.3,4.5,7.8,FALSE,17
"S187TQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"S187TR","OK",TRUE,2.5,2.8,3.5,FALSE,8
"S187TS","OK",TRUE,3.8,2.4,6.6,FALSE,8
"S187TT","OK",FALSE,2.7,2.7,2.7,FALSE,3
"S187UR","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S187WA","OK",FALSE,5.7,5.8,8,TRUE,6
"S187WB","OK",FALSE,8.2,8.1,16.6,FALSE,14
"S187WD","OK",TRUE,5.1,4.7,8.1,FALSE,12
"S187WE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S187WE","No Data",NA,NA,NA,NA,FALSE,0
"S187WF","OK",TRUE,5,4.7,8.1,FALSE,10
"S187WG","OK",FALSE,5.4,5.1,8,FALSE,4
"S187WH","OK",TRUE,6.8,7.9,8.3,FALSE,17
"S187WJ","OK",FALSE,7.3,8,8.1,FALSE,5
"S187WL","OK",FALSE,7.3,8,8.1,FALSE,10
"S187WN","OK",TRUE,4.8,4.7,8.1,FALSE,12
"S187WP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"S187WQ","OK",FALSE,6.4,6.8,8.1,FALSE,11
"S187WT","OK",TRUE,7.4,7.6,22.2,FALSE,53
"S187WU","OK",TRUE,7.6,7.9,17.3,FALSE,15
"S187WW","OK",FALSE,10.1,8.1,16.7,FALSE,6
"S187WX","OK",FALSE,8.7,8.1,21.7,FALSE,29
"S187WY","OK",FALSE,9.8,8.1,23.3,FALSE,8
"S187WZ","OK",TRUE,6.8,7.4,14.9,FALSE,16
"S187XA","OK",FALSE,6.9,7.7,8.1,FALSE,4
"S187XB","No premises",NA,NA,NA,NA,FALSE,0
"S187YZ","No premises",NA,NA,NA,NA,FALSE,0
