"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S38JA","OK",FALSE,6,6,14.7,FALSE,56
"S38JB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"S38JD","OK",TRUE,6.1,6,8.8,TRUE,11
"S38JP","No premises",NA,NA,NA,NA,TRUE,0
"S38JQ","No premises",NA,NA,NA,NA,FALSE,0
"S38JT","OK",FALSE,5.9,6,7.5,FALSE,30
"S38JU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S38JU","No Data",NA,NA,NA,NA,FALSE,0
"S38JY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"S38JY","No Data",NA,NA,NA,NA,FALSE,0
