"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S50EA","OK",FALSE,6.2,6.1,11.2,TRUE,17
"S50EB","OK",TRUE,7.5,6.2,30,TRUE,29
"S50ED","OK",TRUE,4.2,4.6,6.8,TRUE,7
"S50EE","OK",TRUE,7.3,3.4,30,TRUE,21
"S50EF","OK",TRUE,12.8,3.5,30,TRUE,15
"S50EG","OK",TRUE,2.7,2.5,4.1,TRUE,7
"S50EH","OK",TRUE,15.2,7.7,30,TRUE,19
"S50EJ","OK",FALSE,12.7,7.7,30,TRUE,6
"S50EL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S50EN","OK",FALSE,12.7,11.7,18,TRUE,12
"S50EP","OK",TRUE,8,2,30,TRUE,13
"S50EQ","OK",TRUE,6.6,2.4,30,TRUE,15
"S50ER","OK",TRUE,7.6,2.7,30,TRUE,11
"S50ES","OK",TRUE,8.2,5.2,30,TRUE,14
"S50ET","OK",TRUE,6.8,5.5,30,TRUE,20
