"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S57NA","OK",TRUE,18,20,30,TRUE,16
"S57NB","OK",FALSE,24.9,20,30,TRUE,19
"S57ND","OK",TRUE,22.2,6.6,30,TRUE,16
"S57NE","OK",FALSE,30,30,30,TRUE,17
"S57NF","OK",FALSE,16.8,6.9,30,TRUE,20
"S57NG","OK",TRUE,20.5,6,30,TRUE,10
"S57NH","OK",TRUE,21.7,13.9,30,TRUE,10
"S57NJ","OK",FALSE,30,30,30,TRUE,6
"S57NL","OK",FALSE,18.3,7,30,TRUE,15
"S57NN","OK",FALSE,18.3,20,30,TRUE,13
"S57NP","OK",TRUE,30,25,30,TRUE,6
"S57NQ","OK",TRUE,26.1,30,30,TRUE,7
"S57NR","OK",TRUE,11.7,3.8,30,TRUE,25
"S57NS","Insufficient Data",NA,NA,NA,NA,TRUE,1
"S57NT","OK",FALSE,19.1,25,30,TRUE,8
"S57NU","OK",TRUE,29.7,30,30,TRUE,14
"S57NW","OK",TRUE,13.8,4.6,30,TRUE,16
"S57NX","OK",TRUE,19.5,11.7,30,TRUE,13
"S57NY","OK",TRUE,23.9,30,30,TRUE,13
"S57NZ","OK",TRUE,27.7,20,30,TRUE,30
