"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S63FA","OK",FALSE,17,10.4,30,TRUE,12
"S63FD","OK",FALSE,18.8,6.1,30,TRUE,20
"S63FE","OK",FALSE,25.8,30,30,TRUE,12
"S63FG","OK",FALSE,18.2,10.7,30,TRUE,25
"S63FJ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"S63FL","OK",TRUE,14.4,6.6,30,TRUE,12
"S63FN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S63FN","No Data",NA,NA,NA,NA,TRUE,0
"S63FP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S63FP","No Data",NA,NA,NA,NA,TRUE,0
"S63FQ","OK",FALSE,29.1,30,30,TRUE,10
"S63FS","OK",FALSE,30,30,30,TRUE,15
"S63FT","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"S63FT","No Data",NA,NA,NA,NA,TRUE,0
"S63FU","OK",FALSE,30,30,30,TRUE,4
"S63FW","OK",FALSE,23.8,30,30,TRUE,5
"S63FX","OK",TRUE,30,30,30,TRUE,20
"S63FY","OK",TRUE,23.7,20,30,TRUE,31
