"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"S64LA","OK",FALSE,27,20,30,TRUE,17
"S64LB","OK",FALSE,18.6,7,30,TRUE,15
"S64LD","No premises",NA,NA,NA,NA,TRUE,0
"S64LE","OK",FALSE,18.7,16.9,30,TRUE,18
"S64LF","OK",FALSE,30,13.5,30,TRUE,31
"S64LG","OK",TRUE,19.5,14.5,30,TRUE,24
"S64LH","OK",TRUE,23.4,20,30,TRUE,32
"S64LJ","OK",FALSE,13,9.7,20,TRUE,3
"S64LL","OK",TRUE,5.4,6.6,8.2,TRUE,3
"S64LN","OK",TRUE,21.8,20,30,TRUE,23
"S64LP","OK",FALSE,29.7,30,30,TRUE,13
"S64LQ","OK",TRUE,22.1,20,30,TRUE,21
"S64LR","OK",FALSE,18.6,14.8,30,TRUE,23
"S64LS","OK",TRUE,23.6,20,30,TRUE,27
"S64LT","OK",TRUE,19.6,20,30,TRUE,35
"S64LU","OK",TRUE,23.2,20,30,TRUE,23
"S64LW","OK",FALSE,24.7,20,30,TRUE,21
"S64LX","OK",TRUE,24.5,20,30,TRUE,26
"S64LY","OK",FALSE,30,20,30,TRUE,14
"S64LZ","OK",FALSE,18.9,20,30,TRUE,26
