"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SA15AA","OK",FALSE,30,25,30,TRUE,18
"SA15AD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SA15AD","No Data",NA,NA,NA,NA,TRUE,0
"SA15AE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SA15AF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15AG","OK",FALSE,11.1,11.1,14.3,TRUE,3
"SA15AJ","OK",FALSE,20.3,20,30,TRUE,62
"SA15AL","No Data",NA,NA,NA,NA,FALSE,0
"SA15AP","No premises",NA,NA,NA,NA,FALSE,0
"SA15AQ","No premises",NA,NA,NA,NA,TRUE,0
"SA15AR","No premises",NA,NA,NA,NA,FALSE,0
"SA15AS","OK",FALSE,10.9,8.1,22.3,TRUE,5
"SA15AT","No premises",NA,NA,NA,NA,TRUE,0
"SA15AW","OK",FALSE,21.4,21.8,23.8,TRUE,9
"SA15BA","OK",FALSE,11.4,11.4,11.4,TRUE,3
"SA15BB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA15BB","No Data",NA,NA,NA,NA,FALSE,0
"SA15BG","No Data",NA,NA,NA,NA,FALSE,0
"SA15BH","OK",FALSE,21.5,22.3,23.6,FALSE,14
"SA15BJ","OK",FALSE,8.7,7.5,20,TRUE,6
"SA15BP","No Data",NA,NA,NA,NA,FALSE,0
"SA15BY","No Data",NA,NA,NA,NA,TRUE,0
"SA15BZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15DB","No premises",NA,NA,NA,NA,TRUE,0
"SA15DF","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15DG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15DN","OK",FALSE,16.8,18.8,22.3,TRUE,11
"SA15DQ","OK",FALSE,28.2,30,30,TRUE,4
"SA15DR","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SA15DR","No Data",NA,NA,NA,NA,TRUE,0
"SA15DS","OK",FALSE,29.5,21,30,TRUE,6
"SA15DT","No premises",NA,NA,NA,NA,TRUE,0
"SA15DU","No premises",NA,NA,NA,NA,FALSE,0
"SA15DW","OK",FALSE,20,21.5,30,TRUE,10
"SA15DY","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SA15DY","No Data",NA,NA,NA,NA,TRUE,0
"SA15DZ","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SA15DZ","No Data",NA,NA,NA,NA,TRUE,0
"SA15EA","No premises",NA,NA,NA,NA,TRUE,0
"SA15ED","OK",FALSE,12.7,12.5,19.4,TRUE,6
"SA15EJ","OK",FALSE,29.3,30,30,TRUE,9
"SA15EN","OK",FALSE,22.5,20,30,TRUE,8
"SA15HB","No premises",NA,NA,NA,NA,FALSE,0
"SA15HE","OK",FALSE,12.9,8.1,22.6,TRUE,7
"SA15HF","OK",TRUE,16.4,18.2,22.6,FALSE,23
"SA15HG","OK",FALSE,15.9,16.3,22.5,TRUE,6
"SA15HN","OK",FALSE,17.8,18.4,23.4,TRUE,18
"SA15HQ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SA15HR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA15HR","No Data",NA,NA,NA,NA,FALSE,0
"SA15HW","OK",FALSE,12.8,14.6,19.6,TRUE,6
"SA15HY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SA15HY","No Data",NA,NA,NA,NA,FALSE,0
"SA15JB","No premises",NA,NA,NA,NA,FALSE,0
"SA15JE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15JH","No premises",NA,NA,NA,NA,FALSE,0
"SA15JL","No premises",NA,NA,NA,NA,FALSE,0
"SA15JN","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SA15JN","No Data",NA,NA,NA,NA,TRUE,0
"SA15JQ","OK",FALSE,13.7,13.8,20,TRUE,4
"SA15JR","No premises",NA,NA,NA,NA,FALSE,0
"SA15JY","No Data",NA,NA,NA,NA,TRUE,0
"SA15LA","No premises",NA,NA,NA,NA,FALSE,0
"SA15LB","No premises",NA,NA,NA,NA,FALSE,0
"SA15LD","No premises",NA,NA,NA,NA,TRUE,0
"SA15LE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15LF","OK",TRUE,17.8,19.1,23.5,TRUE,16
"SA15LG","No premises",NA,NA,NA,NA,FALSE,0
"SA15LJ","No premises",NA,NA,NA,NA,FALSE,0
"SA15LQ","OK",FALSE,9.7,7.8,18.2,TRUE,3
"SA15LR","No premises",NA,NA,NA,NA,FALSE,0
"SA15LS","No premises",NA,NA,NA,NA,FALSE,0
"SA15NE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15NF","OK",FALSE,12,12.6,12.8,TRUE,3
"SA15NG","OK",FALSE,30,15,30,TRUE,4
"SA15NN","OK",TRUE,15.3,16.2,30,TRUE,7
"SA15NQ","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SA15NW","OK",FALSE,20.6,13.6,30,TRUE,8
"SA15PN","OK",FALSE,22,25,30,TRUE,8
"SA15PQ","OK",FALSE,14.1,14.8,15.7,FALSE,4
"SA15PW","OK",FALSE,13.5,7.8,30,TRUE,7
"SA15PY","OK",FALSE,30,17.7,30,TRUE,8
"SA15PZ","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15QE","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SA15QF","OK",FALSE,13.1,15.9,16.8,TRUE,3
"SA15QQ","OK",FALSE,17.1,16.8,30,TRUE,11
"SA15RE","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SA15RF","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SA15RG","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SA15RH","No premises",NA,NA,NA,NA,TRUE,0
"SA15RQ","OK",FALSE,19.3,20,30,TRUE,3
"SA15RS","OK",FALSE,27.7,25,30,TRUE,22
"SA15RT","No premises",NA,NA,NA,NA,TRUE,0
"SA15RW","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15SE","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SA15SF","OK",FALSE,24.3,25,30,TRUE,4
"SA15SG","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SA15SN","OK",FALSE,30,30,30,TRUE,3
