"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SE59AA","OK",FALSE,14.8,14.7,19.4,FALSE,9
"SE59AB","OK",FALSE,13.7,15,19.7,TRUE,8
"SE59AE","OK",FALSE,18.4,13.8,30,TRUE,22
"SE59AJ","No premises",NA,NA,NA,NA,TRUE,0
"SE59AN","OK",FALSE,30,19.5,30,TRUE,42
"SE59AP","OK",FALSE,30,20,30,TRUE,28
"SE59AR","OK",FALSE,22.9,18.7,30,TRUE,23
"SE59AS","OK",FALSE,24,20,30,TRUE,15
"SE59AT","OK",FALSE,25.5,20,30,TRUE,10
"SE59AU","OK",TRUE,25.8,16,30,TRUE,30
"SE59AW","OK",FALSE,27.2,16.3,30,TRUE,22
"SE59AX","OK",FALSE,30,20,30,TRUE,34
"SE59BA","OK",FALSE,30,30,30,TRUE,5
"SE59BB","OK",TRUE,14.4,10.8,30,TRUE,38
"SE59BL","No premises",NA,NA,NA,NA,FALSE,0
"SE59BP","OK",TRUE,30,9.8,30,TRUE,9
"SE59BQ","OK",FALSE,10.1,9.7,14.3,TRUE,7
"SE59BS","OK",FALSE,8.4,9.3,12.2,TRUE,9
"SE59BT","OK",FALSE,30,13.7,30,TRUE,9
"SE59BU","OK",FALSE,27.2,11.7,30,TRUE,15
"SE59BW","OK",TRUE,15.3,10.6,30,TRUE,32
"SE59BX","OK",FALSE,19.1,11,30,TRUE,21
"SE59BY","OK",TRUE,16.2,8.1,30,TRUE,16
"SE59BZ","OK",FALSE,17.5,12.8,30,TRUE,19
"SE59DA","OK",TRUE,11.1,12.8,14.3,TRUE,14
"SE59DB","OK",FALSE,28.4,12.9,30,TRUE,8
"SE59DD","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SE59DD","No Data",NA,NA,NA,NA,TRUE,0
"SE59DF","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SE59DG","OK",TRUE,14.7,10.8,30,TRUE,21
"SE59DH","OK",TRUE,27.6,15.1,30,TRUE,44
"SE59DJ","OK",FALSE,19.4,16.1,30,TRUE,14
"SE59DL","OK",FALSE,23.5,14.5,30,TRUE,25
"SE59DN","OK",TRUE,17,15.1,30,TRUE,30
"SE59DP","OK",TRUE,7.5,8.1,11.2,TRUE,33
"SE59DQ","OK",FALSE,21,11.9,30,TRUE,21
"SE59DR","OK",TRUE,13.3,9.1,30,TRUE,34
"SE59DS","OK",TRUE,11.5,10.4,30,TRUE,38
"SE59DT","OK",TRUE,14.1,13.1,30,TRUE,13
"SE59DU","OK",FALSE,10.3,9.8,14.4,TRUE,4
"SE59DW","OK",FALSE,10,10,10.8,TRUE,3
"SE59DX","OK",FALSE,15.4,12.6,30,TRUE,21
"SE59DY","OK",FALSE,20,13.4,30,TRUE,10
"SE59DZ","OK",FALSE,13.1,10.1,30,TRUE,9
"SE59EA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SE59EA","No Data",NA,NA,NA,NA,FALSE,0
"SE59EB","OK",FALSE,16.4,10.1,30,TRUE,15
"SE59ED","OK",FALSE,15.3,9.8,30,TRUE,26
"SE59EE","OK",FALSE,22.8,10,30,TRUE,10
"SE59EF","OK",TRUE,21,15.3,30,TRUE,34
"SE59EG","OK",FALSE,15.4,12.9,30,TRUE,25
"SE59EH","OK",FALSE,15.3,9.2,30,TRUE,9
"SE59EJ","OK",FALSE,14.3,11,30,TRUE,16
"SE59EL","OK",FALSE,21.1,10.1,30,TRUE,6
"SE59EN","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SE59EP","OK",FALSE,11.4,11.2,17.6,TRUE,13
"SE59EQ","OK",FALSE,23.8,11,30,TRUE,22
"SE59ER","OK",FALSE,29.2,11.7,30,TRUE,6
"SE59ES","OK",FALSE,17.1,8.5,30,TRUE,8
"SE59ET","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SE59EU","OK",TRUE,19.6,9.5,30,TRUE,17
"SE59EW","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SE59EW","No Data",NA,NA,NA,NA,TRUE,0
"SE59EX","OK",FALSE,16.5,12.3,30,TRUE,18
"SE59EY","OK",FALSE,11.7,11.1,30,TRUE,19
"SE59EZ","OK",FALSE,19.7,9.8,30,TRUE,17
"SE59HA","OK",FALSE,16.3,10.9,30,TRUE,22
