"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SG15AA","OK",FALSE,23.5,25,30,TRUE,10
"SG15AB","OK",FALSE,30,20,30,TRUE,11
"SG15AD","OK",FALSE,30,20,30,TRUE,18
"SG15AE","OK",FALSE,27.2,20.1,30,TRUE,14
"SG15AF","OK",FALSE,26,30,30,TRUE,6
"SG15AG","OK",FALSE,30,30,30,TRUE,17
"SG15AH","OK",FALSE,27.8,20.5,30,TRUE,8
"SG15AJ","OK",FALSE,30,20,30,TRUE,8
"SG15AL","OK",FALSE,30,30,30,TRUE,8
"SG15AN","OK",FALSE,30,20,30,TRUE,16
"SG15AP","OK",FALSE,30,25,30,TRUE,15
"SG15AQ","OK",FALSE,30,30,30,TRUE,9
"SG15AR","OK",FALSE,30,20,30,TRUE,10
"SG15AS","OK",FALSE,20.1,20,30,TRUE,13
"SG15AT","OK",FALSE,30,30,30,TRUE,7
"SG15AU","OK",FALSE,30,20,30,TRUE,9
"SG15AW","OK",FALSE,19,19,30,TRUE,9
"SG15AX","OK",FALSE,25.3,20,30,TRUE,12
"SG15AY","OK",FALSE,24.9,20,30,TRUE,27
"SG15BA","OK",FALSE,29.4,30,30,TRUE,12
"SG15BB","OK",FALSE,30,30,30,TRUE,13
"SG15BD","OK",FALSE,27,20,30,TRUE,7
"SG15BE","OK",FALSE,26.8,20,30,TRUE,5
"SG15BG","OK",FALSE,13.4,11,30,TRUE,5
"SG15BH","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SG15BJ","OK",FALSE,25.5,16.2,30,TRUE,20
"SG15BL","Insufficient Data",NA,NA,NA,NA,TRUE,2
"SG15BQ","OK",TRUE,22.1,20,30,TRUE,10
"SG15BS","OK",FALSE,17.6,15.2,30,TRUE,24
"SG15DA","OK",FALSE,23.1,20,30,TRUE,12
"SG15DB","OK",FALSE,30,30,30,TRUE,8
"SG15DD","OK",FALSE,25.8,20,30,TRUE,14
"SG15DE","OK",FALSE,26.9,20,30,TRUE,8
"SG15DF","OK",FALSE,30,20,30,TRUE,15
"SG15DG","OK",FALSE,30,20,30,TRUE,10
"SG15DH","OK",FALSE,22,20.3,30,TRUE,5
"SG15DJ","OK",FALSE,29.4,20,30,TRUE,16
"SG15DL","OK",TRUE,27.7,20,30,TRUE,9
"SG15DN","OK",FALSE,27.4,20,30,TRUE,11
"SG15DP","OK",FALSE,20.8,20,30,TRUE,13
"SG15DQ","OK",FALSE,12.2,11.8,20,TRUE,11
"SG15DR","OK",FALSE,20.2,19,30,TRUE,10
"SG15DS","OK",TRUE,30,30,30,TRUE,16
"SG15DT","OK",FALSE,30,30,30,TRUE,9
"SG15DU","OK",FALSE,30,17.7,30,TRUE,18
"SG15DW","OK",FALSE,30,20,30,TRUE,9
"SG15DX","OK",FALSE,30,25,30,TRUE,6
"SG15DY","OK",TRUE,25.9,20,30,TRUE,13
"SG15DZ","OK",FALSE,30,14.7,30,TRUE,8
"SG15EA","OK",FALSE,30,30,30,TRUE,12
"SG15EB","OK",FALSE,16.9,13.9,30,TRUE,5
"SG15ED","OK",FALSE,30,25,30,TRUE,14
"SG15EE","OK",FALSE,30,30,30,TRUE,6
"SG15EF","OK",TRUE,22.4,30,30,TRUE,6
"SG15EG","OK",FALSE,17.6,6.4,30,TRUE,4
"SG15EH","OK",FALSE,30,25,30,TRUE,8
"SG15EL","OK",FALSE,28.5,20,30,TRUE,20
"SG15EP","OK",FALSE,26.5,25,30,TRUE,8
"SG15ER","OK",TRUE,30,30,30,TRUE,21
"SG15ES","OK",FALSE,26.7,20,30,TRUE,26
"SG15ET","OK",FALSE,22.9,20,30,TRUE,11
"SG15EU","OK",FALSE,30,20,30,TRUE,15
"SG15EX","OK",TRUE,30,20,30,TRUE,25
"SG15HA","OK",FALSE,29.4,20,30,TRUE,27
"SG15HB","OK",TRUE,27.1,20,30,TRUE,35
"SG15HD","OK",FALSE,29.6,21.8,30,TRUE,30
"SG15HE","OK",FALSE,30,20,30,TRUE,20
"SG15HF","OK",FALSE,30,30,30,TRUE,37
"SG15HH","OK",FALSE,23.6,19.3,30,TRUE,14
"SG15HJ","OK",FALSE,30,20,30,TRUE,36
"SG15HN","OK",TRUE,22.9,19.9,30,TRUE,26
"SG15HR","OK",TRUE,30,20,30,TRUE,31
"SG15HS","No premises",NA,NA,NA,NA,FALSE,0
"SG15HW","OK",FALSE,30,30,30,TRUE,9
"SG15HZ","OK",FALSE,30,20,30,TRUE,9
"SG15JA","OK",FALSE,27,20,30,TRUE,41
"SG15JB","OK",FALSE,23.5,20,30,TRUE,14
"SG15JD","OK",FALSE,30,20,30,TRUE,6
"SG15JE","OK",FALSE,19.3,9.5,30,TRUE,18
"SG15JG","OK",TRUE,10.2,8.2,20,TRUE,5
"SG15JH","OK",TRUE,20.5,10.5,30,TRUE,32
"SG15JJ","OK",FALSE,30,30,30,TRUE,14
"SG15JL","OK",FALSE,18.7,20,30,TRUE,11
"SG15JN","OK",FALSE,25.1,20,30,TRUE,13
"SG15JP","OK",FALSE,21.7,11.1,30,TRUE,6
"SG15JR","OK",TRUE,26.8,20,30,TRUE,7
"SG15JS","OK",FALSE,30,13.6,30,TRUE,23
"SG15JT","OK",FALSE,18.1,20,30,TRUE,4
"SG15JX","OK",FALSE,29.6,30,30,TRUE,32
"SG15JY","OK",FALSE,30,20,30,TRUE,28
"SG15JZ","OK",FALSE,30,25,30,TRUE,31
"SG15LA","OK",FALSE,24.4,20,30,TRUE,56
"SG15LB","OK",FALSE,28.2,20,30,TRUE,14
"SG15LG","OK",TRUE,30,30,30,TRUE,15
"SG15LH","OK",FALSE,29.7,20,30,TRUE,21
"SG15LJ","OK",FALSE,13.5,8,30,TRUE,12
"SG15LL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"SG15LL","No Data",NA,NA,NA,NA,TRUE,0
"SG15LN","Insufficient Data",NA,NA,NA,NA,TRUE,1
"SG15LQ","OK",FALSE,29.9,30,30,TRUE,18
"SG15LR","OK",FALSE,29.9,30,30,TRUE,16
"SG15LS","OK",FALSE,24.4,20,30,TRUE,15
"SG15LT","OK",FALSE,30,30,30,TRUE,8
"SG15LU","OK",FALSE,30,20,30,TRUE,26
"SG15LW","OK",FALSE,26.7,20,30,TRUE,5
"SG15LX","OK",FALSE,22.7,20,30,TRUE,14
"SG15LY","OK",FALSE,22.3,20,30,TRUE,8
"SG15LZ","OK",TRUE,30,20,30,TRUE,21
