"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SN96AA","OK",FALSE,7.2,7.7,8.1,FALSE,8
"SN96AB","OK",FALSE,6.7,8,8.1,FALSE,5
"SN96AD","OK",FALSE,7.5,8,8.1,FALSE,19
"SN96AE","OK",TRUE,6.4,8,8.1,FALSE,18
"SN96AF","OK",TRUE,6.7,8,8.1,FALSE,30
"SN96AG","OK",FALSE,6.4,7.1,8.1,FALSE,17
"SN96AH","OK",TRUE,1.2,0.9,2.3,FALSE,10
"SN96AJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SN96AL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SN96AL","No Data",NA,NA,NA,NA,FALSE,0
"SN96AN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SN96AN","No Data",NA,NA,NA,NA,FALSE,0
"SN96AP","OK",TRUE,2.9,2.8,4,FALSE,13
"SN96AQ","OK",TRUE,1.8,2,3.6,FALSE,25
"SN96AR","OK",FALSE,3.9,4,5.2,FALSE,5
"SN96AS","OK",FALSE,3.7,3.7,5.1,FALSE,4
"SN96AT","OK",FALSE,3,2.8,3.8,FALSE,3
"SN96AU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SN96AU","No Data",NA,NA,NA,NA,FALSE,0
"SN96AW","OK",FALSE,5,4.5,7.1,FALSE,7
"SN96AX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SN96AX","No Data",NA,NA,NA,NA,FALSE,0
"SN96AY","OK",TRUE,2.6,2.2,6.2,FALSE,12
"SN96AZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SN96BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SN96BA","No Data",NA,NA,NA,NA,FALSE,0
"SN96BB","OK",TRUE,1.6,1.4,2.7,FALSE,5
"SN96BD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SN96BD","No Data",NA,NA,NA,NA,FALSE,0
"SN96BE","No premises",NA,NA,NA,NA,FALSE,0
"SN96BF","OK",FALSE,6.5,6.5,8.1,FALSE,9
"SN96BG","No premises",NA,NA,NA,NA,FALSE,0
"SN96BH","OK",TRUE,2.4,2.5,4.1,FALSE,24
"SN96BJ","OK",TRUE,2.3,2.1,5.1,FALSE,26
"SN96BL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"SN96BP","OK",TRUE,2.3,2.2,4,FALSE,16
"SN96BQ","OK",TRUE,2.4,2.1,5.7,FALSE,21
"SN96BS","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SN96BT","OK",TRUE,2.5,2.3,3.4,FALSE,9
"SN96BU","OK",TRUE,2.9,2.5,5,FALSE,13
"SN96BW","OK",TRUE,2.2,2.3,5.8,FALSE,28
"SN96BX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SN96BX","No Data",NA,NA,NA,NA,FALSE,0
"SN96BY","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SN96DB","OK",TRUE,3.1,3.3,5.3,FALSE,26
"SN96DD","OK",TRUE,3.4,2.4,7.4,FALSE,12
"SN96DE","OK",TRUE,2.2,2.3,4.5,FALSE,9
"SN96DF","OK",TRUE,2.4,2.4,4.3,FALSE,22
"SN96DH","OK",TRUE,1.9,2.2,2.8,FALSE,5
"SN96DJ","OK",TRUE,3.2,3.6,5.1,FALSE,6
"SN96DL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SN96DL","No Data",NA,NA,NA,NA,FALSE,0
"SN96DN","OK",TRUE,2.7,2.8,5.1,FALSE,14
"SN96DP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SN96DP","No Data",NA,NA,NA,NA,FALSE,0
"SN96DQ","OK",FALSE,4.9,4.5,6,FALSE,4
"SN96DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
