"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SR67AA","OK",TRUE,8.6,8.8,14.2,FALSE,6
"SR67AB","OK",FALSE,14.8,14.8,15.5,FALSE,3
"SR67AD","OK",TRUE,7.2,7.9,13.9,FALSE,6
"SR67AE","OK",FALSE,11.5,13.2,14.5,FALSE,7
"SR67AF","OK",TRUE,8,7.4,13.3,FALSE,16
"SR67AG","No Data",NA,NA,NA,NA,FALSE,0
"SR67AH","OK",TRUE,7.3,7.8,12.3,FALSE,17
"SR67AJ","OK",FALSE,9.3,9.2,13,FALSE,6
"SR67AL","OK",FALSE,6.1,6,8.2,FALSE,16
"SR67AN","Insufficient Data",NA,NA,NA,NA,FALSE,1
"SR67AP","OK",TRUE,4.8,5.5,9.3,FALSE,13
"SR67AQ","OK",TRUE,7.7,7.8,14.7,FALSE,21
"SR67AR","OK",TRUE,6.8,6.6,14.1,FALSE,19
"SR67AS","OK",FALSE,6.6,6.7,11.9,FALSE,26
"SR67AT","OK",FALSE,7.2,8.3,10.6,FALSE,11
"SR67AU","OK",FALSE,12,12.4,18,FALSE,10
"SR67AW","OK",FALSE,6.1,6.4,8.8,FALSE,14
"SR67AX","OK",FALSE,7.7,6.6,13.4,FALSE,6
"SR67AY","OK",TRUE,7.7,7.8,16.9,FALSE,19
"SR67AZ","OK",TRUE,8.7,7.9,15.5,FALSE,18
"SR67BA","OK",TRUE,6,4.5,11.4,FALSE,12
"SR67BB","OK",TRUE,4.1,4.2,6.3,FALSE,21
"SR67BD","OK",TRUE,4.6,4.8,9.1,FALSE,21
"SR67BE","OK",TRUE,6.6,7.1,12.3,FALSE,16
"SR67BG","OK",TRUE,7.7,7.7,16.1,FALSE,25
"SR67BH","OK",TRUE,6.7,6.7,12.8,FALSE,15
"SR67BJ","OK",FALSE,8.4,8,15.6,FALSE,35
"SR67BL","OK",TRUE,7,6.4,14.9,FALSE,9
"SR67BN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SR67BN","No Data",NA,NA,NA,NA,FALSE,0
"SR67BP","OK",TRUE,5.3,5.6,8.4,FALSE,16
"SR67BQ","OK",TRUE,5.9,6,12.3,FALSE,51
"SR67BU","OK",FALSE,10.2,9.2,17,FALSE,8
"SR67BW","OK",TRUE,6,5.7,11.9,FALSE,34
"SR67BX","OK",FALSE,12.4,12.3,18.5,FALSE,6
"SR67BY","OK",FALSE,15.6,15.6,20.5,FALSE,6
"SR67BZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SR67BZ","No Data",NA,NA,NA,NA,FALSE,0
"SR67DA","OK",TRUE,13.8,15.6,19.4,FALSE,12
"SR67DB","OK",TRUE,11.2,11.3,18.3,FALSE,12
"SR67DE","OK",FALSE,11.6,11.6,16.4,FALSE,12
"SR67DF","OK",TRUE,13.4,14.1,19.8,FALSE,21
"SR67DG","OK",FALSE,11.2,11.4,18.3,FALSE,20
"SR67DH","OK",FALSE,8.6,7.8,14.7,FALSE,5
"SR67DJ","OK",FALSE,12,11.3,21.2,FALSE,33
"SR67DL","OK",FALSE,12.8,12.5,18,FALSE,14
"SR67DQ","OK",FALSE,8.8,9,10.6,FALSE,4
"SR67DR","OK",TRUE,9.3,9.9,15.4,FALSE,9
