"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SS49AJ","No premises",NA,NA,NA,NA,FALSE,0
"SS49AR","No premises",NA,NA,NA,NA,FALSE,0
"SS49DA","No premises",NA,NA,NA,NA,FALSE,0
"SS49DD","No premises",NA,NA,NA,NA,FALSE,0
"SS49DL","No premises",NA,NA,NA,NA,FALSE,0
"SS49DP","No premises",NA,NA,NA,NA,FALSE,0
"SS49DQ","No premises",NA,NA,NA,NA,FALSE,0
"SS49SA","No premises",NA,NA,NA,NA,FALSE,0
"SS49SB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SB","No Data",NA,NA,NA,NA,FALSE,0
"SS49SD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SD","No Data",NA,NA,NA,NA,FALSE,0
"SS49SE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SE","No Data",NA,NA,NA,NA,FALSE,0
"SS49SF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SF","No Data",NA,NA,NA,NA,FALSE,0
"SS49SG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SG","No Data",NA,NA,NA,NA,FALSE,0
"SS49SH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SH","No Data",NA,NA,NA,NA,FALSE,0
"SS49SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SJ","No Data",NA,NA,NA,NA,FALSE,0
"SS49SL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SL","No Data",NA,NA,NA,NA,FALSE,0
"SS49SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SP","No Data",NA,NA,NA,NA,FALSE,0
"SS49SQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SQ","No Data",NA,NA,NA,NA,FALSE,0
"SS49SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SS","No Data",NA,NA,NA,NA,FALSE,0
"SS49ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49ST","No Data",NA,NA,NA,NA,FALSE,0
"SS49SU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SU","No Data",NA,NA,NA,NA,FALSE,0
"SS49SW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SW","No Data",NA,NA,NA,NA,FALSE,0
"SS49SX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SX","No Data",NA,NA,NA,NA,FALSE,0
"SS49SY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SY","No Data",NA,NA,NA,NA,FALSE,0
"SS49SZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49SZ","No Data",NA,NA,NA,NA,FALSE,0
"SS49TA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49TA","No Data",NA,NA,NA,NA,FALSE,0
"SS49TB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"SS49TB","No Data",NA,NA,NA,NA,FALSE,0
