"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"ST36AA","OK",TRUE,2.6,1.4,13.9,FALSE,14
"ST36AB","OK",TRUE,3.5,3.5,4.8,FALSE,3
"ST36AD","OK",FALSE,5.2,5.3,6,FALSE,4
"ST36AE","OK",FALSE,4.8,4.8,6.5,FALSE,3
"ST36AF","OK",TRUE,4.9,5.2,6.8,FALSE,8
"ST36AG","OK",FALSE,5.1,5.3,6.9,FALSE,8
"ST36AH","OK",FALSE,4.7,4.6,5.9,FALSE,8
"ST36AJ","OK",FALSE,4.8,4.7,6.4,FALSE,10
"ST36AL","OK",TRUE,4.2,4.6,5.9,FALSE,10
"ST36AN","OK",TRUE,3.1,4.1,5.1,FALSE,9
"ST36AP","OK",TRUE,1.4,1.5,2,FALSE,4
"ST36AQ","OK",TRUE,4.8,5,8.1,FALSE,16
"ST36AR","OK",FALSE,4.1,4,5.6,FALSE,8
"ST36AS","OK",TRUE,2.9,3.3,4.1,FALSE,7
"ST36AT","OK",TRUE,3.4,3.4,5,FALSE,7
"ST36AU","OK",TRUE,3,2.4,5.4,FALSE,4
"ST36AW","OK",TRUE,3.1,3.7,4.2,FALSE,10
"ST36AX","OK",TRUE,3.2,3.5,5.9,FALSE,13
"ST36AY","OK",TRUE,3.2,3.3,5.3,FALSE,18
"ST36AZ","OK",TRUE,3.6,2.9,18.6,FALSE,20
"ST36BA","OK",TRUE,2.5,2.9,4.8,FALSE,17
"ST36BB","OK",TRUE,2.9,2.4,11.6,FALSE,17
"ST36BD","OK",TRUE,2.4,2.1,4.6,FALSE,34
"ST36BE","OK",TRUE,3,3.2,6,FALSE,25
"ST36BF","OK",TRUE,6.6,7,10.2,FALSE,17
"ST36BG","OK",TRUE,3.1,3.7,5.2,FALSE,28
"ST36BH","OK",TRUE,3.6,4,5.1,FALSE,21
"ST36BJ","OK",TRUE,3.2,3.4,5,FALSE,9
"ST36BL","OK",TRUE,2.4,2.2,4.8,FALSE,16
"ST36BN","OK",TRUE,3.6,3.6,5.6,FALSE,8
"ST36BP","OK",TRUE,4,4.3,6.5,FALSE,27
"ST36BQ","OK",TRUE,2.7,2.7,5.5,FALSE,23
"ST36BS","OK",TRUE,4.4,4.6,6.7,FALSE,23
"ST36BT","OK",TRUE,4,4.1,5.3,FALSE,24
"ST36BU","OK",TRUE,3,2.6,4.9,FALSE,3
"ST36BW","OK",TRUE,2.3,2.2,3.8,FALSE,12
"ST36BX","OK",TRUE,4.4,5.2,6,FALSE,5
"ST36BY","OK",TRUE,3.7,4.1,4.5,FALSE,10
"ST36BZ","OK",TRUE,3.1,2.6,4.9,FALSE,9
"ST36DA","OK",TRUE,3.4,4.1,4.2,FALSE,9
"ST36DB","OK",TRUE,3.8,4.1,5.7,FALSE,21
"ST36DD","OK",TRUE,4.4,4.6,7,FALSE,16
"ST36DE","OK",FALSE,5.2,5.1,7.2,FALSE,8
"ST36DF","OK",TRUE,3.7,4.2,6,FALSE,35
"ST36DG","OK",TRUE,3.8,4.3,5.5,FALSE,22
"ST36DH","OK",TRUE,2.3,1.8,4.5,FALSE,20
"ST36DL","OK",TRUE,2.3,2.4,4.4,FALSE,12
"ST36DN","OK",TRUE,2.5,2.5,4.1,FALSE,3
"ST36DQ","OK",TRUE,1.7,1.4,4,FALSE,39
"ST36DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"ST36DR","No Data",NA,NA,NA,NA,FALSE,0
"ST36DU","OK",TRUE,0.9,1,1.2,FALSE,7
"ST36DW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"ST36DW","No Data",NA,NA,NA,NA,FALSE,0
"ST36DX","OK",TRUE,2,1.5,4.1,FALSE,24
"ST36DY","OK",TRUE,2.2,2.4,4.4,FALSE,17
"ST36DZ","OK",TRUE,2.2,2,4.1,FALSE,14
"ST36EA","OK",TRUE,1.6,1.4,3.5,FALSE,32
"ST36EB","OK",TRUE,2.2,2.2,4.1,FALSE,12
"ST36ED","OK",TRUE,1.3,1.1,2.4,FALSE,11
"ST36EE","OK",TRUE,3.7,4.1,5.6,FALSE,23
"ST36EF","OK",TRUE,3.1,3.1,5.8,FALSE,14
"ST36EG","OK",TRUE,2.3,2.9,4.4,FALSE,5
"ST36EH","OK",TRUE,3.9,4.4,6.1,FALSE,12
"ST36EJ","OK",TRUE,3.8,3.9,6.5,FALSE,17
"ST36EL","OK",FALSE,4.7,4.9,5.9,FALSE,4
"ST36EN","OK",TRUE,3.5,4.1,6.3,FALSE,12
"ST36EP","OK",TRUE,3.7,4.3,6.1,FALSE,5
"ST36EQ","OK",TRUE,3.7,3.4,6.5,FALSE,15
"ST36ER","OK",TRUE,4.7,4.8,10.6,FALSE,23
"ST36ES","OK",FALSE,5.1,5.1,6.9,FALSE,9
"ST36ET","OK",FALSE,4.8,4.4,7.4,FALSE,8
"ST36EU","OK",TRUE,5.7,5.9,12.3,FALSE,15
"ST36EW","OK",TRUE,4.4,4.5,7.1,FALSE,32
"ST36EX","OK",TRUE,5.5,6.6,7.7,FALSE,6
"ST36EY","OK",TRUE,5.4,6.5,7.1,FALSE,7
"ST36EZ","OK",TRUE,4.5,4.8,7.4,FALSE,23
"ST36FB","OK",TRUE,1.8,2,4.1,FALSE,22
"ST36FD","OK",FALSE,4.6,4.7,6.1,FALSE,9
"ST36GA","OK",TRUE,1.4,1.5,1.9,FALSE,6
"ST36GB","OK",TRUE,1.3,1.3,2.3,FALSE,18
"ST36HA","OK",TRUE,4,4.3,7.3,FALSE,26
"ST36HB","OK",TRUE,5.6,5.8,8.6,FALSE,15
"ST36HD","OK",TRUE,4.5,4.9,7.4,FALSE,11
"ST36HE","OK",TRUE,1.2,0.7,2.5,FALSE,4
"ST36HF","OK",TRUE,2.2,1.9,14.5,FALSE,20
"ST36HG","OK",TRUE,1.6,2.1,2.5,FALSE,3
"ST36HH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"ST36HH","No Data",NA,NA,NA,NA,FALSE,0
"ST36HJ","OK",FALSE,11.2,11,16.6,FALSE,16
"ST36HL","OK",FALSE,7.8,7.5,12.3,FALSE,12
"ST36HN","OK",TRUE,8.2,8.1,13.3,FALSE,35
"ST36HP","OK",TRUE,5.3,5.3,10.6,FALSE,6
"ST36HQ","OK",TRUE,1.4,1.2,3.1,FALSE,34
"ST36HR","OK",TRUE,2,1.9,5,FALSE,32
"ST36HS","OK",TRUE,2.3,2.2,4.3,FALSE,16
"ST36HT","OK",TRUE,2.1,2.2,3.7,FALSE,4
"ST36HW","OK",TRUE,6.8,7,12.3,FALSE,31
"ST36HX","OK",TRUE,1.7,1.9,2.5,FALSE,13
"ST36HY","OK",TRUE,2.3,2.7,4.1,FALSE,20
"ST36HZ","OK",TRUE,1.7,1.4,4,FALSE,32
