"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"SW91AH","No premises",NA,NA,NA,NA,FALSE,0
"SW91AR","No premises",NA,NA,NA,NA,FALSE,0
"SW91AX","No premises",NA,NA,NA,NA,FALSE,0
"SW91AZ","No premises",NA,NA,NA,NA,FALSE,0
"SW91BA","No premises",NA,NA,NA,NA,FALSE,0
"SW91BD","No premises",NA,NA,NA,NA,FALSE,0
"SW91BF","No premises",NA,NA,NA,NA,FALSE,0
"SW91BL","No premises",NA,NA,NA,NA,FALSE,0
"SW91BN","No premises",NA,NA,NA,NA,FALSE,0
"SW91BQ","No premises",NA,NA,NA,NA,FALSE,0
"SW91BR","No premises",NA,NA,NA,NA,FALSE,0
