"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"TD11AA","No premises",NA,NA,NA,NA,FALSE,0
"TD11AB","No premises",NA,NA,NA,NA,FALSE,0
"TD11BA","OK",TRUE,14,16.7,24,FALSE,23
"TD11BD","OK",FALSE,13.3,8.1,23.2,FALSE,7
"TD11BE","No premises",NA,NA,NA,NA,FALSE,0
"TD11BG","No premises",NA,NA,NA,NA,FALSE,0
"TD11BH","OK",FALSE,13.3,9.7,22.1,FALSE,3
"TD11BJ","OK",FALSE,8.3,6.8,24.4,FALSE,9
"TD11BL","No premises",NA,NA,NA,NA,FALSE,0
"TD11BN","OK",FALSE,17.3,19.3,24.4,FALSE,23
"TD11BP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TD11BQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD11BQ","No Data",NA,NA,NA,NA,FALSE,0
"TD11BT","OK",FALSE,9.9,8.1,15.3,TRUE,4
"TD11BU","OK",FALSE,13.6,14.4,22.2,FALSE,7
"TD11BW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD11BW","No Data",NA,NA,NA,NA,FALSE,0
"TD11BX","OK",FALSE,17.3,17.1,19.1,FALSE,4
"TD11BY","OK",TRUE,15.7,16,23.3,FALSE,8
"TD11BZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TD11DD","No Data",NA,NA,NA,NA,FALSE,0
"TD11DH","OK",FALSE,19.3,9.7,30,TRUE,3
"TD11DL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TD11DP","OK",FALSE,13,10.4,22.9,FALSE,9
"TD11DQ","OK",FALSE,10.6,10.5,13.9,TRUE,4
"TD11DR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD11DR","No Data",NA,NA,NA,NA,FALSE,0
"TD11DS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD11DS","No Data",NA,NA,NA,NA,FALSE,0
"TD11DT","OK",FALSE,15.9,19.3,21.4,FALSE,7
"TD11DU","OK",FALSE,18.9,16.6,30,TRUE,30
"TD11DX","OK",FALSE,18.1,17.7,30,TRUE,20
"TD11DY","OK",FALSE,25.6,19.8,30,TRUE,20
"TD11DZ","OK",FALSE,20,16.2,30,TRUE,11
"TD11EA","OK",TRUE,14.7,17.2,23.1,FALSE,30
"TD11EB","OK",FALSE,13.2,13.3,19.7,TRUE,4
"TD11ED","OK",FALSE,12.9,10.4,22.5,TRUE,8
"TD11EL","OK",TRUE,11.7,10.3,21.5,FALSE,8
"TD11EN","OK",TRUE,12.9,15.1,20,FALSE,11
"TD11EP","OK",TRUE,11.6,8.1,24.4,FALSE,11
