"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"TN38AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38AA","No Data",NA,NA,NA,NA,FALSE,0
"TN38AB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38AB","No Data",NA,NA,NA,NA,FALSE,0
"TN38AD","OK",TRUE,4.6,5.4,7.4,FALSE,9
"TN38AE","OK",FALSE,6.1,6.2,7.6,FALSE,4
"TN38AF","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TN38AG","OK",FALSE,6.6,6.5,8.1,FALSE,4
"TN38AH","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TN38AJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38AJ","No Data",NA,NA,NA,NA,FALSE,0
"TN38AL","OK",FALSE,6.6,7.4,8.1,FALSE,10
"TN38AN","OK",TRUE,4.3,3.6,8.1,FALSE,12
"TN38AP","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TN38AR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TN38AS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TN38AT","OK",TRUE,2.8,2.9,4,FALSE,4
"TN38AU","OK",FALSE,3.5,3,5.7,FALSE,4
"TN38AW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38AW","No Data",NA,NA,NA,NA,FALSE,0
"TN38AX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TN38AY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38AY","No Data",NA,NA,NA,NA,FALSE,0
"TN38AZ","OK",TRUE,2.3,2.3,4,FALSE,3
"TN38BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38BA","No Data",NA,NA,NA,NA,FALSE,0
"TN38BB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TN38BD","OK",TRUE,2.6,2.6,4.5,FALSE,9
"TN38BE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38BE","No Data",NA,NA,NA,NA,FALSE,0
"TN38BG","OK",TRUE,1.2,0.9,5.7,FALSE,20
"TN38BH","OK",TRUE,1.9,1.7,4.2,FALSE,13
"TN38BJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38BJ","No Data",NA,NA,NA,NA,FALSE,0
"TN38BL","OK",FALSE,4.4,4,7.3,FALSE,5
"TN38BN","OK",FALSE,4.6,4.5,8.1,FALSE,11
"TN38BP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38BP","No Data",NA,NA,NA,NA,FALSE,0
"TN38DA","OK",FALSE,6.8,7.8,8.1,FALSE,13
"TN38DB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TN38DD","OK",FALSE,6.5,6.5,6.5,FALSE,3
"TN38DE","OK",FALSE,7.1,7.4,8.1,FALSE,7
"TN38DF","OK",FALSE,7.8,8.1,8.1,FALSE,15
"TN38DG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38DG","No Data",NA,NA,NA,NA,FALSE,0
"TN38DH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38DH","No Data",NA,NA,NA,NA,FALSE,0
"TN38DN","OK",FALSE,7.7,8,8.1,FALSE,15
"TN38DP","OK",FALSE,7.1,7.6,8.1,FALSE,3
"TN38DQ","OK",FALSE,7,7.6,8.1,FALSE,9
"TN38DR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TN38DS","OK",FALSE,6.8,8.1,8.1,FALSE,6
"TN38DT","OK",FALSE,6,6.3,8.1,FALSE,4
"TN38DU","OK",FALSE,6.5,8.1,8.1,FALSE,12
"TN38DW","OK",FALSE,6.4,6.8,8.1,FALSE,12
"TN38DX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38DX","No Data",NA,NA,NA,NA,FALSE,0
"TN38DY","OK",FALSE,7.1,7.6,8.1,FALSE,26
"TN38EA","OK",FALSE,8.1,8.1,8.1,FALSE,3
"TN38EB","OK",FALSE,5.4,5.5,8.1,FALSE,5
"TN38ED","OK",FALSE,8.1,8.1,8.1,FALSE,3
"TN38EE","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TN38EF","OK",FALSE,6.6,7.4,8.1,FALSE,3
"TN38EG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TN38EG","No Data",NA,NA,NA,NA,FALSE,0
"TN38EH","Insufficient Data",NA,NA,NA,NA,FALSE,1
