"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"TQ96AA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96AA","No Data",NA,NA,NA,NA,FALSE,0
"TQ96AB","OK",FALSE,5.6,5.7,8.1,FALSE,13
"TQ96AD","OK",TRUE,4.5,5.1,6.4,FALSE,9
"TQ96AE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96AE","No Data",NA,NA,NA,NA,FALSE,0
"TQ96AF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96AF","No Data",NA,NA,NA,NA,FALSE,0
"TQ96AG","OK",FALSE,5.6,5.7,7.6,FALSE,4
"TQ96AH","OK",FALSE,7.5,7.6,8.1,FALSE,5
"TQ96AJ","OK",TRUE,6.5,7.6,8.1,FALSE,10
"TQ96AL","OK",FALSE,4.6,3.8,6.2,FALSE,3
"TQ96AN","OK",TRUE,5.5,5.7,8.1,FALSE,8
"TQ96AP","OK",FALSE,5.8,6.8,7,FALSE,3
"TQ96AR","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96AS","OK",TRUE,4.1,4.7,6.2,FALSE,4
"TQ96AT","OK",TRUE,4.4,4.8,6.4,FALSE,7
"TQ96AU","OK",TRUE,2.8,3.5,4.8,FALSE,5
"TQ96AW","OK",FALSE,3.9,4,4,FALSE,5
"TQ96AX","OK",TRUE,3.1,3.4,5.2,FALSE,9
"TQ96AY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96AY","No Data",NA,NA,NA,NA,FALSE,0
"TQ96AZ","OK",TRUE,4.1,4.6,6.8,FALSE,16
"TQ96BA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96BA","No Data",NA,NA,NA,NA,FALSE,0
"TQ96BB","OK",FALSE,4.9,5.1,6.2,FALSE,8
"TQ96BD","OK",TRUE,3.6,3.6,6.3,FALSE,46
"TQ96BE","OK",FALSE,3.2,2.7,4.8,FALSE,3
"TQ96BG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96BG","No Data",NA,NA,NA,NA,FALSE,0
"TQ96BH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96BH","No Data",NA,NA,NA,NA,FALSE,0
"TQ96BJ","OK",TRUE,2.9,3.2,3.6,FALSE,8
"TQ96BL","OK",TRUE,2.4,2.3,3.9,FALSE,11
"TQ96BN","OK",TRUE,2.6,2.6,3.6,FALSE,6
"TQ96BP","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96BQ","OK",TRUE,2.1,2.1,2.9,FALSE,5
"TQ96BR","OK",TRUE,2.2,2.3,2.5,FALSE,3
"TQ96BS","OK",TRUE,2.2,2,3.9,FALSE,5
"TQ96BT","OK",TRUE,2.1,2.4,3.2,FALSE,6
"TQ96BU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96BU","No Data",NA,NA,NA,NA,FALSE,0
"TQ96BW","OK",TRUE,2.4,2.8,2.9,FALSE,3
"TQ96BX","OK",TRUE,2.2,2.4,3.4,FALSE,11
"TQ96BY","OK",TRUE,1.8,2.2,2.9,FALSE,9
"TQ96BZ","OK",FALSE,5.8,2.6,18.6,FALSE,6
"TQ96DA","OK",TRUE,2.2,2.2,2.4,FALSE,4
"TQ96DB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96DB","No Data",NA,NA,NA,NA,FALSE,0
"TQ96DD","OK",TRUE,4.5,4.7,6,FALSE,7
"TQ96DF","OK",FALSE,4.8,5.1,5.6,FALSE,4
"TQ96DG","OK",FALSE,8.4,8.1,15,FALSE,9
"TQ96DH","OK",TRUE,2.5,3.1,3.2,FALSE,3
"TQ96DJ","OK",TRUE,3,2.6,5.9,FALSE,19
"TQ96DL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96DL","No Data",NA,NA,NA,NA,FALSE,0
"TQ96DN","OK",TRUE,3.8,3.8,6,FALSE,12
"TQ96DP","OK",TRUE,1.4,1.5,2.9,FALSE,15
"TQ96DQ","OK",FALSE,9.1,10,12.3,FALSE,14
"TQ96DR","OK",TRUE,1.7,1.6,3.1,FALSE,5
"TQ96DS","OK",TRUE,2.4,2,3.5,FALSE,3
"TQ96DT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96DU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96DU","No Data",NA,NA,NA,NA,FALSE,0
"TQ96DW","OK",TRUE,2.6,2.4,4.4,FALSE,10
"TQ96DX","OK",TRUE,1.7,1.7,2.3,FALSE,3
"TQ96DY","OK",TRUE,1.1,1.1,1.6,FALSE,7
"TQ96DZ","OK",TRUE,1.5,1.3,2.4,FALSE,8
"TQ96EA","OK",FALSE,3.5,3.4,4.3,FALSE,8
"TQ96EB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TQ96ED","OK",FALSE,3.7,3.4,4.6,FALSE,7
"TQ96EE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TQ96EF","OK",TRUE,3.1,3.2,3.7,FALSE,6
"TQ96EG","OK",TRUE,2.2,2.3,3.6,FALSE,6
"TQ96EL","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TQ96EN","OK",TRUE,2.8,2.2,8.3,FALSE,9
"TQ96EP","OK",TRUE,2.2,1.7,3.8,FALSE,3
"TQ96EQ","OK",TRUE,2.3,2.5,3.1,FALSE,7
"TQ96ER","OK",TRUE,10.7,11.3,17.1,FALSE,31
"TQ96ES","OK",FALSE,10.1,9.2,16.7,FALSE,28
"TQ96ET","No premises",NA,NA,NA,NA,FALSE,0
"TQ96EU","OK",FALSE,9.3,8.1,14,FALSE,14
"TQ96EW","OK",TRUE,2.2,2.6,3.1,FALSE,6
"TQ96EX","OK",FALSE,7.3,7.7,9.8,FALSE,3
"TQ96EY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96EZ","OK",FALSE,5.9,7.1,7.6,FALSE,5
"TQ96FE","OK",FALSE,6.9,6.9,7.6,FALSE,3
"TQ96FH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96FH","No Data",NA,NA,NA,NA,FALSE,0
"TQ96FJ","OK",FALSE,4,3.7,5.8,FALSE,10
"TQ96GA","OK",FALSE,8.4,8.9,10.7,FALSE,16
"TQ96GB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96GB","No Data",NA,NA,NA,NA,FALSE,0
"TQ96GH","OK",TRUE,2.8,2.9,4,FALSE,5
"TQ96GZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96GZ","No Data",NA,NA,NA,NA,FALSE,0
"TQ96HA","OK",TRUE,3.8,3.3,5.7,FALSE,8
"TQ96HB","OK",TRUE,4.2,3.9,6.4,FALSE,12
"TQ96HD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96HD","No Data",NA,NA,NA,NA,FALSE,0
"TQ96HE","OK",TRUE,4.2,4,7.3,FALSE,11
"TQ96HF","OK",TRUE,4.2,4.1,6.7,FALSE,14
"TQ96HG","OK",TRUE,3.2,2.7,5.8,FALSE,8
"TQ96HH","OK",FALSE,5,5.3,6.7,FALSE,9
"TQ96HJ","OK",TRUE,5.6,6.1,7.6,FALSE,15
"TQ96HL","OK",TRUE,3.7,4.6,5.3,FALSE,8
"TQ96HN","OK",TRUE,4,4.3,5.8,FALSE,25
"TQ96HP","OK",FALSE,7.1,6.5,8.9,FALSE,3
"TQ96HQ","OK",TRUE,3.9,3.5,6.1,FALSE,6
"TQ96HR","OK",FALSE,5.6,5.9,7.4,FALSE,5
"TQ96HS","OK",TRUE,4.5,5.5,6.5,FALSE,5
"TQ96HT","OK",FALSE,4.9,5.4,6.8,FALSE,6
"TQ96HU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96HU","No Data",NA,NA,NA,NA,FALSE,0
"TQ96HW","OK",FALSE,5.2,5.2,7.6,FALSE,9
"TQ96HX","OK",TRUE,4.3,5.2,7.1,FALSE,7
"TQ96HY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96HZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96JA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96JB","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TQ96JD","OK",TRUE,3.8,4.2,6,FALSE,4
"TQ96JF","OK",TRUE,4.3,4.2,6.5,FALSE,7
"TQ96JG","OK",TRUE,3.8,4.2,5.3,FALSE,12
"TQ96JH","OK",TRUE,3.5,2.7,6.8,FALSE,7
"TQ96JJ","OK",FALSE,3.4,3.7,4.2,FALSE,3
"TQ96JL","OK",TRUE,3.6,4,4.9,FALSE,8
"TQ96JN","OK",TRUE,1,1.2,1.6,FALSE,3
"TQ96JP","OK",TRUE,3.6,4.1,5.2,FALSE,9
"TQ96JQ","OK",TRUE,3.1,3.2,5.8,FALSE,31
"TQ96JR","OK",TRUE,3.2,3.2,6.2,FALSE,24
"TQ96JS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96JS","No Data",NA,NA,NA,NA,FALSE,0
"TQ96JT","OK",TRUE,5.6,5.7,8.5,FALSE,44
"TQ96JU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96JW","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96JX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96JY","OK",TRUE,3.2,3.2,5.5,FALSE,4
"TQ96JZ","OK",TRUE,4.5,4.5,7.3,FALSE,28
"TQ96LA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96LB","OK",TRUE,7.7,8.4,11.3,FALSE,10
"TQ96LD","OK",FALSE,7.8,8.1,9.5,FALSE,4
"TQ96LE","OK",FALSE,9.8,9.6,14.6,FALSE,11
"TQ96LF","OK",TRUE,4,3.7,7.3,FALSE,3
"TQ96LG","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TQ96LH","OK",TRUE,5.4,5.2,9.1,FALSE,20
"TQ96LJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96LL","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96LN","Insufficient Data",NA,NA,NA,NA,FALSE,2
"TQ96LP","OK",TRUE,3,2.8,4.4,FALSE,16
"TQ96LQ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"TQ96LR","OK",TRUE,3.1,3.1,4.1,FALSE,3
"TQ96LS","OK",FALSE,8.4,8,15.8,FALSE,23
"TQ96LT","OK",FALSE,6,5.3,9.2,FALSE,7
"TQ96LU","OK",TRUE,4.5,4.9,5.7,FALSE,6
"TQ96LW","OK",TRUE,4.4,3.2,19.7,FALSE,17
"TQ96LX","OK",TRUE,3.7,3.9,5.5,FALSE,7
"TQ96LY","OK",TRUE,2.2,2.2,3.5,FALSE,8
"TQ96LZ","OK",TRUE,3.7,2.5,9.2,FALSE,12
"TQ96NA","OK",TRUE,2.9,2,5.1,FALSE,3
"TQ96NB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96NB","No Data",NA,NA,NA,NA,FALSE,0
"TQ96ND","OK",TRUE,4.5,5.2,6.2,FALSE,9
"TQ96NE","OK",TRUE,3.1,3.1,5.1,FALSE,18
"TQ96NF","OK",TRUE,2.1,2.1,2.2,FALSE,3
"TQ96NG","OK",TRUE,1.7,1.5,2.4,FALSE,4
"TQ96NH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96NH","No Data",NA,NA,NA,NA,FALSE,0
"TQ96NJ","OK",TRUE,1.6,1.4,4,FALSE,18
"TQ96NL","OK",FALSE,6.4,6.6,6.7,FALSE,4
"TQ96NN","OK",TRUE,4.7,4.2,9.6,FALSE,14
"TQ96NQ","OK",TRUE,3,2,6.4,FALSE,3
"TQ96NR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TQ96NR","No Data",NA,NA,NA,NA,FALSE,0
"TQ96NS","OK",FALSE,5.4,5.1,7.6,FALSE,6
"TQ96NT","OK",TRUE,6.4,6.7,8.1,FALSE,35
"TQ96NU","OK",FALSE,5.4,5.7,8.1,FALSE,9
"TQ96NX","OK",FALSE,6.8,6.8,8.1,FALSE,3
"TQ96NY","OK",FALSE,7.9,7.9,8.1,FALSE,6
"TQ96NZ","OK",FALSE,7.8,7.6,8.1,FALSE,6
"TQ96PA","OK",FALSE,6.9,7.6,8.1,FALSE,11
"TQ96PB","OK",FALSE,7.1,7.6,8.1,FALSE,15
"TQ96PD","OK",FALSE,5.2,5.9,7.6,FALSE,10
"TQ96PE","OK",FALSE,5.8,6.6,7.6,FALSE,8
"TQ96PF","OK",FALSE,6,6.8,7.6,FALSE,6
"TQ96PG","OK",FALSE,7.2,7.2,8.1,FALSE,12
